,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,16.709585,2.4712203,6.578792430235329e-46,6.106435133744433e-42
1,IGHG4,15.050563,2.4349234,3.7701543172433136e-41,1.749728618632622e-37
2,AL627171.2,14.418977,2.0353482,1.0389094570555881e-35,1.9286315160779936e-32
3,IGHA1,14.230879,2.5375032,8.692540275897105e-36,1.9286315160779936e-32
4,IGHM,14.202559,2.9220078,5.467788075212582e-38,1.6917336304707728e-34
5,REG1A,13.330702,2.5488355,8.212452740166552e-33,1.2704664389037656e-29
6,IGHG3,12.012995,2.6914678,5.6797488091241e-29,7.531346920898557e-26
7,LINC02739,10.9045,1.8944627,1.4410589728748673e-24,1.3375909386224518e-21
8,JCHAIN,10.60234,1.9874904,4.089323627122454e-23,3.450645627904602e-20
9,IGLC3,10.184619,4.006617,1.3484086263694963e-21,1.0429940724968054e-18
10,LCN2,9.807815,3.7066312,2.782138727162733e-20,1.844557976108892e-17
11,IGLC2,9.322721,2.5053277,5.55129893509902e-19,3.435143781039274e-16
12,IGHG2,8.745883,3.7526767,7.722836336039076e-17,4.216668639477335e-14
13,MUC1,8.31056,2.2417195,1.2845617222999743e-15,6.6240566146602e-13
14,IGLC1,8.090698,1.9691906,6.121600316188317e-15,2.8410347067429978e-12
15,CD24,7.395643,2.0728316,7.187270536070506e-13,2.9005323963394105e-10
16,ACP5,7.1523194,2.8173416,4.163461704780654e-12,1.4724638111187187e-09
17,C1QA,6.350228,1.2831666,6.506382272366415e-10,1.7064234992661725e-07
18,IDO1,6.245636,3.1076348,1.181546656272492e-09,2.8860831746108606e-07
19,DMBT1,6.207857,1.4179399,1.4710238805988027e-09,3.5010368358251505e-07
20,SNHG1,6.193007,0.9365571,1.6836007627311272e-09,3.811507873090323e-07
21,TNFRSF6B,6.165608,2.3886073,1.6302228535326453e-09,3.782932131622503e-07
22,TYROBP,6.162052,4.0233526,2.0388867860466956e-09,4.3011243518375974e-07
23,CXCL14,6.1445627,1.3427966,2.0113037956071426e-09,4.3011243518375974e-07
24,TIMP1,5.86361,2.1949832,8.98810215178425e-09,1.7026033504665592e-06
25,CD55,5.820289,2.1745622,1.1443839635466782e-08,2.0427253749308205e-06
26,MZB1,5.7717004,2.0381093,1.4931973975477893e-08,2.6150675932148264e-06
27,IFI30,5.648061,1.6185204,2.9079841998625238e-08,4.735422691776131e-06
28,PSAP,5.5977216,1.1609575,4.126406257496735e-08,6.278902111817163e-06
29,S100A6,5.519434,1.1036649,6.416722324392197e-08,8.889554718657965e-06
30,CXCL9,5.493559,1.9627069,6.688594273413839e-08,8.892120287410314e-06
31,ISG20,5.492695,2.088508,6.705973067428593e-08,8.892120287410314e-06
32,PDZK1IP1,5.480715,1.765133,7.151821129650603e-08,9.349747003579846e-06
33,ABCA7,5.2868705,2.0350978,1.9596192088384033e-07,2.3319468585177e-05
34,CYBA,5.189956,1.4291263,3.2152980106175523e-07,3.430390360293347e-05
35,GAS5,5.101054,0.8681615,5.375592461246069e-07,5.1975259609672934e-05
36,TMSB10,5.0190454,0.93405664,8.808164585821195e-07,8.094790463920032e-05
37,C1QB,4.941927,1.4059906,1.107614902510479e-06,9.791315738192635e-05
38,CCR7,4.8952827,4.1973443,1.5296121729998595e-06,0.00012907145627076997
39,HLA-DQB1,4.8536286,1.2666805,1.775134716585002e-06,0.0001445333371872104
40,HLA-C,4.8533382,0.86150193,1.9459905211162903e-06,0.00015706681753914267
41,SERPING1,4.8049808,2.1045465,2.143114251996431e-06,0.00017002039732505017
42,MXRA5,4.7605305,2.2305229,2.650971957789274e-06,0.00020505268093500036
