,names,scores,logfoldchanges,pvals,pvals_adj
0,IGLC3,17.741169,28.363274,9.219683376410675e-62,8.557710109984389e-58
1,MS4A1,11.968282,26.75889,5.007285551598609e-31,2.323881224496914e-27
2,CD79B,10.093836,26.16911,6.351126289694399e-23,1.965038474031447e-19
3,IGLC2,9.645972,3.0282452,1.3454013301777077e-13,9.458417414037889e-11
4,C1QC,9.27295,26.011457,1.0079112984495738e-19,2.3388581680522363e-16
5,LINC02739,9.074733,2.714273,9.294234156737734e-12,3.1951511645496165e-09
6,AIF1,8.628275,25.581387,2.286145562759215e-17,4.244000622706207e-14
7,CXCR4,8.570686,25.70315,3.6526554553706734e-17,5.650657989458432e-14
8,WDR81,8.505585,25.654676,6.184130641216076e-17,8.200157230252516e-14
9,KLF2,8.3089485,25.465364,2.9716503230396014e-16,3.447857287306698e-13
10,NCF4,8.208912,25.46903,6.52554776603947e-16,6.730014929375374e-13
11,LST1,8.05089,25.362967,2.223640208183843e-15,2.063982841236243e-12
12,POU2AF1,7.7232985,25.451044,2.64603335909804e-14,2.2327710581043643e-11
13,ACVRL1,7.5916514,25.161194,6.981888292205021e-14,5.4004905940205837e-11
14,IGHG1,7.5026755,2.512122,1.4302289467735014e-09,2.0590015153431307e-07
15,TNFRSF13C,7.493423,25.217485,1.4266089613933468e-13,9.458417414037889e-11
16,MUS81,7.4195547,25.191807,2.428692793654106e-13,1.4089454069185883e-10
17,CALHM6,7.3522,25.185444,3.9294707677590077e-13,2.038876786453061e-10
18,OTUD4,7.317294,25.196201,5.034739073120017e-13,2.4596025303526313e-10
19,CYBB,7.2700653,25.139088,7.0292658063665e-13,3.1069354864139925e-10
20,HLA-DOA,7.2286177,25.079706,9.40659214218551e-13,3.796173402772431e-10
21,FMNL1,7.1405883,25.089165,1.7380295711852978e-12,6.452956191896774e-10
22,IGHM,7.0643177,2.1550987,1.0131214088236428e-08,1.0221514039892448e-06
23,FCRL1,6.9082246,25.003534,8.514113122572317e-12,3.039538384758317e-09
24,MESD,6.8641157,24.938383,1.1452026176944575e-11,3.7963466776571264e-09
25,NIBAN3,6.8551383,24.99076,1.21617459792406e-11,3.8925974544590085e-09
26,BIN2,6.766101,24.92559,2.199752011616774e-11,6.5864832812344834e-09
27,NT5DC2,6.685698,24.894308,3.734698233834113e-11,1.0195726178367129e-08
28,ISCA1,6.6670756,24.804562,4.2184713164910743e-11,1.118738593133433e-08
29,WAS,6.6436877,24.824078,4.9137057269891507e-11,1.2669171266087027e-08
30,EDIL3,6.588265,24.88113,7.040358592022061e-11,1.7534519901102233e-08
31,DHX58,6.585258,24.770596,7.178536481813024e-11,1.7534519901102233e-08
32,PSMC2,6.5224676,24.829699,1.0752813630873369e-10,2.559169644147862e-08
33,CIAO3,6.502578,24.735832,1.221242200990766e-10,2.8338925273990726e-08
34,FCER2,6.4741993,24.938383,1.463582533908698e-10,3.313408068229399e-08
35,LILRB4,6.457983,24.776423,1.6225712602076482e-10,3.4228878266471346e-08
36,THEMIS2,6.457983,24.776423,1.6225712602076482e-10,3.4228878266471346e-08
