,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHG1,4.280895,29.415747,0.000185709581375755,0.17028427827946083
1,IGHG4,4.063137,2.050067,0.0002018020966466353,0.17028427827946083
2,HPGD,3.688432,28.133411,0.0009255969371478141,0.4099720554796668
3,LINC02739,3.6500525,2.7315276,0.0007055469574662886,0.37124025012973744
4,IGKC,3.561379,1.402728,0.0009267423648091742,0.4099720554796668
5,IGLC3,3.279791,28.330153,0.0027042153205872883,0.5971439380914931
6,IGLC2,3.2507195,3.8480465,0.002549515413424912,0.5971439380914931
7,APOL1,3.2473767,27.597082,0.0029392910958459186,0.5971439380914931
8,SLC22A18,3.1777253,27.708954,0.003512493597872007,0.5971439380914931
9,IGHG3,2.941982,2.2802553,0.0054150829464195615,0.6508925946274826
10,CHFR,2.904054,27.5131,0.006976331826405996,0.6508925946274826
11,MBD1,2.904054,27.5131,0.006976331826405996,0.6508925946274826
12,CTSH,2.7624927,27.869473,0.009853719119119095,0.6508925946274826
13,AL627171.2,2.7427144,0.74586177,0.008956821692138055,0.6508925946274826
14,IGHG2,2.7317374,28.317814,0.010611344999885353,0.6508925946274826
15,CDHR2,2.6925824,27.147814,0.011654793675504337,0.6508925946274826
16,ANKH,2.6925824,27.147814,0.011654793675504337,0.6508925946274826
17,VDAC3,2.6925824,27.147814,0.011654793675504337,0.6508925946274826
18,TMEM30A,2.6925824,27.147814,0.011654793675504337,0.6508925946274826
19,EIF2S1,2.6925824,27.147814,0.011654793675504337,0.6508925946274826
20,ARL5A,2.6925824,27.147814,0.011654793675504337,0.6508925946274826
21,USP16,2.6925824,27.147814,0.011654793675504337,0.6508925946274826
22,PSMC1,2.6285417,27.292011,0.013569952964768511,0.6508925946274826
23,EPB41,2.6285417,27.292011,0.013569952964768511,0.6508925946274826
24,TSG101,2.6285417,27.292011,0.013569952964768511,0.6508925946274826
25,BAD,2.6285417,27.292011,0.013569952964768511,0.6508925946274826
26,AIMP1,2.6072094,27.424803,0.014270287924646527,0.6508925946274826
27,SPTBN1,2.5820649,2.7220733,0.013345466671509647,0.6508925946274826
28,PAWR,2.5357177,27.38729,0.016869159998763757,0.6508925946274826
29,COL18A1,2.4541738,27.457672,0.020363098450498024,0.6508925946274826
30,COPE,2.4235134,2.4583406,0.019687663708123224,0.6508925946274826
31,GARS,2.408319,26.86776,0.0226083793967926,0.6508925946274826
32,SLCO2B1,2.408319,26.86776,0.0226083793967926,0.6508925946274826
33,PMVK,2.408319,26.86776,0.0226083793967926,0.6508925946274826
34,PIK3IP1,2.408319,26.86776,0.0226083793967926,0.6508925946274826
35,AKR1B1,2.408319,26.86776,0.0226083793967926,0.6508925946274826
36,UNC45A,2.408319,26.86776,0.0226083793967926,0.6508925946274826
37,SLC39A9,2.408319,26.86776,0.0226083793967926,0.6508925946274826
38,HACD3,2.408319,26.86776,0.0226083793967926,0.6508925946274826
39,CIC,2.408319,26.86776,0.0226083793967926,0.6508925946274826
40,ZC3H7A,2.408319,26.86776,0.0226083793967926,0.6508925946274826
41,EGLN1,2.408319,26.86776,0.0226083793967926,0.6508925946274826
42,LRRC75A,2.408319,26.86776,0.0226083793967926,0.6508925946274826
43,SGCB,2.408319,26.86776,0.0226083793967926,0.6508925946274826
44,FKBP8,2.408319,26.86776,0.0226083793967926,0.6508925946274826
45,SESTD1,2.408319,26.86776,0.0226083793967926,0.6508925946274826
46,STK19,2.408319,26.86776,0.0226083793967926,0.6508925946274826
47,CCM2,2.3473105,27.037327,0.02594649746235176,0.6508925946274826
48,OPTN,2.3473105,27.037327,0.02594649746235176,0.6508925946274826
49,CSNK2A1,2.3473105,27.037327,0.02594649746235176,0.6508925946274826
50,ANKRD13D,2.3473105,27.037327,0.02594649746235176,0.6508925946274826
51,KIAA0100,2.333977,27.191002,0.026733312493211366,0.6508925946274826
52,MTRNR2L10,2.2622218,27.147814,0.031351693280649684,0.6508925946274826
53,IGHM,2.2445939,1.6020044,0.0308398821934477,0.6508925946274826
54,C1S,2.1830318,2.5764167,0.0346910475417452,0.6508925946274826
55,PBXIP1,2.1584754,2.2890615,0.03659535032135355,0.6508925946274826
56,CTSC,2.1136022,2.4855917,0.040479899336624235,0.6508925946274826
57,PTCH1,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
58,PIP4K2C,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
59,MRPS18C,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
60,LAGE3,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
61,CDK2,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
62,CFI,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
63,PLRG1,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
64,SPRYD4,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
65,SHMT2,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
66,RNF135,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
67,DNASE1L3,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
68,GM2A,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
69,CNTROB,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
70,METAP2,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
71,KLHDC3,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
72,PDPR,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
73,GPNMB,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
74,BFAR,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
75,MAFG,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
76,SH3GL1,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
77,MFGE8,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
78,EHD1,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
79,VCAM1,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
80,HES4,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
81,DAP3,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
82,SNAP29,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
83,ARL8A,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
84,PRNP,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
85,HNRNPLL,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
86,MOB1A,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
87,DNAH1,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
88,THNSL2,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
89,CD37,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
90,CD6,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
91,PGLS,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
92,SUMF1,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
93,MISP3,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
94,ACP5,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
95,CUX1,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
96,PRR5,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
97,MROH6,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
98,KIF13B,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
99,SMAD3,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
100,EBAG9,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
101,PDS5B,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
102,SSNA1,2.1122353,26.528875,0.04339741781077555,0.6508925946274826
103,PET100,2.0961223,2.4182973,0.042023160103505756,0.6508925946274826
104,HLA-DPA1,2.0780487,1.5806293,0.04414453826221332,0.6508925946274826
105,IGLC1,2.071035,1.8473012,0.04471518156710123,0.6508925946274826
106,RBMX,2.0659847,1.9797924,0.04489022845667061,0.6508925946274826
107,GRN,2.0595448,1.9707031,0.04552994512031657,0.6508925946274826
108,SLC66A2,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
109,ERO1B,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
110,SPIRE2,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
111,NIBAN2,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
112,ELOC,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
113,NCAPD2,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
114,ELAC2,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
115,AMT,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
116,ICAM1,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
117,EBLN3P,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
118,MRPL16,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
119,CCDC85B,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
120,NFKBID,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
121,KXD1,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
122,ENY2,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
123,NFKB1,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
124,SLC7A7,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
125,TBCC,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
126,ARL6IP5,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
127,CCNC,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
128,NT5DC1,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
129,NDUFB6,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
130,MSANTD2,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
131,EIF3L,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
132,SLAMF1,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
133,MRPL21,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
134,MRPL43,2.0551307,26.735697,0.0489716224813051,0.6508925946274826
135,APOL3,1.9796259,26.86776,0.0573072855932361,0.6508925946274826
136,HLA-DPB1,1.9219497,1.6313276,0.06127476949976114,0.6508925946274826
137,C12orf57,1.8908576,2.101925,0.06555204639089147,0.6508925946274826
138,CFLAR,1.8528398,2.2450006,0.07079536195098445,0.6508925946274826
139,SAP18,1.8431965,1.688355,0.07247896997337652,0.6508925946274826
140,TOR1B,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
141,SLC39A13,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
142,FNBP4,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
143,NIBAN3,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
144,S100A4,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
145,INPP5J,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
146,SLC30A1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
147,SACM1L,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
148,KAT2B,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
149,CACFD1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
150,EMID1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
151,ANKRD49,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
152,MYO1F,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
153,C11orf54,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
154,GNAI2,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
155,COL5A1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
156,RALGAPA1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
157,POP4,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
158,TLR4,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
159,SESN3,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
160,MTHFD2,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
161,TMEM18,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
162,GGT7,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
163,ACBD6,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
164,COMMD7,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
165,OVOL2,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
166,FREM1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
167,FOXRED1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
168,THEM6,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
169,MED25,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
170,UBE2L6,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
171,FAM91A1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
172,ENPP2,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
173,EHD2,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
174,STEAP3,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
175,AQP7,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
176,AP002807.1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
177,PRPF40A,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
178,DPM1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
179,HAPLN3,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
180,CCNT1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
181,SLC12A8,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
182,RANGRF,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
183,RIPK1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
184,NUP153,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
185,ZNRD1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
186,BANP,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
187,ISLR,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
188,ETV7,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
189,ZNF746,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
190,PSTPIP1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
191,SLC12A4,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
192,ARMH1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
193,EXOC3L1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
194,CCN2,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
195,ABRACL,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
196,VTA1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
197,PLAGL1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
198,IGF2R,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
199,MIOS,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
200,LYRM1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
201,THUMPD1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
202,NFE2L3,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
203,HSPA14,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
204,PARN,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
205,BRAP,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
206,NAGPA,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
207,HMOX2,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
208,GNPTG,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
209,MAP11,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
210,WHAMM,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
211,ARHGAP21,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
212,GIMAP5,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
213,NSD1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
214,ACCS,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
215,MT-ND6,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
216,HDHD2,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
217,UBXN7,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
218,LRPAP1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
219,BAHD1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
220,AHCYL2,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
221,UTP3,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
222,SNAP23,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
223,PYURF,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
224,LAMTOR3,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
225,CDAN1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
226,IL15RA,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
227,TRIM69,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
228,LSM6,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
229,NR3C2,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
230,EID1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
231,HPF1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
232,PDLIM2,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
233,SCRN2,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
234,GOSR2,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
235,PARP8,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
236,ZSWIM6,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
237,CCL5,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
238,TCF7,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
239,TXNDC15,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
240,PSMD11,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
241,NUDT5,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
242,ABCF2,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
243,KRR1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
244,DUSP6,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
245,PHAX,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
246,BRD8,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
247,VAMP3,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
248,AL360012.1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
249,FHL3,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
250,ZC3H12A,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
251,CCDC22,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
252,SDC3,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
253,SAMD11,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
254,CTPS1,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
255,TCEAL9,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
256,EYA3,1.7950549,26.096947,0.08307466551442902,0.6508925946274826
257,COMMD6,1.7760619,2.1351678,0.08280035245573802,0.6508925946274826
258,C1QA,1.7682863,1.0091019,0.08452037761916768,0.6508925946274826
259,RHBDD3,1.7570475,26.591774,0.08946450565259499,0.6508925946274826
260,ST3GAL2,1.7570475,26.591774,0.08946450565259499,0.6508925946274826
261,SLC43A1,1.7441975,26.363815,0.09171703704866102,0.6508925946274826
262,YPEL5,1.7441975,26.363815,0.09171703704866102,0.6508925946274826
263,SUSD6,1.7441975,26.363815,0.09171703704866102,0.6508925946274826
264,PNPO,1.7441975,26.363815,0.09171703704866102,0.6508925946274826
265,SLC18B1,1.7441975,26.363815,0.09171703704866102,0.6508925946274826
266,MMUT,1.7441975,26.363815,0.09171703704866102,0.6508925946274826
267,PHF10,1.7441975,26.363815,0.09171703704866102,0.6508925946274826
268,GCLC,1.7441975,26.363815,0.09171703704866102,0.6508925946274826
269,SLC25A20,1.7441975,26.363815,0.09171703704866102,0.6508925946274826
270,DMTN,1.7441975,26.363815,0.09171703704866102,0.6508925946274826
271,LGALS8,1.7441975,26.363815,0.09171703704866102,0.6508925946274826
