,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHG3,13.033273,2.5157363,3.377916991699504e-30,3.1353825516954793e-26
1,IGHM,11.300504,2.2691236,1.4037022477023667e-23,2.1715273771955615e-20
2,IGLC3,11.101805,3.6054854,1.8026002057424427e-25,5.577245036567118e-22
3,IGHG4,11.100739,1.6745673,1.0328646078384532e-22,1.369578469993789e-19
4,LCN2,10.594052,3.1061568,4.126200993092477e-24,7.659879523576874e-21
5,IGKC,9.854202,1.425262,1.2887532831741717e-18,1.196220797442266e-15
6,AL627171.2,9.389996,1.2946118,5.781204561293177e-17,3.353821296120204e-14
7,IGLC2,8.869148,2.151043,2.266448955737085e-16,1.2374811298324483e-13
8,IGHA1,8.002475,1.5338469,2.299308331544139e-13,9.279208666692479e-11
9,IGHG2,7.6354556,2.952896,3.0517564331384426e-13,1.1802668005162928e-10
10,NIBAN3,6.7048316,25.021372,3.396626827056255e-11,1.0509163402912054e-08
11,LINC02739,6.643776,1.1298069,3.264606459822259e-10,7.046994688388421e-08
12,FCRL1,6.596849,24.972164,6.854298797344022e-11,2.0523097237724908e-08
13,ACP5,6.5226426,2.2211828,2.607022950866479e-10,6.017421833608048e-08
14,RIPOR2,6.417338,24.926289,2.1541016549110865e-10,5.403884205644515e-08
15,FCER2,6.40017,24.998432,2.3999223317422265e-10,5.7118151495464995e-08
16,SPOCK2,6.081692,24.639366,1.701203236993245e-09,3.3596954139938936e-07
17,NLRP1,5.9467316,24.64614,3.7989666765953216e-09,6.781155517722649e-07
18,CCR7,5.8688755,3.323714,7.930210262909999e-09,1.269107097591907e-06
19,THY1,5.846273,24.78224,6.837479927449428e-09,1.1539179761197381e-06
20,IGLC1,5.838615,1.4271199,2.4643559797294614e-08,3.3638459123307147e-06
21,FGR,5.7863693,24.53961,9.666409783169871e-09,1.424184374720361e-06
22,IDO1,5.7734275,2.3366868,1.6579854690373403e-08,2.331730473273423e-06
23,REG1A,5.6583085,1.2591263,7.076798414054664e-08,8.010590595031145e-06
24,TNFRSF6B,5.5276937,2.090231,7.711577388459778e-08,8.543310039881058e-06
25,CD79B,5.473519,2.688033,7.993068127703991e-08,8.728430395452757e-06
26,SLC12A4,5.4636207,24.300297,5.913648097457424e-08,6.902274596092584e-06
27,ATG16L1,5.3858833,24.385954,9.022979306379968e-08,9.517192491115782e-06
28,SHMT2,5.3657827,24.249159,1.0055830668697664e-07,1.0205834360737764e-05
29,TYROBP,5.345951,2.6703155,1.5247919171696657e-07,1.4320421700760744e-05
30,SIGLEC10,5.334828,24.279287,1.1874028636933786e-07,1.172497168170419e-05
31,IL7R,5.314697,3.1771045,1.624958831771795e-07,1.4933532550995843e-05
32,ARL4C,5.2663374,24.196182,1.7099838750937981e-07,1.556085326335356e-05
33,APBB1,5.234964,24.227404,2.0181053260653518e-07,1.7805437348678187e-05
34,ARHGAP25,5.208915,24.257975,2.3141675923318276e-07,1.9888984807429653e-05
35,FBN1,5.1580167,24.279287,3.0185902666910875e-07,2.5471413504933342e-05
36,CD55,5.122787,1.8030415,5.718287304492471e-07,4.3174222818225104e-05
37,SLC15A2,5.0035872,24.15071,6.665451246827728e-07,4.83349363070742e-05
38,BIK,4.9573784,24.024727,8.413443615002036e-07,5.9613422621716716e-05
39,JCHAIN,4.92246,0.94975096,2.0849395353224202e-06,0.00011658077570399221
40,CXCR5,4.8980784,24.09399,1.1312471629234534e-06,7.412794907106065e-05
41,FGFR1,4.860072,24.160133,1.3653703307954027e-06,8.448911606961952e-05
42,LRMP,4.79051,24.034992,1.9200632843322184e-06,0.00011069582239237051
43,PXDN,4.79051,24.034992,1.9200632843322184e-06,0.00011069582239237051
44,MZB1,4.723831,1.5113726,4.098099178406582e-06,0.00021015777112690548
45,MUC1,4.71247,1.1622696,4.270311658092523e-06,0.00021541865657834133
46,CD24,4.7059054,1.1911432,4.648421744357656e-06,0.00023322513854663656
47,BLK,4.6991153,2.9638,3.5160218401989353e-06,0.00018438256904365264
48,RNASE6,4.680744,23.973522,3.259291817944891e-06,0.0001718906059895709
