,names,scores,logfoldchanges,pvals,pvals_adj
0,TAP1,6.8890324,28.971977,7.398642588203063e-10,4.466215064549812e-06
1,RRBP1,6.8318167,28.487005,9.623389494828294e-10,4.466215064549812e-06
2,DNM2,6.1654253,28.16349,1.9556311240971675e-08,5.734618229069464e-05
3,SEMA3B,6.1126494,28.044992,2.4712855975304736e-08,5.734618229069464e-05
4,WDR6,5.7251115,27.852648,1.345609572054115e-07,0.0002497989609561259
5,EHBP1L1,5.6449075,27.77659,1.9002051326934532e-07,0.0002939617340276772
6,ATP6AP1,5.4009137,27.876871,5.359464612534763e-07,0.0007106650076221095
7,MLLT6,5.2387595,27.563433,1.0553719939721122e-06,0.0011975512007528263
8,SOD2,5.223567,3.4371495,1.7708451841578152e-06,0.001494271363577531
9,LAP3,5.215711,27.601841,1.161167938674363e-06,0.0011975512007528263
10,PSMA1,5.1358466,27.752024,1.614285663344072e-06,0.001494271363577531
11,IDO1,5.0419683,27.711138,2.3702945785110573e-06,0.0016800934713423442
12,PTGES3,5.0417876,27.574678,2.3720403958200054e-06,0.0016800934713423442
13,SOD1,5.025551,27.737352,2.5340776340005192e-06,0.0016800934713423442
14,TNIP1,4.9486737,27.382618,3.4599754131734223e-06,0.0016995333046370684
15,TNFRSF6B,4.945754,27.701841,3.500975136677818e-06,0.0016995333046370684
16,TBC1D10C,4.9429054,27.665596,3.541432815509484e-06,0.0016995333046370684
17,NOSIP,4.9416103,27.545881,3.559977050217261e-06,0.0016995333046370684
18,PSMB10,4.9292717,27.622622,3.7414651075865392e-06,0.0016995333046370684
19,UBE2Z,4.920166,27.425241,3.881147582847482e-06,0.0016995333046370684
20,GPI,4.920166,27.425241,3.881147582847482e-06,0.0016995333046370684
21,TMEM45B,4.899203,27.466825,4.2223288612972855e-06,0.0016995333046370684
22,SPSB3,4.899203,27.466825,4.2223288612972855e-06,0.0016995333046370684
23,C1R,4.8892484,27.649052,4.394397684905154e-06,0.0016995333046370684
24,ATP6V0D1,4.8415627,27.49573,5.318027690591195e-06,0.0018206189108678904
25,HLA-DRB5,4.8415627,27.49573,5.318027690591195e-06,0.0018206189108678904
26,AUP1,4.829643,27.61284,5.576929090779193e-06,0.0018206189108678904
27,YPEL3,4.824684,27.261414,5.688208189524761e-06,0.0018206189108678904
28,SYMPK,4.824684,27.261414,5.688208189524761e-06,0.0018206189108678904
29,GBP4,4.7921767,27.90909,6.473107604652267e-06,0.0020027794928794114
30,RNF213,4.7848597,3.2806025,9.872314550586054e-06,0.0028635882393293673
31,PIM2,4.740216,27.39511,7.951155665194592e-06,0.0023807298994947164
32,MIGA2,4.6621304,27.180176,1.0806456559527319e-05,0.003039561508652502
33,RASGRP2,4.6411333,27.41297,1.1730411830224714e-05,0.003202402429651347
34,PDIA4,4.6267905,27.406208,1.2405124765191822e-05,0.0032121837428320675
35,DDX3X,4.6256914,27.228176,1.2458372628954367e-05,0.0032121837428320675
36,ATP5MC2,4.603462,27.563433,1.3583725462349199e-05,0.003407679452473656
37,CYBA,4.5788264,3.236154,2.0195893509263708e-05,0.004400007532438955
38,TMED10,4.57835,27.214375,1.4973711235936849e-05,0.0036575259918938375
39,LGALS3,4.5740385,2.4395645,3.29667879447225e-05,0.005773541994394608
40,TMED2,4.5470514,27.04267,1.6900014444307327e-05,0.004022203437745144
41,CFB,4.5308957,3.1862638,2.5653830252120956e-05,0.004882344759079388
42,TST,4.52545,27.351711,1.836727632394951e-05,0.004262126470972483
43,LAT,4.4983454,27.09476,2.0383572925541378e-05,0.004400007532438955
44,TMPRSS2,4.4983454,27.09476,2.0383572925541378e-05,0.004400007532438955
45,GOLGA8A,4.4625354,27.145258,2.3378339702277737e-05,0.004882344759079388
46,CYHR1,4.4369516,27.194262,2.5774067355622715e-05,0.004882344759079388
47,VDAC1,4.4369516,27.194262,2.5774067355622715e-05,0.004882344759079388
48,SH3GLB2,4.4369516,27.194262,2.5774067355622715e-05,0.004882344759079388
49,IL2RG,4.4369516,27.194262,2.5774067355622715e-05,0.004882344759079388
50,FAM50A,4.419613,27.241863,2.7530910887050468e-05,0.005110838297072049
51,SIPA1,4.398876,27.477468,2.9784301034042774e-05,0.005420742788195785
52,WASF2,4.3817806,26.949596,3.177510852872163e-05,0.00567185687237681
53,SLC38A10,4.3660254,27.274834,3.372317504197922e-05,0.0057736020493374144
54,GCNT3,4.3622165,27.320229,3.421117353087242e-05,0.0057736020493374144
55,HNRNPAB,4.333003,27.00468,3.818735540893835e-05,0.006007712422131623
56,ATG16L2,4.333003,27.00468,3.818735540893835e-05,0.006007712422131623
57,GNS,4.333003,27.00468,3.818735540893835e-05,0.006007712422131623
58,ACAA1,4.333003,27.00468,3.818735540893835e-05,0.006007712422131623
59,GMFG,4.3206086,27.307169,4.000584388344122e-05,0.006188904048768358
60,STUB1,4.306198,27.299969,4.222534918502403e-05,0.006220803355665753
61,SPCS2,4.2978616,27.057972,4.356304870914393e-05,0.006220803355665753
62,ENPEP,4.2978616,27.057972,4.356304870914393e-05,0.006220803355665753
63,SCP2,4.2978616,27.057972,4.356304870914393e-05,0.006220803355665753
64,ZRANB2,4.2978616,27.057972,4.356304870914393e-05,0.006220803355665753
65,GANAB,4.2734036,27.10959,4.7727601397191296e-05,0.006420399944474343
66,NADSYN1,4.2734036,27.10959,4.7727601397191296e-05,0.006420399944474343
67,HAPLN3,4.2734036,27.10959,4.7727601397191296e-05,0.006420399944474343
68,MAP3K11,4.2734036,27.10959,4.7727601397191296e-05,0.006420399944474343
69,SIRT7,4.2574687,27.159643,5.064465446664022e-05,0.006715481182276493
70,VAMP2,4.2146363,26.850885,5.9362057022436535e-05,0.00765275851780911
71,NDUFB7,4.2146363,26.850885,5.9362057022436535e-05,0.00765275851780911
72,CDKN1A,4.205349,27.194262,6.143436229492996e-05,0.007662615229173647
73,SARAF,4.2032375,27.241863,6.191511982202366e-05,0.007662615229173647
74,SLAMF7,4.2032375,27.241863,6.191511982202366e-05,0.007662615229173647
75,NPDC1,4.165735,26.909353,7.108204370482143e-05,0.008046140605709214
76,MXD1,4.165735,26.909353,7.108204370482175e-05,0.008046140605709214
77,SNRNP200,4.165735,26.909353,7.108204370482175e-05,0.008046140605709214
78,MAP2K3,4.165735,26.909353,7.108204370482175e-05,0.008046140605709214
79,GBP5,4.165735,26.909353,7.108204370482175e-05,0.008046140605709214
80,SLC44A4,4.165735,26.909353,7.108204370482175e-05,0.008046140605709214
81,AKAP17A,4.165735,26.909353,7.108204370482175e-05,0.008046140605709214
82,ITGAL,4.1477504,27.172405,7.592833501286295e-05,0.008491166332402336
83,NT5C,4.1313176,26.96579,8.063292662704229e-05,0.008702730522700123
84,CASP10,4.1313176,26.96579,8.063292662704273e-05,0.008702730522700123
85,STX4,4.1313176,26.96579,8.063292662704273e-05,0.008702730522700123
86,CEBPB,4.1080947,27.02034,8.776160228859854e-05,0.0093632550855491
87,ERAP2,4.093698,27.073133,9.248088061772037e-05,0.00964502847071551
88,AGPAT2,4.093698,27.073133,9.248088061772037e-05,0.00964502847071551
89,IGHG2,4.063822,2.8246539,0.00014178875339112935,0.011866438478584233
90,AP2S1,4.0617375,27.00468,0.00010384381190458713,0.009934270579830469
91,MGAT1,4.0617375,27.00468,0.00010384381190458713,0.009934270579830469
92,CLEC2D,4.059783,27.274834,0.00010458059170296831,0.009934270579830469
93,LIME1,4.055376,27.255442,0.00010626018496934595,0.009934270579830469
94,ATP6V0C,4.050589,2.037805,0.00029393353132170145,0.018050585685933866
95,NORAD,4.048994,27.057972,0.00010873836827006576,0.009934270579830469
96,BTN3A1,4.048994,27.057972,0.00010873836827006638,0.009934270579830469
97,EML3,4.048994,27.057972,0.00010873836827006638,0.009934270579830469
98,RAB1B,4.04721,27.208231,0.00010944082583886047,0.009934270579830469
99,PLA2G2A,4.046503,1.9397837,0.00020734861260126853,0.014580377440643747
100,LYPLA2,4.0451994,26.745754,0.00011023808120260055,0.009934270579830469
101,FURIN,4.0451994,26.745754,0.00011023808120260055,0.009934270579830469
102,NDUFC2,4.0451994,26.745754,0.00011023808120260055,0.009934270579830469
103,SPPL2A,4.0451994,26.745754,0.00011023808120260055,0.009934270579830469
104,DENR,4.0451994,26.745754,0.00011023808120260055,0.009934270579830469
105,SUCLG2,4.0451994,26.745754,0.00011023808120260055,0.009934270579830469
106,IFI16,4.015817,27.241863,0.00012254051317428033,0.01093674080080452
107,NAP1L1,4.0044675,27.04267,0.00012763648703280307,0.011199104563662141
108,REX1BD,3.996121,26.80808,0.00013151286333108956,0.011199104563662141
109,AP1B1,3.996121,26.80808,0.00013151286333108956,0.011199104563662141
110,TCF3,3.996121,26.80808,0.00013151286333108956,0.011199104563662141
111,RNPS1,3.996121,26.80808,0.00013151286333108956,0.011199104563662141
112,SLC4A2,3.9625037,26.868088,0.00014829852009435156,0.011866438478584233
113,GBA2,3.9625037,26.868088,0.00014829852009435156,0.011866438478584233
114,BRI3,3.9625037,26.868088,0.00014829852009435156,0.011866438478584233
115,MRPS7,3.9625037,26.868088,0.00014829852009435156,0.011866438478584233
116,IRF8,3.9625037,26.868088,0.00014829852009435156,0.011866438478584233
117,H2AFZ,3.9625037,26.868088,0.00014829852009435156,0.011866438478584233
118,HDHD3,3.944766,27.122742,0.00015796286866821108,0.012531720914344745
119,CUL9,3.9406538,26.925951,0.0001602880365445235,0.012608419959375146
120,ATM,3.9279597,26.981825,0.000167673726274523,0.013078550649412794
121,NDRG1,3.9220462,27.057972,0.00017122435534324323,0.013244203885799865
122,SLC20A1,3.9137833,26.850885,0.00017630626503157068,0.013524584727463132
123,IGHG4,3.902531,1.6682165,0.0006051580017828821,0.026965250488051113
124,TUBA1A,3.8939285,26.909353,0.00018911385984276972,0.014271177618378768
125,DDX39A,3.8939285,26.909353,0.00018911385984276972,0.014271177618378768
126,IGKC,3.891532,1.6745399,0.0008036590703822237,0.029593062696143594
127,EIF3E,3.8829734,26.96579,0.00019655624677081826,0.014425099232524956
128,IDH2,3.8829734,26.96579,0.0001965562467708188,0.014425099232524956
129,COMMD6,3.8790667,27.02034,0.00019927739678237089,0.014425099232524956
130,CHD4,3.8729835,26.63325,0.00020358629599879005,0.014425099232524956
131,ESRRA,3.8729835,26.63325,0.00020358629599879005,0.014425099232524956
132,TRIM69,3.8729835,26.63325,0.00020358629599879005,0.014425099232524956
133,TLE3,3.8729835,26.63325,0.00020358629599879005,0.014425099232524956
134,PTMS,3.8729835,26.63325,0.00020358629599879005,0.014425099232524956
135,CD55,3.8265364,27.206762,0.00023954498742539677,0.016273666011780482
136,DHRS3,3.8236742,26.700016,0.0002419484927414034,0.016273666011780482
137,OCIAD1,3.8236742,26.700016,0.0002419484927414034,0.016273666011780482
138,PLEKHO1,3.8236742,26.700016,0.0002419484927414034,0.016273666011780482
139,PIM3,3.8236742,26.700016,0.0002419484927414034,0.016273666011780482
140,SLC3A2,3.8236742,26.700016,0.0002419484927414034,0.016273666011780482
141,IRF1,3.8201578,2.3893883,0.000391813612271088,0.02126791783099555
142,AL049543.1,3.8079848,2.823972,0.0003662318746822974,0.020425171030447012
143,MTRNR2L1,3.7923305,3.0399272,0.0002955924395886606,0.018050585685933866
144,TXNDC17,3.79096,26.764109,0.0002711047831699733,0.017002666198538515
145,EXOC7,3.79096,26.764109,0.0002711047831699733,0.017002666198538515
146,DMAP1,3.79096,26.764109,0.0002711047831699733,0.017002666198538515
147,MLLT1,3.79096,26.764109,0.0002711047831699733,0.017002666198538515
148,CAPG,3.79096,26.764109,0.0002711047831699733,0.017002666198538515
149,HSPE1,3.79096,26.764109,0.0002711047831699733,0.017002666198538515
150,WDR45,3.79096,26.764109,0.0002711047831699733,0.017002666198538515
151,NID1,3.79096,26.764109,0.00027110478316997417,0.017002666198538515
152,SRSF4,3.79096,26.764109,0.00027110478316997417,0.017002666198538515
153,RTN4,3.79096,26.764109,0.00027110478316997417,0.017002666198538515
154,CCT6A,3.7706573,26.825743,0.0002908519548678115,0.017997918967220174
155,EIF2B5,3.7706573,26.825743,0.0002908519548678115,0.017997918967220174
156,IGHA1,3.7643783,2.2407615,0.0012357399917273602,0.03733603171523829
157,VAPA,3.759868,26.885109,0.000301895925984838,0.01817150033504082
