,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHG4,8.266438,2.8178406,4.392121838450373e-14,1.9981548549732458e-11
1,IGKC,8.2488785,2.3145044,4.5207123415684294e-14,1.9981548549732458e-11
2,IGHG3,7.070364,2.8442414,2.6132814664075834e-11,4.950301749223508e-09
3,MUC1,6.4866323,3.7979963,9.082445074074025e-10,9.69002933075346e-08
4,IGHG1,6.3352623,2.4254332,1.59541330703344e-09,1.4789197606688294e-07
5,IGLC2,5.9076095,2.5672739,1.3922222442869749e-08,9.432559760198322e-07
6,IGHA1,5.6580954,1.8344123,6.153704563643204e-08,3.1212396590019794e-06
7,IGLC1,5.313163,2.0252502,2.8035404810641896e-07,1.0797702383916102e-05
8,REG1A,5.051242,1.5709114,1.0119004173950565e-06,3.084264866387392e-05
9,IGLC3,4.7605596,2.55,3.6610048241317034e-06,8.362544474675323e-05
10,TNFRSF6B,4.6611643,2.9397361,5.800834169949439e-06,0.0001212687900123214
11,IGHM,4.324284,1.4221579,2.4486811452652924e-05,0.00037138330703190265
12,WARS,4.308264,1.897138,2.5379802039953693e-05,0.0003799601976368551
13,JCHAIN,4.279559,1.3505863,3.219346610669274e-05,0.00045621336244629316
14,TMEM107,4.27536,1.226871,3.503916626675956e-05,0.0004854231959523317
15,MMP12,4.2103724,26.616098,4.4860186803256946e-05,0.0005858940031901968
16,PDZK1IP1,4.206629,2.6761332,3.960740379247955e-05,0.0005325438209296298
17,CD79A,4.117402,3.5040753,5.688227915341279e-05,0.0006968089253796281
18,IGHG2,4.0138755,2.324776,8.326433517280045e-05,0.0009049877740912573
19,LINC02739,3.9834642,1.2145015,0.00010010987661648972,0.0010511537044731421
20,CXCL10,3.7742612,26.375307,0.0002344838634840026,0.002024895836747565
21,MZB1,3.7609124,2.0809593,0.00021979148337559573,0.0019282651688962945
22,MS4A1,3.7382996,3.4913485,0.0002467908234604201,0.0020996447510170666
23,CD79B,3.7218347,26.010027,0.0002835938916337111,0.002329485400127528
24,GBP4,3.611143,2.0542245,0.0003817983877310033,0.002904797241737027
25,IDO1,3.4203265,2.378524,0.0007614152442610389,0.004949199087696752
26,CXCL9,3.3629873,2.3434765,0.0009195712073062011,0.005705521354422565
27,ICAM1,3.237404,3.1357253,0.0014181955243200179,0.0078030176981259075
28,CDC25B,3.233467,1.4554718,0.0014331281701728854,0.007861876876799482
29,LCN2,3.2156162,1.4296083,0.0015168271593209734,0.008188870584693878
30,CTSC,3.131639,1.7621336,0.001992311317336842,0.01004488519691503
31,HLA-DOB,3.0876095,25.39995,0.002424161356976039,0.011584452848606111
32,APBA2,3.0876095,25.39995,0.002424161356976039,0.011584452848606111
33,TNFAIP2,3.0647533,1.662138,0.0024699551706284396,0.011738926724922261
34,IKZF1,3.0396824,25.492844,0.002817024357729029,0.012997993840080987
35,DMBT1,2.9277558,1.0131762,0.003865488328711919,0.016428325397025656
36,CSF1R,2.9004176,2.864831,0.004139343908075466,0.01715240631908771
37,TCL1A,2.9003043,25.226528,0.004317385915374237,0.017684896763682116
38,NUP188,2.9003043,25.226528,0.004317385915374237,0.017684896763682116
39,TNFRSF13C,2.8717268,2.8060431,0.004512507657550391,0.018306423110744197
40,VAV1,2.8516548,25.330385,0.004993900282055893,0.019809137785488377
41,WDFY4,2.7030666,25.03039,0.007702976432553437,0.027200198740707462
42,CALHM6,2.7030666,25.03039,0.007702976432553437,0.027200198740707462
43,TRIB2,2.699752,2.7000606,0.0075164759247875424,0.026679896571272645
44,C1S,2.6538434,1.1748188,0.008733401538950662,0.02973713612785768
45,PPM1K,2.6537542,25.14822,0.008861184990090053,0.030012806652722827
46,JAK3,2.640828,1.0822767,0.008990989960846577,0.030347996509008438
47,AL049543.1,2.5984514,1.2249786,0.010145836373023395,0.03303179698856652
48,FSTL1,2.5632877,2.7449338,0.011103897092475076,0.03520026393864537
49,COL7A1,2.5597887,2.6538405,0.0111944106675075,0.03528051617886851
50,NCF4,2.5222683,2.5862424,0.012412710260583649,0.03822653504934884
51,DERL3,2.4937303,1.8422127,0.013417678093469797,0.04017673567439752
52,HHEX,2.4934697,24.804508,0.013789785225251738,0.04102082924177452
53,AL135999.1,2.4934697,24.804508,0.013789785225251738,0.04102082924177452
54,DAPP1,2.4934697,24.804508,0.013789785225251738,0.04102082924177452
55,ATRIP,2.4934697,24.804508,0.013789785225251738,0.04102082924177452
56,BST2,2.4608653,1.2589446,0.01477107942803613,0.04307419392115343
