,names,scores,logfoldchanges,pvals,pvals_adj
0,REG1A,15.195414,4.543728,5.041419009007371e-32,4.679445124160642e-28
1,IGHA1,12.889314,3.6446776,6.495106592669493e-27,3.014378969657912e-23
2,AL627171.2,12.185408,2.4996815,2.3071682101830647e-24,5.353783831729802e-21
3,IGKC,10.251349,2.70953,4.826731552321706e-19,8.960344453730013e-16
4,JCHAIN,8.402497,2.3469877,1.740237602886701e-14,2.6921475716657264e-11
5,S100A6,8.121056,2.5468833,1.296060839370325e-13,1.718576673005051e-10
6,DMBT1,7.7479563,3.425162,2.444116221478999e-12,2.2686286767768065e-09
7,IGHG3,7.7216916,2.645725,9.87393711190221e-13,1.1456235534084539e-09
8,HLA-C,7.6833463,2.2500818,1.155068622376167e-12,1.1912607725439534e-09
9,LINC02739,7.5424323,2.2788846,3.134902199608218e-12,2.424846851396957e-09
10,IGHG4,7.5314126,2.2013927,3.1083512181430294e-12,2.424846851396957e-09
11,PLA2G2A,7.1577125,2.8945923,4.619521084464448e-11,3.298338054307616e-08
12,IGLC3,6.929671,3.6569836,2.555882867823094e-10,1.6945503413667114e-07
13,PSAP,6.5916934,2.297528,5.679598067595858e-10,3.514535284228317e-07
14,MUC1,6.590215,3.702171,1.42431015575417e-09,8.262779291068878e-07
15,SPINK4,6.446503,2.7591138,1.732870360550631e-09,9.461472168606446e-07
16,CXCL14,6.015084,2.0996335,1.089085290218875e-08,5.320468244111368e-06
17,PDZK1IP1,6.0081153,5.078431,2.8184965742914313e-08,1.2457754858368126e-05
18,LCN2,5.961843,5.4477487,3.740736325849918e-08,1.5782506625699518e-05
19,CTSB,5.7024117,2.0430856,5.278602606035412e-08,2.1302604082269867e-05
20,TMSB10,5.689151,1.5549661,5.614332373924567e-08,2.1713430456153263e-05
21,IGHG2,5.677761,3.3140554,8.851199565965481e-08,3.042845717455244e-05
22,B2M,5.650257,1.2161927,6.991331465755064e-08,2.5957415466055404e-05
23,IGHM,5.63004,1.9129916,7.311309106560657e-08,2.6101373510421542e-05
24,SERPINA1,5.558888,1.6520767,1.0262151993861082e-07,3.401903385964949e-05
25,FTL,5.2988515,1.3839285,3.5674515130363405e-07,0.0001141830515310459
26,CST3,5.2383075,1.941937,4.997783388819891e-07,0.00015463141805008743
27,IGLC2,5.1879525,2.2755256,6.576494784919233e-07,0.00019691298256006555
28,IGLC1,5.148646,1.8372705,7.465204185247929e-07,0.00021653757889834776
29,IFI30,5.124308,2.3807015,9.742635837089465e-07,0.0002740337752723164
30,AGR2,5.012154,2.4520695,1.5913784117063633e-06,0.00040121761207319
31,PHGR1,4.9994473,1.3212392,1.4153878515214937e-06,0.0003753608582235001
32,ACTB,4.9831634,1.3936862,1.6425629453545808e-06,0.00040121761207319
33,MUC13,4.973423,1.5584512,1.6157992594175633e-06,0.00040121761207319
34,AL049543.1,4.9456453,2.9194782,2.264290046983705e-06,0.0005389010311821218
35,TNFRSF6B,4.8700824,4.13065,3.5125064997511312e-06,0.0007762639364449999
36,SNHG1,4.869054,1.0689237,2.5444256274433748e-06,0.0005904339668482351
37,SPINK1,4.8065567,2.5938323,3.8402032713378406e-06,0.0008101083355581327
38,C1QB,4.803683,2.469172,3.819666149169562e-06,0.0008101083355581327
39,LYZ,4.801544,1.6046426,3.4953784424704683e-06,0.0007762639364449999
40,CFB,4.738183,2.1394372,5.044219585070922e-06,0.0009961797061410276
41,P4HB,4.737547,1.5684122,4.568194383856036e-06,0.0009422662282433718
42,FABP1,4.721981,1.3752112,4.847359591936036e-06,0.0009781128637467453
43,LGALS3,4.6835775,1.6394889,5.866364197978844e-06,0.0011344081767841589
44,TXNDC5,4.609558,2.2863333,8.4785255355339e-06,0.0015739534804165131
45,C1QA,4.583382,1.4316651,8.819942567175332e-06,0.0016052295472259103
46,ACP5,4.5827255,2.692934,1.0612917937044902e-05,0.0017910746234845597
47,GAS5,4.576966,1.2366868,9.079304282161214e-06,0.0016206558143657766
48,ANXA2,4.5658345,1.9489502,9.938771034591695e-06,0.00174059759892604
49,IDO1,4.5608196,3.1474009,1.2101866742428538e-05,0.00200588441255753
50,HLA-DRA,4.5485177,1.2028847,1.0426924087155607e-05,0.0017910746234845597
51,RNASEK,4.4474335,2.428835,1.7069715819992184e-05,0.002779668460371359
52,CTSD,4.419819,1.355318,1.761654819238768e-05,0.002819255177961076
53,MT-CO2,4.3777504,0.93623847,2.082629850179622e-05,0.0032764356388758054
54,S100A11,4.3776054,2.3775506,2.3136756709387276e-05,0.0035792562629422117
55,CD59,4.3438983,2.7267919,2.7550360453855117e-05,0.0041746149106495324
56,HM13,4.335464,2.5227406,2.7884736528794547e-05,0.0041746149106495324
57,KRT8,4.292879,1.5069436,3.0274832163222843e-05,0.0043907967521724135
58,MYL6,4.2453256,1.2644125,3.59598047282018e-05,0.005045681808237303
59,SSR4,4.2150173,1.9303808,4.2491894061339974e-05,0.005800143539372906
60,SOD2,4.194551,1.6970116,4.451853421209486e-05,0.00598871064574876
61,PIGR,4.155875,1.0325444,5.211271530289678e-05,0.006910146049164113
62,COL1A2,4.1460843,1.9979705,5.607508675980703e-05,0.007330830356401815
63,GNS,4.1286025,3.9892683,7.01776252899098e-05,0.008788792984991963
64,TAP1,4.108236,1.8568531,6.456509758095096e-05,0.008323517163144261
65,APOL2,4.094211,2.3022826,7.101481080310248e-05,0.008788792984991963
66,STAT2,4.0234833,1.664919,8.598307546192376e-05,0.010501248768915478
67,MIGA2,4.0169525,3.1844258,0.00010118858614367215,0.012197824111500843
68,TMPRSS2,4.0108275,3.1408775,0.00010273990804417183,0.01221967651111298
69,ISG15,3.9904866,2.8112116,0.00010911014721337353,0.012503214647339915
70,CXCL9,3.987606,2.4576812,0.00010873126647057371,0.012503214647339915
71,IFI27,3.976303,1.574784,0.00010400284899568255,0.01221967651111298
72,RARRES1,3.9531898,4.003304,0.0001360322943793246,0.0146819971677778
73,IFITM3,3.9414847,2.0792234,0.0001263302360694816,0.01429996647801132
74,LRP10,3.9224784,2.1211777,0.00013498609678773744,0.0146819971677778
75,ASS1,3.9183989,2.1122544,0.00013576738685412696,0.0146819971677778
76,MMP12,3.9018493,4.2266974,0.00016770239716359527,0.016731355272028983
77,S100A10,3.90076,1.7997923,0.00014065555117246696,0.015006492252676303
78,HLA-A,3.8888717,1.060387,0.00014608967526766748,0.015409140520846474
79,TGFBI,3.8805764,3.1968675,0.00016944057267514808,0.016731355272028983
80,OLFM4,3.8698504,1.8005558,0.00015967396670661036,0.016280394306453887
81,STAT1,3.8656898,1.7003661,0.00015824374098077627,0.016280394306453887
82,VAMP5,3.865539,3.1536448,0.00017795265731588843,0.01718133458295125
83,CTSH,3.8636782,1.7202334,0.0001613656837097347,0.016280394306453887
84,SERPING1,3.850666,3.215954,0.00018796699679142208,0.017623329941595753
85,RARRES2,3.84822,2.1291292,0.00017784959561329352,0.01718133458295125
86,SMIM5,3.843128,3.2563577,0.00019628382368065087,0.018038677736671303
87,CD63,3.8386931,1.6126063,0.00017955068460959612,0.01718133458295125
88,RPN1,3.8352144,2.3966792,0.000185026344939282,0.017524638099249135
89,IRF1,3.816816,1.4639139,0.00019138630710916241,0.017764477025872454
90,A2M,3.8087065,1.9586418,0.00019988776222309973,0.018189786362302073
91,MARK2,3.8057117,3.759461,0.00022717997103934614,0.02047266496298263
92,CSF1R,3.804334,4.0172215,0.00023455272254422238,0.02073446067290926
93,SERPINB6,3.7612805,1.6051301,0.00023397719054677892,0.02073446067290926
94,CD55,3.7564883,3.3744779,0.0002728429160035835,0.023449332836530203
