,names,scores,logfoldchanges,pvals,pvals_adj
0,IGLC3,10.36152,29.480932,7.082967428280452e-20,6.574410366929916e-16
1,LINC02739,10.264409,3.265686,5.1099424497679885e-18,2.3715242909373236e-14
2,IGLC2,9.307377,3.9827378,1.9671101601080293e-17,6.086238835374243e-14
3,IGHM,9.237302,2.8600495,2.6239032550353703e-15,6.0887675033095766e-12
4,IGHG3,8.328406,3.745171,1.8163279268717775e-12,2.408450831031977e-09
5,AL627171.2,8.295747,1.6694603,2.7558974596782427e-12,2.8422489134148275e-09
6,IGHG4,7.8523088,2.638043,6.534089314252805e-11,5.054118084574545e-08
7,IGLC1,7.758699,2.6970792,1.7165448715017717e-12,2.408450831031977e-09
8,IGHG1,7.2350235,2.8969452,2.3343737344686778e-11,2.1667657003338265e-08
9,IGKC,7.072953,2.2676792,2.8363284306699903e-09,1.4626000274154917e-06
10,MUC1,6.380814,2.4938815,2.0086269237897187e-09,1.1652546941635107e-06
11,MS4A1,6.28797,27.57419,2.540168952259656e-09,1.3869322479337723e-06
12,PDZK1IP1,6.045527,2.9343078,1.1058166116021152e-08,4.8877094232813486e-06
13,TMEM107,6.0177174,1.8301182,4.353453977131573e-08,1.6163503926294103e-05
14,CD79B,5.957183,27.160847,1.3992631953545176e-08,5.903618626945743e-06
15,TNFRSF6B,5.9000235,3.2342162,1.694587728704093e-08,6.83876665123104e-06
16,REG1A,5.89236,1.7752166,1.0153970146904391e-07,3.3020357440864354e-05
17,IGHG2,5.6633477,3.5254622,9.813856790421996e-08,3.3020357440864354e-05
18,C1QC,5.554957,27.070318,1.0316638286846221e-07,3.3020357440864354e-05
19,IGHA1,5.216919,1.6300869,2.5294753640374788e-06,0.000634556495378267
20,ACP5,5.1417255,2.7207654,7.376333446808394e-07,0.00021651583377645315
21,AIF1,4.999942,26.61657,1.397858530661826e-06,0.0003707120823315162
22,JCHAIN,4.8832846,1.4153168,6.871577730662698e-06,0.0015186186784764562
23,SERPING1,4.857821,3.4868236,2.3955753864735993e-06,0.0006176591871457763
24,NCF1,4.8274684,2.1488209,3.984574937434635e-06,0.0009483288351094431
25,CXCR4,4.74138,26.590796,4.416450727662335e-06,0.0010248373913540449
26,LCN2,4.6329904,1.8855953,9.606124346051203e-06,0.0019814232484454946
27,CALHM6,4.5640936,26.273962,9.482309982963101e-06,0.0019814232484454946
28,SNHG1,4.500164,1.3588215,3.315554781023994e-05,0.00591826528412783
29,FMNL1,4.3953915,26.241852,1.9246127195489643e-05,0.00372171984642781
30,POU2AF1,4.368027,26.48832,2.1549081827483154e-05,0.004000371550453972
31,CXCL9,4.2133923,2.5816743,4.919241128513739e-05,0.007638712689473475
32,WDR81,4.185569,25.971865,4.5191403345808015e-05,0.007490475104567678
33,TNFRSF13C,4.185569,25.971865,4.5191403345808015e-05,0.007490475104567678
34,PCED1B-AS1,4.143214,26.025368,5.3492385780626576e-05,0.007638712689473475
35,LST1,4.143214,26.025368,5.3492385780626576e-05,0.007638712689473475
36,BIN2,4.091286,26.127108,6.566580067661354e-05,0.008963381792357748
37,CYBB,4.038443,26.161652,8.074455504104263e-05,0.010266725477958325
38,KLF2,3.996991,25.932741,9.482801147097949e-05,0.01158149476938989
39,WARS,3.9897897,1.5335255,0.00011663496960751812,0.013485852716631571
40,MZB1,3.9584556,2.4763913,0.00012418028475883307,0.013726830416540063
41,NFRKB,3.8173263,25.892597,0.00018767870586760012,0.017535988730294803
