,names,scores,logfoldchanges,pvals,pvals_adj
0,NDUFV1,12.53069,27.76373,3.5308250257472083e-31,3.277311788898559e-27
1,TNFRSF14-AS1,12.220815,28.103907,6.367545218232168e-30,2.955177735781549e-26
2,AL049796.1,11.708045,27.56285,7.041925059390379e-28,2.1787716133753833e-24
3,EWSR1,11.522569,27.734056,3.7642112157707e-27,8.73485212619591e-24
4,AC124068.2,10.904978,27.38969,8.9869594228276e-25,1.6070727270735361e-21
5,SCNN1A,10.88837,27.556385,1.0388317563500556e-24,1.6070727270735361e-21
6,SON,10.704774,27.419937,5.111098087119251e-24,6.777316063520127e-21
7,HDLBP,10.238836,27.377316,2.712177766845235e-22,3.146804253982184e-19
8,IGHM,9.868863,27.850803,5.880468863818192e-21,6.064723554884495e-18
9,AC067930.8,9.654188,27.053265,3.392116105081166e-20,3.148562168736338e-17
10,ACOT11,9.619122,27.14038,4.50576685522966e-20,3.8020479954765187e-17
11,ANXA11,9.571059,27.200869,6.641962487295457e-20,5.137557983923036e-17
12,ARHGEF10L,9.54592,27.123388,8.132489981170863e-20,5.806597846555996e-17
13,PARP14,9.5297985,27.075336,9.258363521606452e-20,6.138295014825078e-17
14,CRACR2B,9.418709,27.075336,2.2535865714709565e-19,1.3945193704262279e-16
15,ATP9A,9.346427,27.179474,4.0054812807997245e-19,2.3236798280239404e-16
16,LRCH4,9.190631,27.044504,1.3699712033954923e-18,7.480042770539387e-16
17,SNHG3,9.172821,26.955591,1.5753595668392285e-18,8.123604166334288e-16
18,IGHA2,9.11178,26.899296,2.5393656263839237e-18,1.2163156804459687e-15
19,GPM6A,9.10348,26.847864,2.7092175774336047e-18,1.2163156804459687e-15
20,TCIRG1,9.101479,27.10591,2.751845430873233e-18,1.2163156804459687e-15
21,FAAH,9.0723915,27.110445,3.451659528419498e-18,1.4562865337631719e-15
22,TMUB2,9.054884,26.930044,3.9550464374122655e-18,1.5961191753069848e-15
23,MTG1,9.034924,27.034342,4.618136757559436e-18,1.786064390986112e-15
24,RARS,9.010277,27.075336,5.590496884628909e-18,2.075639683325021e-15
25,CDC42SE2,8.989955,26.899296,6.542657626815107e-18,2.3357287727729932e-15
26,IGLC2,8.958209,27.401058,8.360868734685356e-18,2.8742808739018323e-15
27,CCDC68,8.925094,26.89449,1.0791113930883618e-17,3.562560356887667e-15
28,GSKIP,8.921068,27.104612,1.1130602278575991e-17,3.562560356887667e-15
29,MIB2,8.830931,26.897823,2.2214671394316203e-17,6.873219329401434e-15
30,RASSF4,8.793908,26.96981,2.946486911553595e-17,8.822352100980797e-15
31,CSKMT,8.708274,26.794743,5.645148292018017e-17,1.637445826453476e-14
32,UQCRC2,8.6750765,27.040434,7.254827833558226e-17,2.0405852106390137e-14
33,PIK3CB,8.663195,26.79317,7.935124153921514e-17,2.1662888940205732e-14
34,TSC2,8.653465,26.82752,8.538819220488927e-17,2.2538460776477124e-14
35,AL049543.1,8.650352,26.866453,8.741484464050598e-17,2.2538460776477124e-14
36,ECPAS,8.589325,26.822495,1.3826733175088904e-16,3.468641549491222e-14
37,TXN,8.553017,26.842901,1.8143843685381283e-16,4.431872554939712e-14
38,ALDH3B1,8.531866,26.825613,2.1247849179638242e-16,5.056988104753902e-14
39,GRIPAP1,8.525872,26.817453,2.2219124464581727e-16,5.1559478320061893e-14
40,BAK1,8.5086,26.750792,2.527086690117187e-16,5.721077721382374e-14
41,PHPT1,8.476441,26.822495,3.209746846927947e-16,7.093540531710762e-14
42,PRPF4B,8.463432,26.673601,3.535097997909413e-16,7.630878980603528e-14
43,LRRFIP2,8.433899,26.85896,4.3997406100021295e-16,9.281452805009039e-14
44,MSL1,8.429017,26.90594,4.561553488805326e-16,9.408964329575785e-14
45,RING1,8.397921,26.738182,5.739512113200171e-16,1.1581337268418258e-13
46,SYNE2,8.386494,26.721762,6.244102980482203e-16,1.233143912017783e-13
47,SMCHD1,8.379514,26.763302,6.573631516208282e-16,1.2711759944467766e-13
48,USP34,8.3552265,26.677425,7.859958474896476e-16,1.4889007053875323e-13
49,BTN3A2,8.344688,26.743477,8.492728463525936e-16,1.5765901119689548e-13
50,ASL,8.302334,26.852484,1.158494464676499e-15,2.108459925711228e-13
51,CAMK2G,8.267122,26.889313,1.498406925307502e-15,2.674656361673891e-13
52,TSC22D1,8.260632,26.775717,1.571046469160643e-15,2.7514062880658656e-13
53,USH1C,8.2509165,26.884476,1.6863259695685306e-15,2.8986069721361296e-13
54,NRDC,8.084125,26.542511,5.634335981594654e-15,9.415762491365266e-13
55,RBM33,8.082983,26.618237,5.6807013522565705e-15,9.415762491365266e-13
56,ZBTB7A,8.06191,26.645298,6.6075342582605265e-15,1.0759847892135826e-12
57,PKN2,7.9833975,26.722189,1.157413063864689e-14,1.8522600101365592e-12
58,MAFK,7.972065,26.546663,1.2545415369187225e-14,1.97367026197959e-12
59,TUBGCP6,7.946099,26.57496,1.50847114954472e-14,2.3336048683456822e-12
60,GLUD1,7.941701,26.676914,1.5562422062633554e-14,2.368039370251879e-12
