,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,14.121361,3.620377,3.2768897572545766e-23,3.041609072683698e-19
1,REG1A,11.638012,3.9068105,7.669827146207805e-23,3.559566778555043e-19
2,AL627171.2,11.48514,2.7877216,6.838957235567867e-17,7.934900132567617e-14
3,IGHG4,10.806731,3.013445,4.195353670582018e-19,7.788254554068457e-16
4,IGHG3,10.787021,3.382479,3.0390591342756104e-20,9.40284896144874e-17
5,JCHAIN,10.721174,3.384117,1.1832156517156917e-19,2.745651919806263e-16
6,IGHA1,9.975523,3.5085678,1.84599965867778e-15,1.5576880756224687e-12
7,IGLC1,9.858194,4.008083,2.568938123231347e-18,3.974147276638894e-15
8,PLA2G2A,9.583879,3.7619088,1.668069059525142e-17,2.2118595729303382e-14
9,IGHM,9.361557,3.3562298,6.743557114857223e-16,6.259369714010474e-13
10,IGLC2,9.190844,3.6689012,1.8813704285872158e-16,1.9403200353496152e-13
11,MUC1,8.699581,5.5510745,4.512911815131354e-15,3.4907372890041025e-12
12,IGLC3,7.975828,4.6620774,2.1416228382499567e-13,1.529118706510469e-10
13,LCN2,7.906725,29.070984,7.852723167356204e-13,4.85926509596002e-10
14,PLCG2,7.7808557,3.7428446,6.680373721938076e-13,4.429087777644944e-10
15,IGHG2,7.5860324,28.373531,4.5412956214972556e-12,2.6345191224210955e-09
16,HM13,7.235105,28.237417,3.0015031893928005e-11,1.638820741408469e-08
17,C1QA,7.0255556,3.2696395,2.1833534579795104e-10,1.0666256208929376e-07
18,SNHG1,7.0078006,2.0728364,4.819870645316448e-10,2.2369019664913633e-07
19,PSME2,6.984785,3.327094,8.795326881535593e-11,4.5354568952451875e-08
20,CTSB,6.68562,2.4683242,1.1028550552438754e-09,4.4507394012059356e-07
21,CD74,6.585577,1.6549447,2.679265427703708e-09,1.036205904164409e-06
22,S100A11,6.504263,4.177832,8.279319126920303e-10,3.659459054098774e-07
23,PDZK1IP1,6.478718,4.52489,1.0108476695943838e-09,4.264858213261396e-07
24,S100A6,6.4240327,2.7264395,7.218910276617218e-09,2.393068756698608e-06
25,DMBT1,6.394671,2.5197523,4.163369279174789e-09,1.4863228326653997e-06
