,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,12.608992,3.6270134,3.071357862356679e-20,2.8508343678394697e-16
1,REG1A,11.332014,3.6449895,6.662317086766736e-17,2.0613209066456282e-13
2,IGHG4,11.020473,4.2536798,9.837154299051552e-16,1.82616932407593e-12
3,IGHA1,10.269164,3.4019415,2.0556406380249797e-16,4.770114100536966e-13
4,AL627171.2,9.685219,2.1983247,1.1941165582569887e-15,1.8472983156235615e-12
5,IGHG3,7.1679378,3.924906,2.5595323325971076e-09,6.251994502938514e-07
6,DMBT1,6.917861,2.8610084,2.5057167964143446e-09,6.251994502938514e-07
7,IGLC2,5.915314,4.199048,2.619016417744542e-07,2.671396746099433e-05
8,IGHM,5.604568,2.5100482,4.658161873434199e-07,4.157409472040022e-05
9,SNHG1,5.369469,1.6522791,6.646113930603998e-07,5.183968865871119e-05
10,MUC1,5.1003275,28.606691,7.282998200939833e-06,0.0003323369230050534
11,PDZK1IP1,4.9984612,4.440506,8.420624065551893e-06,0.00036523473166566667
12,LINC02739,4.935683,1.863037,4.234558040970344e-06,0.00022324463770362316
13,PLA2G2A,4.7213264,1.806244,1.2328288721511537e-05,0.00046516738176044753
14,JCHAIN,4.6662903,2.0104518,1.3211970626305453e-05,0.0004866409180689175
15,GAS5,4.3124113,1.5410994,4.4306594977865924e-05,0.0011267227796837027
16,IGLC1,3.8573115,2.134467,0.0002812813486060922,0.004043638507595968
17,IGHG2,3.7656088,4.568941,0.0004684439311508877,0.005694488595475244
18,TYMP,3.6851902,1.2520924,0.0004197240566588402,0.005258014352262609
19,IGLC3,3.659345,3.1301885,0.0005896675356857782,0.006674748861262674
20,WARS,3.6394491,2.475814,0.000573913540281402,0.006558722219023615
21,LCN2,3.4510062,1.9946669,0.0009606301821378978,0.009307483664513536
22,UBD,3.4484117,3.3758566,0.0011398599302465029,0.010352426489773033
23,TMEM107,3.0806224,1.3190569,0.002873856405665769,0.01898765113282844
24,MTRNR2L1,3.0054407,1.1943524,0.003561276626468181,0.02187108589796132
25,GBP4,2.9457858,2.5540464,0.004646277770843685,0.025609709185849813
26,PTGDS,2.8340528,3.8120856,0.0066992512794062644,0.032883368786593835
27,RARRES1,2.830501,1.6521667,0.0061789219420203025,0.03177437865143072
28,CXCL9,2.6435738,3.5885544,0.010978904342989019,0.0465750411844717
29,BST2,2.5966787,1.7535403,0.011537918333550752,0.04781024909465093
30,GGT5,2.3882353,3.2963796,0.02068831285046293,0.07065081673215486
31,VWA1,2.3882353,3.2963796,0.02068831285046293,0.07065081673215486
32,CFB,2.3644984,0.94911045,0.020306562185516724,0.06962892877944818
33,MAPRE1,2.3479397,26.288275,0.023547586814355804,0.07534421513547053
34,C1S,2.3415797,1.4438748,0.021804416829947597,0.07230746588623566
35,C3,2.2522004,2.3687613,0.028010820768479702,0.08444184422638149
36,AL049543.1,2.2167137,1.5217597,0.03003432369726835,0.08935211299937333
37,HLA-DPB1,2.191916,0.90369385,0.031212826738104847,0.09203222928306518
38,IGHG1,2.1759994,1.5510178,0.03326026221529169,0.09642730824597064
39,C2,2.141699,1.5989137,0.036171764022337016,0.1025492711225816
40,AC007952.4,2.074571,0.96125346,0.041162396714705604,0.11061649285057829
41,SPSB2,2.0736442,25.954847,0.04413626555962826,0.11377825245213892
42,AC009133.1,2.0311778,1.4558786,0.04592271615311541,0.1168781604971805
43,TNFAIP2,2.0275834,1.8091207,0.04691083213157232,0.11915424876466525
44,MZB1,2.0253482,2.1196823,0.04755179134250941,0.11961401822253995
