,names,scores,logfoldchanges,pvals,pvals_adj
0,MYL6,7.199202,1.4017859,7.127515427114103e-07,8.821013092596413e-05
1,CD74,5.7916775,2.2368047,0.000207112168317507,0.0036969522044675
2,PHGR1,4.9936833,2.0439446,0.0005727237379632,0.00763796226404371
3,MISP,4.697026,1.9616038,0.0010576247647378007,0.011414968681739844
4,DDX39B,4.6395288,2.257945,0.0012615821464825945,0.013428905371159911
5,TMSB10,4.5698056,2.1196914,0.0012691275254521994,0.013447536177222963
6,PSME2,4.5391545,2.131047,0.0013774310127852873,0.013898103819911108
7,HSD17B2,4.5016685,2.5070138,0.0016171884377461443,0.015149708131898634
8,RARRES1,4.3417706,4.0129595,0.002329571905791432,0.01986624141645963
9,MYO1A,4.3181934,2.0173476,0.001961718596302498,0.01735812393792163
10,ID1,4.296252,2.441688,0.0022002070365997662,0.019193911385074276
11,MICALL2,4.249226,2.0696995,0.0022606246564420966,0.01968397566706899
12,DGAT1,4.203659,1.9573673,0.0022455552284163993,0.019571120779493915
13,SPINT2,4.202238,2.2514927,0.0024374958963260997,0.01986624141645963
14,ACTR2,4.0737157,2.1396325,0.0029442092249595295,0.02207443459295182
15,HLA-DRA,4.0726604,2.1392684,0.002864600022345671,0.021889468026721474
16,AL627171.2,4.066313,2.6573963,0.003400793520138249,0.02509234137831735
17,MEP1A,4.0218925,1.8128029,0.002765374898065987,0.02180816465917459
18,TPRG1L,4.019478,2.4746351,0.003237746207310438,0.02396551857755621
19,B2M,3.9974174,1.7960557,0.0029939144587299857,0.022428986284044976
20,HLA-B,3.9843104,1.6637677,0.0030121009038264674,0.02254703273332038
21,S100A6,3.965235,1.9989856,0.0032650464800628508,0.024109913626048834
22,UBE2G2,3.9639726,2.3854399,0.003615049621363699,0.02665201793923579
23,CTSB,3.924548,2.520723,0.003981595690829919,0.029021459620438828
24,FGL2,3.8967595,3.7688212,0.004354524462560321,0.029021459620438828
25,P4HB,3.8932815,2.1890578,0.003877041138824389,0.028380674961015758
26,EIF4A1,3.809113,1.623594,0.003930665538075197,0.028750541784408182
27,ACTG1,3.7266026,1.9208535,0.004871012503081913,0.03177283067716537
28,MT-CO1,3.699783,1.6912558,0.004578078563559231,0.029883069779857087
29,HLA-A,3.689666,1.8968669,0.005033860070414275,0.032050812259759164
30,ATP6V0C,3.6541286,1.7657968,0.005516466794059201,0.0340904425981741
31,ATP5F1B,3.6301775,1.8828579,0.005613862318345953,0.03462316946105457
32,IGHA1,3.6295269,3.6597726,0.006502951609595161,0.03989451212178604
33,IGKC,3.6111658,2.7566264,0.006621608712572109,0.040542066009297044
34,ACTB,3.5579705,1.9035075,0.006422142891177889,0.039477039944313355
35,HLA-DRB1,3.5398116,2.0294836,0.006601740300582671,0.04044948380706654
36,SYNPO,3.5383413,3.5108984,0.007277761890761897,0.042821989886126344
37,LYZ,3.5187864,2.1082976,0.007020957673238708,0.042821989886126344
38,FABP1,3.5074232,1.9053864,0.006602129709944604,0.04044948380706654
39,ELF3,3.440482,1.6984382,0.007417306922821409,0.042821989886126344
40,ARPC4,3.4330964,2.542701,0.008343660479622546,0.0454494463449862
41,REG1A,3.428467,3.9508173,0.008765962520997523,0.04725871190932773
42,POLD4,3.424827,1.5993432,0.007415586310618305,0.042821989886126344
43,EEF1A1,3.3995397,1.5663341,0.007747076307900852,0.042821989886126344
44,JCHAIN,3.361739,3.1317174,0.009622897310138984,0.049843600911110515
45,SNHG1,3.3443666,1.7806997,0.009131764570942877,0.047833543311225614
46,TXNIP,3.3392801,2.1732488,0.009444466654573429,0.049415749429397166
47,GPA33,3.31351,2.2999094,0.009844892973395213,0.05093662016669697
48,MT-CO3,3.3134575,1.2989585,0.008640163996779379,0.047036951447569614
49,NEAT1,3.2877884,1.1247381,0.007989951310648731,0.043548284242772475
50,UBA52,3.2772684,1.4468741,0.009347721581919181,0.04893714141194238
51,ANPEP,3.2573473,2.0147884,0.01034856941568327,0.05351276953558334
52,ACSL5,3.2558687,2.429271,0.01085962643229882,0.05606176448531571
53,MDK,3.2484438,2.1385808,0.010591298744233294,0.0547374359376244
54,CYB5A,3.2431598,2.3458757,0.010703361602068187,0.05528581101301998
55,PSAP,3.233205,2.085314,0.011034390169903062,0.05693230103226249
