,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,30.21887,3.455806,6.727829867918806e-121,6.244771683402236e-117
1,IGHA1,29.261257,4.0220275,3.731578417991055e-111,1.7318255437896485e-107
2,REG1A,28.67366,4.4739013,3.7720658657395886e-102,8.753078841448716e-99
3,AL627171.2,26.336123,2.672947,3.4049620057132547e-102,8.753078841448716e-99
4,IGHG4,21.944654,3.2322848,9.35272778761974e-76,1.7362403864937285e-72
5,JCHAIN,21.020586,3.524788,2.7531695916329054e-68,4.259153358256105e-65
6,IGHM,18.647873,3.6203382,2.8127110177850695e-56,3.729654809583002e-53
7,IGHG3,15.608072,3.3117433,2.2592727366428697e-43,2.6213211926898897e-40
8,DMBT1,15.140029,3.4712973,7.099633963528217e-41,7.322089161052101e-38
9,TMSB10,13.883747,2.0807524,5.404337412304282e-38,5.016305986100835e-35
10,C1QA,13.841535,2.619415,9.925908955779982e-37,8.375662447959072e-34
11,LINC02739,13.045879,1.9833412,1.0819561681476476e-33,8.368930960622055e-31
12,CXCL14,12.870599,2.7260902,2.006872966567862e-32,1.4329072981294536e-29
13,PLA2G2A,12.785445,2.507697,7.251697032257445e-32,4.807875132386686e-29
14,SNHG1,12.273296,1.6444671,6.8848295932218236e-31,4.260332552285665e-28
15,S100A6,12.140889,2.1633484,5.919357069834881e-30,3.43396702013796e-27
16,MUC1,11.901553,3.7921224,2.2287750653885133e-27,1.1493050087186767e-24
17,CTSB,11.719433,2.1572125,5.972970822750631e-28,3.2612420692218445e-25
18,IGLC2,11.689355,2.9815376,4.447289784390673e-27,2.063987188935711e-24
19,IGLC1,11.656976,2.524777,2.6322695201490216e-27,1.2859329308433273e-24
20,GAS5,11.264818,1.7675366,2.0961537095155887e-26,8.843863059874407e-24
21,IGLC3,11.054125,4.4233775,3.290730765627839e-24,1.3280244768068525e-21
22,LCN2,11.049172,4.6458735,3.680476590170915e-24,1.4234243212486015e-21
23,PSAP,10.474436,1.9599814,2.8534124170836174e-23,1.0594149622148054e-20
24,IGHG2,10.408774,4.8901615,6.876811285687289e-22,2.0590503985080458e-19
25,HLA-DQB1,10.331973,2.6371992,2.0872752296072559e-22,6.794187787831916e-20
26,HLA-C,10.299713,1.4719,4.899489571047214e-23,1.7491177768638552e-20
27,CD24,10.252405,3.1140234,8.25714034282312e-22,2.395086770690131e-19
28,ACTB,10.150498,1.4909142,2.122726199602732e-22,6.794187787831916e-20
29,RACK1,9.98354,1.414881,9.187290944802925e-22,2.58413438029275e-19
30,SPINK4,9.51281,1.9471325,1.0989595711316199e-19,2.9144407826410556e-17
31,LYZ,9.469801,1.7215925,1.164283441128094e-19,3.001910805708602e-17
32,HLA-DRA,9.332605,1.4202741,1.967988951129425e-19,4.936992822806304e-17
33,STAT1,9.139182,2.677586,3.5306086429626495e-18,8.6239761642050815e-16
34,ACP5,9.097912,5.2596984,1.2995428365821996e-17,3.015589152288994e-15
35,PDZK1IP1,9.047159,3.930039,1.4112250953256173e-17,3.0462770546075303e-15
36,IFI30,8.992104,2.8896818,1.393660876995306e-17,3.0462770546075303e-15
37,KRT8,8.856287,1.7445133,1.3407807987103162e-17,3.035396920397355e-15
38,C1QB,8.647238,2.7320232,1.4623153327165001e-16,3.016269092949901e-14
39,COL1A2,8.538879,2.4985776,3.188501015245905e-16,6.296950302874997e-14
40,ANXA2,8.520131,1.8428317,2.1174823812109204e-16,4.2727111874782096e-14
41,TIMP1,8.466695,4.003645,9.316565954814223e-16,1.6956150037761885e-13
42,CXCL9,8.454407,4.308172,1.100801802135721e-15,1.964931216812262e-13
43,WARS,8.401124,2.280129,7.503849598435131e-16,1.3930146394534977e-13
44,CD74,8.392978,1.2730329,3.502049806568883e-16,6.772088813452578e-14
45,TNFRSF6B,8.011302,3.9870265,2.1368451520384244e-14,3.672999389114936e-12
46,CD59,7.917509,2.996895,3.082249102793156e-14,5.201715667659286e-12
47,SPINK1,7.8381233,2.0127506,3.531422062366318e-14,5.75064203208494e-12
48,CYBA,7.7832417,2.1978743,5.071660478827736e-14,8.116405614565353e-12
49,FTL,7.700108,1.1634828,5.629850496469105e-14,8.856995306479023e-12
50,MZB1,7.697922,2.892206,1.273916514614359e-13,1.8769036648651555e-11
51,FGL2,7.685689,2.4257686,1.239669352492979e-13,1.8559049886838438e-11
52,AGR2,7.670843,1.878716,1.0316145001397637e-13,1.5697452115241453e-11
53,GAPDH,7.6558228,1.3669077,8.761668006501496e-14,1.3554300406057816e-11
54,PLCG2,7.6463547,2.0120764,1.3975769399739005e-13,2.0269233057558977e-11
55,CD55,7.5806437,3.0900524,3.2132468261759397e-13,4.269156947007423e-11
56,IDO1,7.571884,4.761051,4.430545691174492e-13,5.711711820205783e-11
57,C1S,7.5506573,2.722295,3.219575374817061e-13,4.269156947007423e-11
58,TMSB4X,7.540649,1.4645855,2.0593203658679523e-13,2.8961532781797476e-11
59,S100A11,7.377243,2.6247787,1.0324627176444715e-12,1.2950431006994573e-10
60,RARRES2,7.3396153,3.3080308,1.4723253519041175e-12,1.798174199522897e-10
61,SH3BGRL3,7.2069383,1.7551368,2.3968046794648838e-12,2.8521975685632116e-10
62,TYMP,7.200971,1.1398997,1.962508979685666e-12,2.365715370057448e-10
63,COL18A1,7.187703,2.862202,3.740512931149574e-12,4.394865952775994e-10
64,UBD,7.0832334,3.1571336,7.476164770290825e-12,8.567131036770301e-10
65,CTSC,7.0682564,3.4073677,9.161120892066624e-12,1.0245002906043663e-09
66,GCNT3,7.032639,2.546806,9.285784424612626e-12,1.026079178919695e-09
67,IFITM3,7.029399,2.3572853,8.862781556247959e-12,1.0032236390865069e-09
68,CDC25B,6.938142,2.4215662,1.6631183034181975e-11,1.7743751830261735e-09
69,ACTG1,6.9361396,1.0537407,1.0438983972966642e-11,1.1399370498479574e-09
70,CD63,6.9357276,1.4752954,1.2355683271172063e-11,1.333551768872315e-09
71,COL3A1,6.869652,2.6389291,2.6308098636442332e-11,2.713241906038419e-09
72,APOL1,6.8308268,2.5345368,3.5173213233443184e-11,3.5486713612263004e-09
73,UBA52,6.8105264,1.1483297,2.5004845154882454e-11,2.607808682332797e-09
74,TXNDC5,6.8039684,2.1455986,3.6136847458928243e-11,3.6066905173523863e-09
75,TAP1,6.7672734,1.4358461,3.6761690263015625e-11,3.6300213725671384e-09
76,MFGE8,6.7581434,3.2365139,6.008697542557255e-11,5.691094958164943e-09
77,NCF1,6.724887,1.9828911,5.499425120546201e-11,5.292629486131742e-09
78,MUC13,6.7121506,1.1465588,4.922564381474389e-11,4.809604483036345e-09
79,SLC40A1,6.698264,2.769541,7.7824099575175e-11,7.296598911684589e-09
80,HLA-DPB1,6.6972723,1.4730806,5.53097457611268e-11,5.292629486131742e-09
81,A2M,6.6651173,2.2403092,8.963465639820935e-11,8.15675373223705e-09
82,GRN,6.6400948,1.8420204,8.529374721407732e-11,7.838579818228374e-09
83,IRF1,6.617715,1.4848073,9.303371695609901e-11,8.383873405694282e-09
84,SERF2,6.59286,1.4600513,1.0716852740190129e-10,9.564791070619689e-09
85,ATP6V0B,6.5202637,1.8491299,1.8427458945702024e-10,1.6136195654151527e-08
86,TNFAIP2,6.5077944,2.2784889,2.2971018459106406e-10,1.992682180723604e-08
87,MMP2,6.4514203,3.3311327,3.8063586561085145e-10,3.130233841089948e-08
88,ISG15,6.446342,2.0555236,3.1646681361863885e-10,2.7198564481557462e-08
89,RARRES1,6.4346514,2.5804167,3.7814221861722586e-10,3.130233841089948e-08
90,SSR4,6.4201736,1.831413,3.58930117982678e-10,3.056503995518548e-08
91,HM13,6.3859177,2.0051646,4.4914834453085197e-10,3.625212986030755e-08
92,GPX2,6.370208,1.7531646,4.654357975561262e-10,3.724288855962037e-08
93,HAPLN3,6.347098,4.2635417,7.597791287932361e-10,5.828322209470097e-08
94,CALR,6.176723,1.5081062,1.3297335081496942e-09,1.011687411692251e-07
95,GBP2,6.167042,2.0112953,1.5684833912130779e-09,1.1836311249788447e-07
96,LTB,6.1243763,2.0319211,1.9323216100748985e-09,1.446436224573807e-07
97,ISG20,6.0939255,2.4092903,2.5019895706541372e-09,1.8286194641584016e-07
98,CD81,6.0760875,2.6166587,2.9656684012085523e-09,2.1013232137418153e-07
