,names,scores,logfoldchanges,pvals,pvals_adj
0,IGLC3,11.780522,27.45039,5.741579381126648e-30,5.329333981561755e-26
1,MS4A1,11.042183,26.70354,9.879963976807608e-27,4.585291281636411e-23
2,IGHG1,9.377459,2.7657669,1.2935650600429318e-12,1.0005725739432077e-09
3,OTUD4,8.756672,25.826952,9.289865555021177e-18,2.874284402723552e-14
4,CD79B,8.447843,25.79505,1.125087522835934e-16,2.6107655967407847e-13
5,WDR81,8.278479,25.72914,4.2801476738219596e-16,7.945666141683085e-13
6,MUS81,7.8875804,25.521187,8.571236489059605e-15,1.325970284857521e-11
7,C1QC,7.7189703,25.691101,3.006313068659169e-14,3.9863711290420575e-11
8,BCAR3,7.370912,25.376713,3.7263538013672024e-13,3.8920213228364956e-10
9,ISCA1,7.3691278,25.259256,3.773776331127824e-13,3.8920213228364956e-10
10,POU2AF1,7.3519344,25.463524,4.2623779600623993e-13,3.956339222529919e-10
11,LINC02739,7.298092,2.395897,2.249204050935597e-09,4.779443293625446e-07
12,CXCR4,7.219861,25.359722,1.0771763611523416e-12,9.089409985650941e-10
13,CIAO3,7.1380844,25.247728,1.898638303863796e-12,1.3556277489587503e-09
14,SDHAF1,6.9984875,25.173857,4.932391252908195e-12,3.270175400678133e-09
15,DHX58,6.7912498,24.981222,1.9747112120288407e-11,1.2105456673382878e-08
16,TNFRSF13C,6.766754,25.1066,2.321005792877055e-11,1.2105456673382878e-08
17,TOMM70,6.7650285,25.00059,2.3475352307788388e-11,1.2105456673382878e-08
18,FMNL1,6.6857853,25.07564,3.945141475553123e-11,1.927305430320215e-08
19,MESD,6.5377593,24.992504,1.0256855287821775e-10,4.7602065390780856e-08
20,PGM3,6.5177274,24.898483,1.1655928623259442e-10,5.151920451480673e-08
21,LST1,6.4938803,24.91895,1.356634293370221e-10,5.474904135244519e-08
22,AIF1,6.4938803,24.91895,1.356634293370221e-10,5.474904135244519e-08
23,NFRKB,6.4728174,24.939138,1.5506282959124094e-10,5.997054934441243e-08
24,STK36,6.3484797,24.8263,3.386912578487303e-10,1.1513945288014612e-07
25,SPIB,6.345001,24.91895,3.461090668805823e-10,1.1513945288014612e-07
26,PRKRA,6.303156,24.868948,4.488026310906026e-10,1.4364779385458529e-07
27,IGLC2,6.2905126,2.3729217,4.663821607441883e-08,5.215613513286212e-06
28,COPS7B,6.2685847,24.910408,5.556333579735833e-10,1.7191296095702669e-07
29,KLF2,6.2547293,24.930712,6.051042010649176e-10,1.811799094930505e-07
30,PSMC2,6.2381396,24.810871,6.700175193765644e-10,1.943469567141647e-07
31,CISD2,6.2169027,24.832571,7.631142870303065e-10,2.0833020035927365e-07
32,ACVRL1,6.2033577,24.727486,8.289713479417275e-10,2.1984320147414613e-07
33,RAI1,6.1753874,24.75043,9.830131563471006e-10,2.534535588114941e-07
34,FAM189B,6.150938,24.773024,1.1403040520432924e-09,2.860622219206984e-07
35,PEF1,6.1296487,24.79528,1.2970894429297088e-09,3.106049668339441e-07
36,TFIP11,6.087296,24.710989,1.6740424172167614e-09,3.830071328154834e-07
37,GTPBP2,6.085539,24.810871,1.6918005220248676e-09,3.830071328154834e-07
38,BIN2,6.06269,24.734186,1.9401205575572977e-09,4.2876664322016276e-07
39,CALHM6,6.036722,24.895832,2.265627073039427e-09,4.779443293625446e-07
40,CYBB,6.021381,24.868948,2.4823634484130606e-09,5.12028833959334e-07
41,IER5,5.9981136,24.67047,2.8501670074281573e-09,5.751141339771338e-07
42,IVD,5.9366574,24.603886,4.096229422257953e-09,7.604240299479664e-07
43,WAS,5.9366574,24.603886,4.096229422257953e-09,7.604240299479664e-07
44,KLHDC4,5.8828626,24.65332,5.6116787243686e-09,1.001684652299795e-06
45,C7orf50,5.8828626,24.65332,5.6116787243686e-09,1.001684652299795e-06
46,RASSF5,5.8614373,24.677433,6.356772594577797e-09,1.0926585782013169e-06
47,SAMD9,5.8614373,24.677433,6.356772594577797e-09,1.0926585782013169e-06
48,PRPSAP2,5.816273,24.585943,8.256634314328164e-09,1.3213462018205866e-06
49,RPRD2,5.816273,24.585943,8.256634314328164e-09,1.3213462018205866e-06
50,MPHOSPH9,5.816273,24.585943,8.256634314328164e-09,1.3213462018205866e-06
51,AK1,5.816273,24.585943,8.256634314328164e-09,1.3213462018205866e-06
52,UTP3,5.791181,24.611168,9.54033728380516e-09,1.5009052655640592e-06
53,RNF13,5.7514925,24.660366,1.1976944149143646e-08,1.8528332598725222e-06
54,PBDC1,5.723503,24.541798,1.4049184851158836e-08,2.13777924243371e-06
55,SEC23IP,5.6592956,24.46901,2.0207568558104532e-08,2.942050789287321e-06
56,HMGXB3,5.6592956,24.46901,2.0207568558104532e-08,2.942050789287321e-06
57,SLC6A9,5.658611,24.618416,2.0285633539580752e-08,2.942050789287321e-06
58,ZBTB40,5.6294193,24.496292,2.3902012162093484e-08,3.3113205505753986e-06
59,HTRA2,5.6294193,24.496292,2.3902012162093484e-08,3.3113205505753986e-06
60,ACER3,5.6294193,24.496292,2.3902012162093484e-08,3.3113205505753986e-06
61,MRGBP,5.6039934,24.52308,2.755654877670268e-08,3.653998367790803e-06
62,EXOSC7,5.6039934,24.52308,2.755654877670268e-08,3.653998367790803e-06
