,names,scores,logfoldchanges,pvals,pvals_adj
0,IGLC1,8.477985,4.0990176,1.1767584491470825e-13,1.0922671924983221e-09
1,IGHM,7.066408,2.9623668,1.872516586145079e-09,5.793566317532875e-06
2,IGHG3,6.844657,3.0735278,3.204676582216044e-09,7.43645200903233e-06
3,IGLC3,6.684058,4.4838643,6.213239760191176e-10,2.883564572704725e-06
4,IGHG4,6.3680687,2.2539525,4.6392609661906646e-08,6.151660041168821e-05
5,IGLC2,6.287477,3.0454085,1.048678611475036e-08,1.9467669743422568e-05
6,CDC42SE2,6.0160074,27.8659,2.535855145159667e-08,3.922967909562005e-05
7,LCN2,5.7825823,3.3223226,6.521404569086491e-08,7.566459651282602e-05
8,AL627171.2,5.531105,1.4720019,8.846193125526854e-07,0.0008211036459114026
9,RARRES1,5.313257,27.772028,5.914569745541412e-07,0.000609989293090171
10,IGKC,5.2126975,1.9935143,7.4963466890112655e-06,0.0038656161093001424
11,IDO1,5.153175,28.000988,1.178577711715579e-06,0.0009236774376293602
12,GPNMB,5.1501007,27.410992,1.1941531191071236e-06,0.0009236774376293602
13,LINC02739,5.0986543,1.8418593,8.317356135814473e-06,0.004063247350138417
14,IGHG2,5.0650253,3.2876205,1.4319835899603603e-06,0.0010224362832316973
15,TMUB1,4.9731236,27.228432,2.5245862285122016e-06,0.0016738006695035895
16,REG1A,4.926894,1.9959404,8.792923199824916e-06,0.004080795657038744
17,MUC1,4.855129,2.2838788,5.249430714094529e-06,0.003248347725881695
18,CARD16,4.7805276,27.146738,5.60721567661842e-06,0.003252885994398261
19,SLC25A6,4.7540727,3.3780305,6.031789623620141e-06,0.0032933571344965972
20,TYROBP,4.6336055,27.211645,1.0181057909971973e-05,0.004500027596207612
21,ELOB,4.6158304,2.743583,1.3292574126240702e-05,0.005364420566946357
22,C1QC,4.5940747,27.199907,1.1931040552945077e-05,0.0050338144732925555
23,NPC2,4.554679,27.188086,1.396304605502738e-05,0.005400208061781839
24,PSAP,4.4633803,2.3477094,5.812498519785434e-05,0.01639955327107851
25,MSN,4.460602,27.04222,2.026069888114902e-05,0.007522392280593008
26,UBXN1,4.31378,26.688406,3.588019146049796e-05,0.012334812486531186
27,NUDT22,4.31378,26.688406,3.588019146049796e-05,0.012334812486531186
28,MMP12,4.2951407,27.055126,3.854758419459402e-05,0.012778524160507917
29,WDFY1,4.2672944,26.742966,4.2891219799536915e-05,0.013270543405976722
30,ICAM1,4.2114635,27.109962,5.306060049315042e-05,0.01588737076701362
31,HAPLN3,4.1865835,26.944408,5.830481124171417e-05,0.01639955327107851
32,YWHAQ,4.152698,26.882116,6.625324537786786e-05,0.018087135988157928
33,ANXA11,4.1512117,3.0729027,7.026362609533884e-05,0.01863391364048386
34,IL7R,4.1075096,26.648537,7.8483606344805e-05,0.019688779299796757
35,VIM,4.09559,3.2218843,7.821608884626758e-05,0.019688779299796757
36,IGHA1,4.0911503,1.790494,0.00024241500388707133,0.038213408785787405
37,COL3A1,4.080786,3.041731,9.17145351378191e-05,0.02182805936280095
38,DNASE1L3,4.074561,26.704449,8.8736098934576e-05,0.021674959745019325
39,CYGB,4.0523157,26.758472,9.637073459247072e-05,0.022362828962182828
40,IGFBP3,4.0385194,26.81074,0.00010141744988309629,0.022959921214997556
41,CENPT,3.9956539,26.79573,0.00011876226802712541,0.025390358807243166
42,COMMD4,3.9920132,26.486355,0.00012035938240882344,0.025390358807243166
43,MX1,3.9920132,26.486355,0.00012035938240882344,0.025390358807243166
44,AL360012.1,3.944904,26.548159,0.00014297000009819185,0.027879496855661982
45,VAMP2,3.944904,26.548159,0.00014297000009819185,0.027879496855661982
46,NID1,3.944904,26.548159,0.00014297000009819185,0.027879496855661982
47,APOC1,3.94102,26.922974,0.0001450052318098853,0.027879496855661982
48,KCMF1,3.9126084,26.607641,0.00016075625020466706,0.029257637537249404
49,SEMA4D,3.9126084,26.607641,0.00016075625020466706,0.029257637537249404
50,CSTB,3.8657644,26.590591,0.000190346638235227,0.03397687492498802
51,DNASE2,3.8466609,26.648537,0.00020384661302790517,0.035038967817129923
52,TGM2,3.8462317,3.1427617,0.00019581013035254927,0.0342926345270257
53,HPS1,3.8361173,26.704449,0.00021168324724413424,0.03567553721539243
54,BTN2A1,3.8265004,26.374743,0.00021908054527875118,0.03567553721539243
55,UBE2M,3.8265004,26.374743,0.00021908054527875118,0.03567553721539243
56,C1QB,3.7841353,2.159461,0.0003121853075811462,0.04390460643891211
57,RNF181,3.7790055,26.440989,0.0002593670279578331,0.038213408785787405
58,PIN1,3.7790055,26.440989,0.0002593670279578331,0.038213408785787405
59,CD79B,3.7790055,26.440989,0.0002593670279578331,0.038213408785787405
60,ZAP70,3.7790055,26.440989,0.0002593670279578331,0.038213408785787405
61,AKR1B1,3.7790055,26.440989,0.0002593670279578331,0.038213408785787405
62,SDHC,3.7474697,26.504559,0.00028990675686187904,0.04139868487987632
63,SDC3,3.7474697,26.504559,0.00028990675686187904,0.04139868487987632
64,APOBR,3.6571846,26.254574,0.0003973509080487332,0.049840690925788404
65,ANKRD52,3.6571846,26.254574,0.0003973509080487332,0.049840690925788404
66,MPEG1,3.6571846,26.254574,0.0003973509080487332,0.049840690925788404
67,RABEP2,3.6571846,26.254574,0.0003973509080487332,0.049840690925788404
68,MAZ,3.6571846,26.254574,0.0003973509080487332,0.049840690925788404
69,TRIB2,3.6571846,26.254574,0.0003973509080487332,0.049840690925788404
70,YME1L1,3.6571846,26.254574,0.0003973509080487332,0.049840690925788404
