,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,22.920559,3.310572,4.200921287241178e-30,3.8992951388172615e-26
1,IGHA1,14.65574,4.688886,9.450867370024269e-19,4.3861475464282636e-15
2,REG1A,14.624181,5.422906,1.9450452270494647e-18,6.017969932491044e-15
3,IGKC,13.6993065,3.4365666,5.452153815777399e-18,1.2651722929511456e-14
4,HLA-C,8.708826,2.1757114,7.802614295206033e-12,8.047096209789155e-09
5,DMBT1,8.587487,3.9821136,6.054686224123012e-11,4.245073828659935e-08
6,IGHG4,8.317159,2.3384595,8.240791294367423e-11,5.0994016529545614e-08
7,HLA-DRA,8.144318,2.0318413,5.742589065657445e-11,4.245073828659935e-08
8,ACTB,8.1133,2.0183501,6.402826287571546e-11,4.245073828659935e-08
9,TMSB10,7.922313,2.093514,1.445577157607376e-10,7.454359542728702e-08
10,PLA2G2A,7.6868043,3.6250005,1.1828749291272758e-09,4.990656860072443e-07
11,MT-CO2,7.358965,1.7311034,9.605580100144286e-10,4.245666404263774e-07
12,IGHM,7.303264,3.622703,4.5141775150370345e-09,1.5330289228442257e-06
13,HLA-A,7.22027,1.7736931,1.2971015483576954e-09,5.234650683415709e-07
14,JCHAIN,7.0022135,3.3669524,1.1769047025388773e-08,3.6413431496552866e-06
15,B2M,6.982761,1.7583613,4.106752976594835e-09,1.5247552451501304e-06
16,ANPEP,6.947085,1.9436446,4.6245216375391426e-09,1.5330289228442257e-06
17,PHGR1,6.9363503,1.8856955,4.446104348855994e-09,1.5330289228442257e-06
18,CD74,6.6536818,1.8617591,1.9100494392923732e-08,5.54033715484744e-06
19,IGHG3,6.449222,2.8705409,7.079126166240771e-08,1.6427112268761708e-05
20,MUC13,6.397858,1.8738661,5.153273063973455e-08,1.2927751508054491e-05
21,C1QA,6.3354993,3.0761156,1.0632270530314237e-07,2.0997603204761008e-05
22,PIGR,6.306762,1.3408896,3.6240055913992027e-08,1.0193339363444666e-05
23,SPINK4,6.2802086,2.4113004,1.0083477708147168e-07,2.0346704366743918e-05
24,S100A6,6.27658,1.85242,6.264241321026166e-08,1.5212577061737199e-05
25,SERPINA1,6.223804,1.9963684,9.655580372232506e-08,2.0346704366743918e-05
26,PSAP,6.056055,2.1455073,2.124545105976816e-07,3.6443394418543056e-05
27,SNHG1,6.0469303,1.5393558,1.62978752030672e-07,3.0255375526973952e-05
28,MT-CO1,5.967452,1.5472624,1.7862388730390823e-07,3.188436388374762e-05
29,IL32,5.9562497,2.3000417,3.2551249586284976e-07,5.300714011577143e-05
30,CFB,5.820169,2.564299,5.65737767530196e-07,8.030976247500267e-05
31,PLAAT4,5.8026958,2.4416056,5.796977037088105e-07,8.030976247500267e-05
32,MISP,5.733888,1.6296214,4.668853611786098e-07,6.989725681386864e-05
33,GAS5,5.7237086,1.7390014,6.33523932008226e-07,8.647601671912285e-05
34,IGLC2,5.675493,3.125924,1.026650078948035e-06,0.00012538639516836397
35,FABP1,5.616228,1.6482682,6.893022172654687e-07,9.140147400940115e-05
36,CTSB,5.58567,2.3416014,1.2131458777115915e-06,0.00014075525046148738
37,LCN2,5.540917,5.4662166,1.7759033978459015e-06,0.00019623732546197208
38,CXCL14,5.426918,2.9035568,2.290559608852645e-06,0.0002310975466235897
39,P4HB,5.4082117,1.6425815,1.6357834489313182e-06,0.000182931830999765
40,LINC02739,5.4034476,1.7163757,2.015507812472336e-06,0.00020786603905964692
41,ACTG1,5.340829,1.4876479,2.059248815502122e-06,0.00021004337918121644
42,MYL6,5.235293,1.4138991,2.826431041568442e-06,0.0002732805513316488
43,LGALS4,5.227439,1.4028616,2.5314122601358523e-06,0.0002473323010376945
44,PDZK1IP1,5.1741343,4.6193023,5.8617392416504295e-06,0.0004820071815851617
45,SPINK1,5.1304398,2.7834678,6.128989658056123e-06,0.0004862331795391191
46,MTRNR2L1,5.1039505,2.1026547,6.474492621652613e-06,0.0005008020042848297
47,ASS1,5.0914354,2.1277835,5.812373959541004e-06,0.0004820071815851617
48,HLA-DPB1,5.0773487,2.2973752,6.836586295241404e-06,0.0005244396197721546
49,HLA-B,5.0005126,1.226322,6.123840336829637e-06,0.0004862331795391191
50,ALPI,4.991325,2.1410644,8.900073064068775e-06,0.0006306143372571478
51,FTL,4.8874574,1.4048641,9.797121861458734e-06,0.000683735978331278
52,CLDN7,4.867114,1.8421352,1.2135435709231766e-05,0.0007825109585220847
53,IFI27,4.7730994,1.5423571,1.5378593779585194e-05,0.000939105970145459
54,HLA-DQB1,4.753507,3.2216623,2.218369756876007e-05,0.001255543175812384
55,TYMP,4.7162256,1.4575492,2.023668806850222e-05,0.00118884138387239
56,VMP1,4.66169,2.027652,2.5759549855661137e-05,0.001406471422119098
57,RARRES1,4.5878873,4.5915403,3.93758007470385e-05,0.0018742881155590326
58,PSME2,4.5873795,1.6973898,3.197557225927792e-05,0.0016397638768542412
59,UBA52,4.5741305,1.472009,3.195796335446053e-05,0.0016397638768542412
60,TAP1,4.540162,1.9992311,4.033362794539485e-05,0.0018998850688178247
61,FGL2,4.517112,3.6417327,4.883540452280306e-05,0.0022440110137656338
62,FCGBP,4.424241,1.3735036,5.094201113132236e-05,0.002329279543452878
63,HLA-E,4.4183736,1.469604,5.521083705403135e-05,0.0023947055585771915
64,MUC1,4.4169703,3.6503758,6.640969472353794e-05,0.0027641918673716554
65,LYZ,4.386336,1.4265354,5.926592554911569e-05,0.002558634050915776
66,TPT1,4.3841543,1.1267427,5.1881089526375645e-05,0.002353699564798656
67,SECTM1,4.3777976,2.0974693,6.928112405173933e-05,0.0028708365778939483
68,TAPBP,4.2814255,1.5081397,8.667804757292654e-05,0.0034529855689781294
69,CTSD,4.2672305,1.1179914,7.663782724765667e-05,0.0030794472403149315
70,TMEM176B,4.2652974,1.7789711,9.175367765049666e-05,0.00359178202257364
71,TM4SF20,4.2025766,2.1821477,0.00012058264684636094,0.004304140635270161
72,PRAP1,4.193057,1.541846,0.00011389644908551977,0.004097623412448816
73,TMBIM6,4.192835,1.2278321,9.569593268620381e-05,0.003640367406530097
74,UBC,4.163765,1.4177867,0.00012147833666637824,0.004304140635270161
75,CFL1,4.1590657,1.1672342,0.00011141266067867806,0.004023861153383229
76,KRT8,4.140711,1.515578,0.00013432800201245427,0.004669784699174534
77,TMEM54,4.109189,1.9506804,0.00015859519317029276,0.005269358749845858
78,IGLC3,4.096789,3.9517503,0.00018257185855786984,0.005788354465251436
79,C1S,4.0522094,3.6201751,0.00020783196815773905,0.006263299767662772
80,WARS,4.043066,2.6259224,0.00020760579242985115,0.006263299767662772
81,COX6A1,4.015969,1.9991659,0.00021205544042124242,0.00626846687257953
82,APOL1,3.9977586,3.4073534,0.00024571054931321384,0.007171966411085694
83,MYO1A,3.9418893,1.3128893,0.0002521827600864463,0.007337806831104685
84,IGLC1,3.9392366,2.0342875,0.0002820008948208251,0.007767158177231152
85,IGHG2,3.923848,5.33129,0.00031500211639191964,0.008599557777499406
86,SPINT2,3.9119072,1.407893,0.00027473793536500127,0.007767158177231152
87,GRN,3.899354,1.9217865,0.000307919628119964,0.008431002915072289
88,ATP6V0B,3.8629355,2.2644227,0.00035603822751852787,0.009256993915481725
89,TSPAN8,3.8295822,1.285925,0.0003358083277685441,0.008780205347458103
90,EPCAM,3.8242033,1.3563124,0.00036493907515203254,0.009389846764927256
91,FTH1,3.7790818,1.0945592,0.00038188116679422517,0.009791770691116017
92,PFN1,3.7625048,1.3049183,0.0004467445057535468,0.011391984896715444
