,names,scores,logfoldchanges,pvals,pvals_adj
0,REG1A,15.387798,4.950204,2.825171227106518e-29,2.6223239330002702e-25
1,IGHA1,10.648552,3.2886918,3.572045185921617e-20,1.591036971355548e-16
2,AL627171.2,9.570491,2.2216928,2.348836289408142e-17,5.450474609571594e-14
3,IGKC,8.329202,2.3497884,4.410631157929527e-14,8.187895681580374e-11
4,S100A6,7.8229322,2.6522841,1.8034610806243767e-12,2.789954291725911e-09
5,DMBT1,7.516183,3.592311,1.9083443602165444e-11,2.2141565439412457e-08
6,HLA-C,7.51281,2.344518,4.647707644473419e-12,6.162860336571754e-09
7,PLA2G2A,7.005161,3.065438,2.0285453136784917e-10,1.8828957601563758e-07
8,LINC02739,6.9298434,2.226538,1.5081076056330547e-10,1.5553616439428903e-07
9,CTSB,6.719273,2.4682722,4.2478299985806364e-10,3.584396186075043e-07
10,SPINK4,6.2039204,2.9071574,9.752679791581302e-09,7.350637781966458e-06
11,MUC1,6.147818,4.0119395,1.9942855276467612e-08,1.2340638845078159e-05
12,IGHG3,6.048111,2.1692178,1.0907799925981396e-08,7.350637781966458e-06
13,JCHAIN,6.0394216,1.9349778,1.1086934814429047e-08,7.350637781966458e-06
14,IGHG4,5.7956777,1.761843,3.685586852976177e-08,2.1381010730828048e-05
15,MUC13,5.6562386,1.7488362,7.702754682344786e-08,4.2057040565602534e-05
16,LCN2,5.445691,5.434565,4.93718896804679e-07,0.00024119467369163318
17,KRT8,5.4423814,1.843754,2.2850501807815793e-07,0.0001178324209889701
18,SERPINA1,5.228728,1.6609514,5.563997384113642e-07,0.0002582251185967141
19,TMSB10,5.1454077,1.4952394,7.920596262812656e-07,0.0003341771568701231
20,FCGBP,5.0940075,1.587573,1.0334503619623414e-06,0.0004170646199884545
21,APOL1,5.018581,3.3834896,2.2038733798570126e-06,0.0008182541084733116
22,TNFRSF6B,5.01517,27.831638,3.069758026418967e-06,0.0010176247857578875
23,AGR2,4.96857,2.6904712,2.4447991796908934e-06,0.0008727933071496489
24,B2M,4.9187217,1.1535091,2.194729578806663e-06,0.0008182541084733116
25,IGLC3,4.8683944,3.1148033,4.324902178433686e-06,0.0013842669662145334
26,PHGR1,4.8597407,1.3605728,2.864373275020483e-06,0.0009847078792125973
27,PDZK1IP1,4.8597226,27.805193,5.660997079993454e-06,0.0015922840877727043
28,PSAP,4.7478747,1.9757403,5.242895174786018e-06,0.0015207672816363693
29,P4HB,4.742553,1.6688626,5.0161629209400385e-06,0.0015207672816363693
30,IGHM,4.7267733,1.7572223,5.089860635768578e-06,0.0015207672816363693
31,FABP1,4.6726055,1.4500983,6.578246520024262e-06,0.0017958612999666235
32,CXCL14,4.643966,1.9395448,7.850661002986153e-06,0.002045913707920466
33,GNS,4.635043,4.374648,1.1698934298859892e-05,0.002823156484430813
34,IFI27,4.632596,1.7629677,7.93502407726102e-06,0.002045913707920466
35,LYZ,4.6079817,1.6593165,9.134335439339346e-06,0.0022914838256202115
36,F11R,4.604845,4.461743,1.3378813374248215e-05,0.0030288328229212667
37,GBP1,4.590896,2.8316965,1.1862002035423583e-05,0.002823156484430813
38,SPINK1,4.550399,2.7298112,1.315425755414354e-05,0.0030288328229212667
39,AL049543.1,4.4593396,2.864992,2.0020712553932438e-05,0.004129605642791131
40,LGALS3,4.425203,1.6361097,1.9221930044722003e-05,0.004054953515343401
41,CTSD,4.394385,1.4446795,2.143320281507289e-05,0.0043248475767284035
42,ACP5,4.3602567,2.7541876,3.0135829504460436e-05,0.005951505733200037
43,IGLC2,4.289297,2.019765,3.408004021861589e-05,0.006515355080400954
44,KRT19,4.2851048,1.5170292,3.439478549231273e-05,0.006515355080400954
45,S100A10,4.2797365,1.985691,3.5252306504125405e-05,0.0065442381794258405
46,RARRES1,4.2746615,4.263032,4.660857538925434e-05,0.0083196307069819
47,IGLC1,4.249398,1.554402,3.756818043865197e-05,0.006837408839834658
48,TSPAN1,4.17917,1.9981873,5.252242348569256e-05,0.0091983610338528
49,CST3,4.1557965,1.667123,5.5872751432447864e-05,0.00958072183481785
50,HLA-A,4.1404414,1.1586337,5.6770060430400965e-05,0.00958072183481785
51,FTL,4.0909367,1.2145926,6.979509402800449e-05,0.011568536835141743
52,S100A11,4.0752807,2.2917514,8.418456238036075e-05,0.013708791368675588
