,names,scores,logfoldchanges,pvals,pvals_adj
0,IGLC3,17.701025,28.357952,1.57081092671941e-61,1.4580267021809565e-57
1,SLC25A6,14.7472515,27.28613,7.35743751814336e-45,3.4145867521703336e-41
2,NPC2,13.017917,26.883816,5.151471592155458e-36,1.5938653106128987e-32
3,CDC42SE2,11.909839,26.60641,9.255340571220877e-31,2.1477017795518047e-27
4,IDO1,11.588009,26.87326,2.6754591683534877e-29,4.9667224001314144e-26
5,RARRES1,11.357208,26.737324,2.8605811890240974e-28,4.425319099420278e-25
6,GPNMB,11.057725,26.430174,5.861736868362155e-27,7.772663087448217e-24
7,HPS1,10.735237,26.265566,1.4121080832455868e-25,1.6383984035856922e-22
8,AL356488.2,10.7120075,26.187853,1.7708048437701245e-25,1.826290062208255e-22
9,TMUB1,10.562339,26.184553,7.54231710397725e-25,7.000778735911683e-22
10,CARD16,10.387762,26.200003,4.006072598100246e-24,3.3803968959605898e-21
11,IFI27L2,10.0981655,26.01486,6.087757527833023e-23,4.544612188794468e-20
12,CD79B,10.09337,26.16768,6.365003065538471e-23,4.544612188794468e-20
13,LPCAT1,9.968973,26.106323,2.009028414829165e-22,1.3319858390317364e-19
14,YWHAQ,9.958108,26.099918,2.2199815373234884e-22,1.3737245752957747e-19
15,CSTB,9.933926,26.047157,2.771564879481551e-22,1.6078540757092348e-19
16,HEXA,9.7569895,25.981869,1.3870619867840365e-21,7.573358447840839e-19
17,HAPLN3,9.742656,26.034882,1.5787179225212643e-21,8.140922087134653e-19
18,LRRC59,9.68857,25.958796,2.569190713035059e-21,1.2551172735995482e-18
19,SEMA4D,9.645513,25.91248,3.779846787917714e-21,1.754226894272611e-18
20,COMMD4,9.630186,25.879982,4.335263434458453e-21,1.9078078799959514e-18
21,NUDT22,9.625471,26.001183,4.5218458694150964e-21,1.9078078799959514e-18
22,DNASE1L3,9.572729,25.97694,7.236558857811884e-21,2.920423448617822e-18
23,MPEG1,9.55635,25.936562,8.370799570969959e-21,3.2374067340726318e-18
24,UBXN1,9.499171,25.875656,1.389344763916546e-20,4.961944393748033e-18
25,TYROBP,9.499126,26.089392,1.3899003904056116e-20,4.961944393748033e-18
26,AL360012.1,9.449935,25.772156,2.14499229931037e-20,7.37400686007365e-18
27,UBE2M,9.350196,25.819948,5.140826105150413e-20,1.7041838538573617e-17
28,CSNK1E,9.316851,25.78243,6.873923720695925e-20,2.2001296543275716e-17
29,C1QC,9.272591,26.010035,1.0094881046563942e-19,3.123356195806884e-17
30,MSN,9.264976,25.875952,1.0783273615433092e-19,3.228720828982257e-17
31,CARS2,9.211589,25.795586,1.7102088446426661e-19,4.960674529991634e-17
32,COX17,9.194131,25.869102,1.9876658212435586e-19,5.59076186447961e-17
33,TRAF3IP3,9.154146,25.849628,2.8021861187939605e-19,7.649968104307512e-17
34,ZAP70,9.146518,25.732069,2.991521154084176e-19,7.933514100631235e-17
35,AKR1B1,9.1361685,25.788366,3.2687752371942475e-19,8.427992153232501e-17
36,VAMP2,9.116534,25.692297,3.866429379415827e-19,9.699512837766949e-17
37,SLAMF7,9.104253,25.891104,4.2939829645428295e-19,1.0488618388654353e-16
38,HCLS1,9.095886,25.805704,4.611695113711322e-19,1.0975834370632946e-16
39,IRF8,9.082848,25.71387,5.153763581080445e-19,1.1959308389897172e-16
40,LCK,9.079786,25.699986,5.289922049652099e-19,1.197586743045629e-16
41,TRIM25,9.0534935,25.821259,6.615673589783387e-19,1.4620638633421282e-16
42,CHPF,9.040073,25.745667,7.414110066848233e-19,1.6004132474531465e-16
43,CCR7,9.027688,25.756119,8.235193049921231e-19,1.7372514065765653e-16
44,C19orf53,9.018865,25.69545,8.87433831017814e-19,1.8304801821127444e-16
45,CABIN1,8.913596,25.7665,2.1548041568909443e-18,4.3480200400569015e-16
46,MMP12,8.808693,25.941366,5.1710960805160364e-18,1.021236464241486e-15
47,MX1,8.793603,25.596483,5.860834437060365e-18,1.133338859266548e-15
48,NID1,8.790356,25.646772,6.020765099872359e-18,1.140504931775821e-15
49,ENTPD4,8.730243,25.642075,9.895158954072092e-18,1.836937308233943e-15
50,RAC2,8.699589,25.62241,1.2734350255660095e-17,2.317651746530137e-15
51,TCF7,8.694001,25.59984,1.3332450684151362e-17,2.379842447121018e-15
52,FIBP,8.690489,25.584867,1.3722606036613823e-17,2.4032684760726323e-15
53,SLC25A11,8.67876,25.611343,1.5108944423203524e-17,2.597059669188428e-15
54,TAOK2,8.66203,25.556396,1.732863557486389e-17,2.9244435528343027e-15
55,MAEA,8.64523,25.61945,1.9881448443318022e-17,3.295350079479962e-15
56,AIF1,8.627985,25.579975,2.2888340183298288e-17,3.7271855014276266e-15
57,NOTCH1,8.609245,25.653261,2.666649985832014e-17,4.267559511809095e-15
58,DNASE2,8.601254,25.63881,2.845903830596739e-17,4.4772337890845645e-15
59,TRAF7,8.598611,25.603191,2.907789249967292e-17,4.498349969699401e-15
60,BAG1,8.578023,25.547943,3.4374976015450855e-17,5.230631596318276e-15
61,ICAM1,8.550919,25.785116,4.282508798777118e-17,6.411330108104712e-15
62,KIAA1671,8.546937,25.608011,4.422851008104848e-17,6.516333818607809e-15
63,SNX5,8.541686,25.556396,4.6148469376650624e-17,6.692970199282361e-15
64,ZGPAT,8.526632,25.568232,5.212119086298128e-17,7.442906055233726e-15
65,DGCR8,8.5243435,25.630804,5.309402003405928e-17,7.466949908426336e-15
66,WDR81,8.505307,25.653261,6.191000744221473e-17,8.5768461056513e-15
67,IL7R,8.466995,25.626057,8.426533408608541e-17,1.1502218102750658e-14
68,RNF181,8.462707,25.598001,8.721709796799764e-17,1.1732595700564554e-14
69,LAT,8.452508,25.575066,9.465493145306833e-17,1.2551243910676861e-14
70,MMP9,8.44209,25.620947,1.0289830625135772e-16,1.3452141952466231e-14
71,STARD3,8.410354,25.594995,1.3263373362376174e-16,1.709869882632995e-14
72,BACE2,8.386682,25.673641,1.6019742445737174e-16,2.0369212244018144e-14
73,CDC42SE1,8.370835,25.620598,1.8173478054123397e-16,2.2795435580861268e-14
74,AL021707.6,8.366499,25.425581,1.8811118208915532e-16,2.328063989535386e-14
75,FGD3,8.326505,25.451271,2.583634087201044e-16,3.1554331049210644e-14
76,TSPAN4,8.320963,25.603191,2.699487765208587e-16,3.254109796969624e-14
77,BTN2A1,8.315318,25.556396,2.822786561960787e-16,3.359116008733337e-14
78,KLF2,8.30869,25.463955,2.9746582258477557e-16,3.495035145863148e-14
79,TOMM6,8.296519,25.643892,3.2748320739532724e-16,3.7996239138042843e-14
80,ATN1,8.2881565,25.460281,3.4982107647449733e-16,4.0086904096744246e-14
81,NCF4,8.27701,25.489006,3.819504548235773e-16,4.3234928313078596e-14
82,RBM26,8.258193,25.429338,4.4292251524129963e-16,4.953261188517763e-14
83,FCMR,8.218707,25.522297,6.037996058304122e-16,6.671985644426054e-14
84,WDFY1,8.211815,25.542562,6.37270562945936e-16,6.958994547369621e-14
85,TES,8.208663,25.467619,6.531841740037467e-16,7.049831980352066e-14
86,LRRC1,8.203419,25.451271,6.805317668453491e-16,7.227210756373782e-14
87,DDC,8.202546,25.554504,6.851912805008542e-16,7.227210756373782e-14
88,MAGED1,8.188421,25.463955,7.651306185200345e-16,7.979710563037033e-14
89,NCOA3,8.171571,25.420141,8.7259369836919285e-16,8.999349675847608e-14
90,CD27,8.150807,25.416359,1.025669363984265e-15,1.0461827512639503e-13
91,PDLIM2,8.139893,25.445925,1.1164696565546066e-15,1.1264207991456369e-13
92,SDC3,8.077063,25.528969,1.815873587743973e-15,1.8123589937031782e-13
93,IDH3B,8.070687,25.423914,1.90739872587993e-15,1.8834547844273948e-13
94,LST1,8.050655,25.361559,2.2256249374823875e-15,2.174552702074897e-13
95,YME1L1,8.032702,25.375017,2.5549693157830718e-15,2.4703359571977575e-13
96,COPS5,8.016249,25.429338,2.8987861911648042e-15,2.7738694254012077e-13
97,MAZ,8.012533,25.458652,2.9825312036491796e-15,2.7861579296042543e-13
98,DLGAP4,8.012533,25.458652,2.9825312036491796e-15,2.7861579296042543e-13
99,RABEP2,8.011698,25.371119,3.001678441719731e-15,2.7861579296042543e-13
100,RNF166,7.995405,25.384493,3.4004395776369705e-15,3.1250376395669665e-13
101,SELL,7.9926567,25.454967,3.472677649886951e-15,3.160136661397125e-13
102,ABCC5,7.9824533,25.467619,3.754312391230545e-15,3.3351274995376274e-13
103,PLAAT3,7.9805703,25.33827,3.808699794774668e-15,3.3351274995376274e-13
104,MBD1,7.9805703,25.33827,3.808699794774709e-15,3.3351274995376274e-13
105,APMAP,7.9805703,25.33827,3.808699794774708e-15,3.3351274995376274e-13
106,LINC00926,7.9628806,25.513275,4.359061994399752e-15,3.7813844328989245e-13
107,DYRK1A,7.946067,25.36548,4.954534325601179e-15,4.258147000947235e-13
108,FBXO9,7.929631,25.300602,5.613910547659253e-15,4.780579605814054e-13
109,PRPF31,7.9251585,25.361559,5.807843056468628e-15,4.90076356819471e-13
110,SLIRP,7.910012,25.314613,6.5149734817481524e-15,5.447926473656429e-13
111,WBP1,7.9037447,25.458652,6.831781451531981e-15,5.661838877957129e-13
112,RNASEH2C,7.8966026,25.388355,7.211356490225204e-15,5.923523092236314e-13
113,MIIP,7.8919916,25.328497,7.467386132563258e-15,6.080024393197558e-13
114,BLK,7.8826027,25.43143,8.016727747932885e-15,6.470544952722874e-13
115,C19orf12,7.8603516,25.355883,9.482683913430042e-15,7.587782076246348e-13
116,ZBED5,7.8586516,25.27634,9.604997209962104e-15,7.619964453236603e-13
117,SSRP1,7.8395386,25.351936,1.1091548868477906e-14,8.688725316579533e-13
118,IFNAR2,7.8389664,25.29058,1.113939143151222e-14,8.688725316579533e-13
119,SUPT4H1,7.8209133,25.304686,1.2757542714365599e-14,9.867959289561792e-13
120,CYTH4,7.8043876,25.31866,1.444069483677722e-14,1.107756441941869e-12
121,SDHC,7.792303,25.405396,1.5808185586948315e-14,1.2027178575250348e-12
122,SPPL3,7.789292,25.332506,1.616833507101062e-14,1.2201177734074842e-12
123,PARM1,7.7659025,25.39948,1.925506979844538e-14,1.44133514410621e-12
124,NAGLU,7.7368226,25.211748,2.3911735679183493e-14,1.7614978616998507e-12
125,RBFOX2,7.7368226,25.211748,2.3911735679183493e-14,1.7614978616998507e-12
126,SERTAD1,7.7328076,25.294691,2.4636312093667183e-14,1.7865175691673344e-12
127,SNHG19,7.7328076,25.294691,2.4636312093667183e-14,1.7865175691673344e-12
128,POU2AF1,7.723091,25.449633,2.648033728342591e-14,1.8951041707556065e-12
129,CD22,7.722778,25.586432,2.6542075220666756e-14,1.8951041707556065e-12
130,CNOT6L,7.6953607,25.241327,3.252408633572046e-14,2.3044928959401318e-12
131,UGGT1,7.6831903,25.31866,3.558792648434645e-14,2.502478285058362e-12
132,MAGED2,7.681219,25.375017,3.6110196731946686e-14,2.5167569146054316e-12
133,IFFO1,7.6803856,25.350187,3.633327155323506e-14,2.5167569146054316e-12
134,CNPY3,7.645672,25.28463,4.6934597888343315e-14,3.1815668267284928e-12
135,PKN1,7.643854,25.326296,4.7566738137518064e-14,3.1815668267284928e-12
136,KIAA1217,7.6426573,25.201113,4.7987433283989333e-14,3.1815668267284928e-12
137,TRIM8,7.6426573,25.201113,4.7987433283989333e-14,3.1815668267284928e-12
138,FXR1,7.6426573,25.201113,4.7987433283989333e-14,3.1815668267284928e-12
139,KIF1B,7.6426573,25.201113,4.7987433283989333e-14,3.1815668267284928e-12
140,PLXND1,7.639292,25.266155,4.919046514043047e-14,3.238197854138125e-12
141,WASHC2A,7.624481,25.28049,5.484698101340957e-14,3.5600676766885847e-12
142,CSNK1G3,7.624481,25.28049,5.484698101340957e-14,3.5600676766885847e-12
143,HELZ2,7.6227717,25.216082,5.553972629042606e-14,3.5799981904703796e-12
144,MGMT,7.604624,25.2309,6.344649414925928e-14,4.061450749609825e-12
145,ACVRL1,7.591455,25.15979,6.986815193752682e-14,4.441891686877562e-12
146,ARHGAP12,7.5900893,25.29058,7.056949432734346e-14,4.455959498955116e-12
147,GON4L,7.5730834,25.260109,7.990758910025423e-14,5.011501635328107e-12
148,BUB3,7.5695915,25.175175,8.197036036841571e-14,5.106368355299562e-12
149,CD38,7.566536,25.241327,8.381833354387303e-14,5.186678479694862e-12
150,RNF220,7.559485,25.274502,8.824060493578715e-14,5.424167516648849e-12
151,PIN1,7.5579,25.332506,8.926584349991075e-14,5.451089206356392e-12
152,GPS1,7.55176,25.255901,9.334916839607384e-14,5.5901095551765e-12
153,ITGA4,7.55176,25.255901,9.334916839607384e-14,5.5901095551765e-12
154,PARVG,7.55176,25.255901,9.334916839607384e-14,5.5901095551765e-12
155,FSTL1,7.547596,25.36898,9.622274025177483e-14,5.7252530449806024e-12
156,APOC1,7.5428715,25.34405,9.958875219935857e-14,5.887788521748066e-12
157,PRNP,7.5319104,25.308758,1.0784984548967449e-13,6.3166350324710694e-12
