,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,13.645133,1.9042774,2.383033947896436e-32,2.211932110437472e-28
1,IGHA1,11.705919,2.8782225,4.311690313147641e-25,2.00105547433182e-21
2,REG1A,10.240808,3.2460535,3.388797630048324e-20,7.863704900527135e-17
3,IGKC,8.973889,1.6940671,8.142439321057457e-17,1.5115624355611062e-13
4,DMBT1,7.986626,2.5935113,7.293858559193953e-14,8.462699393304784e-11
5,PLA2G2A,7.8661056,2.2730012,1.3697350812100144e-13,1.412653447087928e-10
6,JCHAIN,7.8414435,2.3089666,1.73199255870137e-13,1.6076354929866116e-10
7,IGHM,7.013526,2.1593058,2.7642371859928376e-11,2.13813746336546e-08
8,CXCL14,6.8337374,2.0821922,6.218360093135364e-11,4.1227727417487464e-08
9,SERPINA1,6.372003,1.248664,6.054927941057593e-10,3.746789409926439e-07
10,PDZK1IP1,6.346905,3.7580361,1.4592110800681856e-09,7.967292497172293e-07
11,LCN2,6.3133874,4.05206,1.8040301114347852e-09,9.302781941298709e-07
12,HLA-DQB1,6.214308,2.3626304,2.418462356549146e-09,1.1814825049204829e-06
13,IGHG4,6.0872507,1.1140695,3.588118961608533e-09,1.66524601008252e-06
14,C1QA,6.041849,1.7396425,5.2470186720419834e-09,2.3191822530425563e-06
15,CTSB,5.9894285,1.5874923,6.611194879288955e-09,2.6680482986765254e-06
16,IGHG3,5.7376795,1.686476,2.7753703930226538e-08,1.0733744995015115e-05
17,CCL25,5.736445,2.6387043,3.135906130045277e-08,1.1642992279632105e-05
18,FGL2,5.6238236,2.502377,5.8964357257063636e-08,2.1050275540771718e-05
19,RARRES1,5.557942,3.2799559,8.546794809329513e-08,2.9381981266739456e-05
20,IL32,5.470207,1.361307,1.011151561482935e-07,3.351967426315929e-05
21,APOA4,5.4255333,1.5970963,1.3302105076689003e-07,4.115671310727578e-05
22,HLA-C,5.425163,1.0462639,1.1563346266280917e-07,3.701068277366188e-05
23,SPINK4,5.3039594,1.3173263,2.2039445271481185e-07,6.392816594059011e-05
24,S100A6,5.29279,1.1183417,2.123739350289356e-07,6.358886661092194e-05
25,MUC1,5.2079444,2.5829692,4.3940143381724204e-07,0.00011652926024833259
26,PLAAT4,5.1597815,1.4365811,4.863695627998057e-07,0.0001254022856085499
27,MUC13,5.1597548,1.0158073,4.3321450996286946e-07,0.00011652926024833259
28,UBD,4.963122,3.6502416,1.4700699802637183e-06,0.0003248854656382817
29,CFB,4.9630833,1.3964177,1.2359240830929391e-06,0.0002867961834817165
30,SPINK1,4.9535213,1.5610776,1.315706629141428e-06,0.0002978631446753838
