,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,12.406214,2.6755695,3.081323337785461e-25,2.8600843221324653e-21
1,IGHA1,11.519701,3.1081233,2.4457708989791777e-22,7.567215161441576e-19
2,AL627171.2,11.343017,2.0088778,1.0999148718267175e-22,5.104704920147796e-19
3,IGHG4,10.616677,2.581379,2.6818548363694606e-20,6.223244147795333e-17
4,REG1A,10.472739,3.287867,1.5728403376135077e-19,2.9198208027457155e-16
5,JCHAIN,9.9608135,2.9397051,3.886199009706339e-18,6.011949868015707e-15
6,IGHM,8.238601,2.751636,1.0695345998247248e-13,1.418202879367585e-10
7,IGHG3,8.020784,2.6852062,3.14134566690938e-13,3.6447463100316084e-10
8,PLA2G2A,7.21149,2.0998812,2.2331602603005945e-11,2.3031326151233465e-08
9,DMBT1,7.139321,2.5887852,4.198873281307288e-11,3.897394179709425e-08
10,GAS5,6.9626975,1.4657292,6.027945771965519e-11,5.086490241398541e-08
11,C1QA,6.923126,2.1325214,1.1440855407401134e-10,8.849501657624777e-08
12,S100A6,6.6664023,1.8025743,3.6119055570326597e-10,2.578900567721319e-07
13,RACK1,6.4637003,1.2548474,7.977770922464505e-10,5.289262121593966e-07
14,IGLC1,6.4529486,2.1471655,1.543365917945644e-09,9.550348300247646e-07
15,IGLC2,6.4482927,2.5866358,1.8033044999185367e-09,1.0461420230152412e-06
16,TMSB10,6.148463,1.4320271,4.750233702529234e-09,2.593627601580962e-06
17,LCN2,6.003415,3.414578,1.7475536353193447e-08,8.537259391070609e-06
18,HLA-C,5.980056,1.247076,9.700545871897766e-09,5.0022481546086145e-06
19,MUC1,5.9128094,3.1692646,2.7462105975868507e-08,1.2745163383400573e-05
20,KRT8,5.8100677,1.6456661,3.0399393372999914e-08,1.3436531870865961e-05
21,SNHG1,5.713121,1.1728437,4.399887183927339e-08,1.8563524018733436e-05
22,CD24,5.7016907,2.5040016,6.695930990976912e-08,2.7022448460107696e-05
23,IGLC3,5.6200113,3.6198792,1.1639348453309862e-07,4.321457293744886e-05
24,C1S,5.603418,2.5239925,1.0291488553991288e-07,3.980233198256131e-05
25,IGHG2,5.4350376,3.9239051,2.7749086986281154e-07,9.198822335952203e-05
26,CTSB,5.406717,1.531591,2.3019391149220687e-07,8.217922640271785e-05
27,CXCL14,5.3906693,1.91638,2.58179459564794e-07,8.875636087705251e-05
28,ACTB,5.281764,1.1455004,3.510227230297076e-07,0.00011235147983316365
29,LINC02739,5.268705,1.3599194,4.367256777776041e-07,0.00013076412068166844
30,PSAP,5.2403054,1.5181909,5.034678878889327e-07,0.00014603715423078354
31,TIMP1,5.231775,3.3223321,6.530198493490165e-07,0.00018367667398962336
32,S100A11,5.1381865,2.5236547,9.081374815296668e-07,0.00023414811398773242
33,SPINK4,5.1244063,1.5843484,8.567416142311411e-07,0.0002272078760940986
34,JAK3,5.1174946,2.1304188,9.429679425288957e-07,0.0002365575254744111
35,HLA-DRA,5.100955,1.088374,7.522777886686389e-07,0.0002053718363065384
36,SSR4,5.0959806,1.9204409,1.0254738016272162e-06,0.00024406276478727745
37,CYBA,5.0921493,2.0311444,1.0164355292020387e-06,0.00024406276478727745
38,PLCG2,5.0767145,1.8237847,1.1060517424159554e-06,0.0002503993237342658
39,TNFRSF6B,5.056812,4.0018363,1.467881113237661e-06,0.000309656193024363
40,TYMP,5.0200443,1.1175308,1.2432304543570987e-06,0.0002747539304129188
41,CD74,5.0166583,1.0114558,1.0798817789831977e-06,0.0002503993237342658
