,names,scores,logfoldchanges,pvals,pvals_adj
0,LRP1,12.065861,26.934114,3.137557948160371e-31,2.9122812874824563e-27
1,LCN2,11.781271,27.51526,6.056603891293921e-30,2.5712680706087486e-26
2,IGLC3,11.737999,27.461351,9.457361633065468e-30,2.5712680706087486e-26
3,RBMX,11.7225895,26.648487,1.108066395435789e-29,2.5712680706087486e-26
4,GRIPAP1,11.55272,26.641815,6.289112211547379e-29,1.1675107909516553e-25
5,MYL9,11.417541,27.349398,2.470920112570181e-28,3.82251341414607e-25
6,CCS,11.3252535,26.661493,6.2459535515504235e-28,8.282134409355862e-25
7,NBEAL2,11.252283,26.530382,1.2951755639972076e-27,1.3836885623675732e-24
8,EHD1,11.248747,26.685022,1.3416501897552423e-27,1.3836885623675732e-24
9,FKBP1A,11.114973,26.619678,5.0604641793389405e-27,4.697122851262404e-24
10,IGHG2,10.870982,27.487091,5.526155366210006e-26,4.663070373560116e-23
11,NRBP1,10.805879,26.540766,1.0387397862990888e-25,8.034652247023453e-23
12,FAM160B2,10.693023,26.467855,3.080831286192315e-25,2.199713538341313e-22
13,ZFAND2B,10.578325,26.570618,9.218304942964027e-25,6.11173617718515e-22
14,TRIM26,10.545177,26.335615,1.2632210548495854e-24,7.816811887409235e-22
15,ACP5,10.518756,26.9134,1.6229666941351546e-24,9.415235534351565e-22
16,SCPEP1,10.402896,26.393705,4.842144938418017e-24,2.6438111363762375e-21
17,LBH,10.388791,26.360025,5.527862846326005e-24,2.850534607755443e-21
18,CNN2,10.3564,26.373629,7.488820760271653e-24,3.658486015623236e-21
19,SRSF9,10.307197,26.404766,1.1860399053049224e-23,5.504411200520144e-21
20,ABHD17A,10.276944,26.396978,1.5721968706146067e-23,6.949110168116561e-21
21,SUB1,10.135057,26.267368,5.846340573396488e-23,2.4666242364666458e-20
22,FNBP4,10.0574,26.163599,1.192444849333159e-22,4.812292648482775e-20
23,AFF1,10.035229,26.220724,1.4604093719934e-22,5.648133246184474e-20
24,R3HDM4,10.01597,26.19056,1.741082828429681e-22,6.46429232539372e-20
25,ABLIM1,9.958811,26.293676,2.929123250826748e-22,1.045697000545149e-19
26,MRPL55,9.936081,26.220724,3.5999419570811427e-22,1.2375800461343394e-19
27,OSER1,9.834352,26.172638,9.018396619155646e-22,2.989598479250096e-19
28,TUBGCP2,9.793219,26.165953,1.3045827914053082e-21,4.1755646447669205e-19
29,SUGP2,9.778697,26.205715,1.4857812860441688e-21,4.597007299020659e-19
30,OFD1,9.765085,26.116396,1.6781701647012933e-21,5.024766280244324e-19
31,TIMP1,9.693028,26.557768,3.1900848006705955e-21,9.253239724945147e-19
32,MADD,9.687216,26.184225,3.359170527625281e-21,9.44843055679329e-19
33,PLD3,9.628579,26.200605,5.6483519836915336e-21,1.5055322546480201e-18
34,TEPSIN,9.628008,26.093622,5.676969286003093e-21,1.5055322546480201e-18
35,TNFRSF10B,9.596701,26.149225,7.484507454822667e-21,1.9163905357133653e-18
36,BAX,9.594381,26.121817,7.639134865480986e-21,1.9163905357133653e-18
37,CKMT1B,9.561424,26.219334,1.0210710312328876e-20,2.4941003452378058e-18
38,RAB5IF,9.532011,26.105814,1.3219736981552835e-20,3.1462974016095748e-18
39,UBD,9.461645,26.274483,2.445945099635233e-20,5.675815603703558e-18
40,FGD5-AS1,9.433773,26.031511,3.117854407048172e-20,7.024256179115973e-18
41,HEXB,9.431561,26.153336,3.17839646113845e-20,7.024256179115973e-18
42,LIME1,9.41683,26.063663,3.6125250263588303e-20,7.798013324340154e-18
43,RIC8A,9.406522,26.073303,3.9507090050544313e-20,8.334200223844371e-18
44,WAC,9.375444,26.12841,5.171731578183327e-20,1.0667558335266143e-17
45,ENTPD4,9.353293,25.980024,6.263490924203412e-20,1.263863538227306e-17
46,TRAC,9.346652,26.063366,6.63319761498585e-20,1.3099859630276309e-17
47,GPCPD1,9.315876,26.063663,8.648857709367236e-20,1.6724728595488892e-17
48,CFDP1,9.301169,26.131102,9.815584968717788e-20,1.8593522383599695e-17
49,CD37,9.276376,26.181623,1.2145423669313083e-19,2.254676449971281e-17
50,MFGE8,9.271539,26.218994,1.2659962221593358e-19,2.304113124329991e-17
51,GM2A,9.226705,26.092112,1.8582923810538822e-19,3.31705190018118e-17
52,LTBP3,9.210862,25.955128,2.127438517513775e-19,3.7258272301062003e-17
53,ZC3H3,9.195466,25.919235,2.425852292628107e-19,4.169770551884091e-17
54,HNRNPH2,9.191874,25.988895,2.5012352902054864e-19,4.221175629761332e-17
55,NAA60,9.178591,25.962471,2.800675042579702e-19,4.642118883075856e-17
56,AMDHD2,9.173292,25.985943,2.929767189542598e-19,4.77089457076042e-17
57,STOM,9.163728,26.372389,3.177901428724072e-19,5.0857381140373854e-17
58,FAAP20,9.15239,26.006151,3.4990982786705347e-19,5.504852580105068e-17
59,RAD9A,9.140247,26.101866,3.8787565429624515e-19,6.000436371962913e-17
60,SRGN,9.115097,26.14805,4.799518357391246e-19,7.303135966115663e-17
61,ILRUN,9.109989,25.998703,5.011393714621438e-19,7.50254136437358e-17
62,RUSC1,9.08731,25.93288,6.069634385235354e-19,8.942594660913422e-17
63,PPP4R3B,8.990872,25.922318,1.3648010743460987e-18,1.9793880581375764e-16
64,GLI4,8.970532,25.885641,1.6177113258999151e-18,2.310091773385079e-16
65,DGCR2,8.9570875,25.89646,1.809803328035106e-18,2.545241589518463e-16
66,DTX3L,8.945738,25.981363,1.9893899293151723e-18,2.756047361776631e-16
67,AC004687.1,8.941745,26.25615,2.05667490591837e-18,2.807361246578575e-16
68,SBF1,8.915981,25.946087,2.5482436029129687e-18,3.4279416119185763e-16
69,PRR15,8.891167,26.010378,3.130991199825663e-18,4.151694330968829e-16
70,CD6,8.884234,26.024517,3.316140140297899e-18,4.335269405950014e-16
71,SEC24C,8.872597,26.045486,3.651597494849509e-18,4.707517770443492e-16
72,LCP1,8.858768,26.033995,4.0940484430981064e-18,5.205610636826935e-16
73,USP33,8.838041,25.907202,4.8582748401575626e-18,6.054468751096805e-16
74,PRXL2B,8.834009,25.949116,5.0225608040772895e-18,6.054468751096805e-16
75,UBE2Q1,8.834009,25.949116,5.0225608040772895e-18,6.054468751096805e-16
76,SYTL1,8.834009,25.949116,5.0225608040772895e-18,6.054468751096805e-16
77,RNF114,8.819502,25.84483,5.6603489511295945e-18,6.735815251844218e-16
78,ZBTB38,8.800019,25.841587,6.644478643752311e-18,7.709256346413841e-16
79,SNHG9,8.800019,25.841587,6.644478643752503e-18,7.709256346413841e-16
80,GID8,8.768613,25.931204,8.598383419032352e-18,9.853110480920776e-16
81,CHKA,8.76552,25.935614,8.819099281844771e-18,9.982790187083313e-16
82,SH3RF2,8.753156,25.82565,9.758856293894681e-18,1.0783536204753928e-15
83,RANBP3,8.753156,25.82565,9.758856293894959e-18,1.0783536204753928e-15
84,PPIE,8.73595,25.786549,1.1233143153353037e-17,1.2266592323461517e-15
85,ACCS,8.7316675,25.942028,1.1633147410781892e-17,1.2555683054288083e-15
86,DDX24,8.722732,25.730997,1.2513615253366986e-17,1.3350732963419812e-15
87,IFI27L2,8.720485,25.798088,1.2745101560369384e-17,1.3443185532198707e-15
88,YPEL5,8.706817,25.932558,1.42477490077752e-17,1.4859281605637009e-15
89,CD53,8.653165,25.92814,2.2035939325243875e-17,2.272639875743485e-15
90,NARF,8.639176,25.789911,2.4680383743031665e-17,2.51739914178923e-15
91,ARF3,8.618021,25.926783,2.928611396890061e-17,2.954714237601473e-15
92,RASGRP2,8.588419,25.982702,3.7187199880423754e-17,3.6993119983451325e-15
93,CLIP1,8.586186,25.758268,3.7861952148544237e-17,3.6993119983451325e-15
94,NCOA3,8.586186,25.758268,3.7861952148544237e-17,3.6993119983451325e-15
95,PREB,8.569685,25.888792,4.324009796409437e-17,4.1807769719033745e-15
96,MAPK1IP1L,8.563852,25.817617,4.531621659083719e-17,4.3363414680015545e-15
97,NUCKS1,8.550602,25.713854,5.0405394629551035e-17,4.774110948484619e-15
98,SOS1,8.544621,25.814316,5.288373634928402e-17,4.9582509171116594e-15
99,PPP1R12A,8.5389805,25.778309,5.533152554737191e-17,5.035168824810843e-15
100,YTHDF2,8.5389805,25.778309,5.533152554737191e-17,5.035168824810843e-15
101,ADD3,8.5389805,25.778309,5.533152554737191e-17,5.035168824810843e-15
102,RAF1,8.500525,25.680574,7.527321819255457e-17,6.7833593326533155e-15
103,IDO1,8.499269,26.338428,7.603303988664624e-17,6.785948809883177e-15
104,FGFR1OP,8.4935665,25.769665,7.957534346483366e-17,6.968097528684925e-15
