,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,9.393269,2.5578938,4.460593028470617e-14,1.380107483008809e-10
1,IGHG4,9.378983,2.6653762,2.1194056174047942e-15,1.96723229407513e-11
2,AL627171.2,8.8255205,2.3508532,2.9472069815284275e-12,3.9079964575066945e-09
3,JCHAIN,8.801965,2.8347414,7.379130976867643e-14,1.7123273431821367e-10
4,IGHA1,8.643394,3.1068552,1.8047363258718422e-12,2.79192709612374e-09
5,LCN2,8.169685,28.614384,3.8221729764687264e-14,1.380107483008809e-10
6,IGHG3,8.018794,2.8400245,5.314853798407767e-13,9.866494591364178e-10
7,IGLC3,7.2051363,28.614992,1.2366394643125844e-11,1.4348109384686762e-08
8,IGHM,7.129084,2.51446,1.229197372937664e-10,1.0372190923279452e-07
9,IGHG2,7.094728,28.417488,2.3385339263335075e-11,2.411807989358624e-08
10,IGLC2,6.9203615,2.9391568,1.0401668037584408e-10,9.654828272485847e-08
11,TIMP1,6.7489023,27.550259,1.6596467993109586e-10,1.2837367992670265e-07
12,CXCL14,6.4605007,2.9101028,3.974197647656206e-09,2.4592335043696605e-06
13,ACP5,6.395024,27.817175,1.161439892233399e-09,8.292680830546469e-07
14,SH3BGRL3,6.2378125,2.8942463,6.168887988995401e-09,3.5787261446159574e-06
15,REG1A,6.2296305,2.9141223,9.871066148027981e-08,3.6649294394398285e-05
16,IDO1,6.2184806,27.759201,2.9934445885925157e-09,1.984653762236838e-06
17,LBH,6.03334,26.970068,7.936266778756655e-09,4.333201661201133e-06
18,STOM,6.0087256,27.227259,9.021969584776613e-09,4.652328982549806e-06
19,EHD1,5.974177,27.013401,1.0794799039610014e-08,5.273543404508429e-06
20,UBD,5.8569455,27.037472,1.9743925605241457e-08,9.16315587339256e-06
21,HSPG2,5.7709312,27.086048,3.05966482248267e-08,1.2909214967659783e-05
22,FKBP1A,5.7709284,27.02711,3.059714816726085e-08,1.2909214967659783e-05
23,IGLC1,5.7559786,2.3214037,1.3032636078370165e-07,4.652651079978149e-05
24,FCER1G,5.66801,26.988192,5.1389457363880194e-08,2.0738997532675477e-05
25,PSAP,5.564185,2.409649,4.2857896319552314e-07,0.00012431468551190144
26,AC004687.1,5.5559244,26.917868,8.975498084125418e-08,3.4712738840355056e-05
27,TAF1D,5.486458,2.5090766,6.615757851792047e-07,0.00016493737777839264
28,R3HDM4,5.466835,26.70416,1.3907051518276748e-07,4.7809352663942505e-05
29,RASGRP2,5.4299545,26.86753,1.6647685499040327e-07,5.518707742931868e-05
30,VIM,5.3438916,3.527028,2.8126595819278875e-07,9.002450427398156e-05
31,LYZ,5.3407755,2.1688004,1.2347851015364299e-06,0.00024915815896654655
32,AFF1,5.3013797,26.49686,3.0964956117622173e-07,9.5805574227923e-05
33,PIM2,5.2703924,26.530989,3.5905665579222677e-07,0.00010750851222785319
34,COL1A2,5.2142735,2.8998785,6.796382437619945e-07,0.00016493737777839264
35,C1QC,5.190646,26.879787,5.241074655888419e-07,0.00014741713623017062
36,FNBP4,5.17798,26.436752,5.563521344241399e-07,0.0001518841326977902
37,RASAL3,5.1470246,26.47219,6.434778642146943e-07,0.00016493737777839264
38,FXYD5,5.1450677,26.572966,6.494105110694011e-07,0.00016493737777839264
39,TGFBI,5.131195,26.605509,6.930141923461875e-07,0.00016493737777839264
40,RARRES2,5.1049786,3.455093,8.633495627961176e-07,0.00018361698236823843
41,SUB1,5.1027985,26.540768,7.913093452053538e-07,0.00017487936529038316
42,ICAM1,5.1027985,26.540768,7.913093452053538e-07,0.00017487936529038316
43,ETV7,5.1027985,26.540768,7.913093452053538e-07,0.00017487936529038316
44,TYROBP,5.0823326,26.779587,8.704101728294e-07,0.00018361698236823843
45,SYTL1,5.0537486,26.564398,9.93846293045495e-07,0.00020499736204551743
46,CTSB,5.03146,2.0851674,5.132206240216743e-06,0.0006525635386533125
47,CFB,5.002826,2.4691582,3.061853325877171e-06,0.0004917731864327276
48,TNFRSF6B,5.0025725,3.37815,1.4448972268389137e-06,0.00027940700123997494
49,ARHGDIB,4.989892,26.646547,1.334017437445322e-06,0.00026345425222058463
50,HLA-DQB1,4.97676,2.4063678,4.167085621706261e-06,0.0005525555534382502
51,SRSF9,4.930007,26.506851,1.753910897276778e-06,0.00033224083568414393
52,CSNK1E,4.895596,26.347569,2.0503911682882525e-06,0.00037317119262846195
53,SUGP2,4.895596,26.347569,2.0503911682882525e-06,0.00037317119262846195
54,RAB5IF,4.8714695,26.385052,2.2866121184948705e-06,0.0004004591261107477
55,SEC24C,4.8714695,26.385052,2.2866121184948963e-06,0.0004004591261107477
56,PDZK1IP1,4.860053,2.8261328,3.1030374744159757e-06,0.0004917731864327276
57,HAPLN3,4.839428,26.457438,2.6413506978041697e-06,0.00045401883661145003
