,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHG4,10.386285,2.4537222,1.6477418447600218e-16,7.647169901531262e-13
1,IGKC,10.304074,2.5127122,3.94385995125524e-15,9.151727016887786e-12
2,IGHA1,10.092922,2.8680305,7.68892622568875e-15,1.3031508798630122e-11
3,LINC02739,9.580939,2.64021,2.2509071459080943e-15,6.964306709439644e-12
4,TNFRSF6B,8.877716,27.81982,6.60610208492537e-17,6.131783955227729e-13
5,REG1A,8.524453,2.4452293,3.2379475967749914e-12,2.3118945840973437e-09
6,IGHG3,8.521876,2.5679374,1.688780218307474e-13,1.7416953318144415e-10
7,IGHM,8.447954,2.502496,8.219092248084053e-13,6.357467853893015e-10
8,MUC1,8.398516,2.9478881,8.423729023031753e-15,1.3031508798630122e-11
9,IDO1,7.9896245,27.767561,3.012777826378395e-14,3.994943397777752e-11
10,IGHG2,7.8815513,3.421362,9.825351610060752e-14,1.1399864205572987e-10
11,ARHGEF1,7.6813645,27.128246,2.300676919334536e-13,2.135488316526316e-10
12,AL049543.1,7.5466194,4.0058513,6.417986646796527e-13,5.415613823233215e-10
13,C1QA,7.4309154,2.0357335,5.7227760542277966e-11,3.124635725608377e-08
14,CXCL14,7.2454004,2.019143,7.117351924727592e-11,3.670181142517861e-08
15,JCHAIN,7.173277,2.0308905,5.811295202435437e-10,2.4669689160005085e-07
16,AL627171.2,7.130472,1.5649391,1.4476106785316205e-09,5.167970122357885e-07
17,GBP4,6.9691067,3.9976215,1.9886762635475784e-11,1.2305928718832416e-08
18,ACP5,6.877605,3.4189427,4.2597153911331265e-11,2.471167391281105e-08
19,IGLC1,6.7452264,2.1797085,9.180837513843027e-10,3.550688908478791e-07
20,ZAP70,6.6805396,26.624985,1.173059351023064e-10,5.7307036295768834e-08
21,UBD,6.6019893,3.7867413,2.1229359938861745e-10,9.852545947625735e-08
22,CTSC,6.4021754,3.8640902,5.847157525534495e-10,2.4669689160005085e-07
23,CCDC107,6.355943,26.404417,7.78325380810755e-10,3.141050515080621e-07
24,CD55,6.3412657,3.1929133,1.1565762684865937e-09,4.294136369637025e-07
25,PIM2,6.1716175,26.526154,2.211968642805586e-09,7.56574913226203e-07
26,MMP12,6.166034,26.825912,2.282277264634097e-09,7.56574913226203e-07
27,ITGAV,6.061408,26.51027,4.086599309224564e-09,1.2236069286523356e-06
28,SPON2,6.061408,26.51027,4.086599309224564e-09,1.2236069286523356e-06
29,LIMD1-AS1,5.982442,2.0016372,3.876221968190138e-08,8.775388367985576e-06
30,NUFIP2,5.944229,26.23057,7.779267919542639e-09,2.2564739009123367e-06
31,CDC42SE1,5.9042525,26.457876,9.669350322112248e-09,2.719724536055936e-06
32,WARS,5.897929,2.2214558,3.1180197319291536e-08,7.420886961991386e-06
33,PLAUR,5.8617325,26.470625,1.2171602331321585e-08,3.3228474364507925e-06
34,TAPBPL,5.8247337,26.327269,1.4855367273938185e-08,3.830208862130395e-06
35,C1R,5.7741523,3.5901837,2.11838829676514e-08,5.314291937992982e-06
36,IFI30,5.716073,2.2107232,6.523005096500659e-08,1.3148755887845743e-05
37,CASP10,5.7108197,3.4513984,3.438852592341294e-08,7.979857440527972e-06
38,IRF1,5.7031646,2.2936387,1.2333482245709342e-07,2.289587644093482e-05
39,AIF1,5.6960945,26.334595,2.9483031255998556e-08,7.201618318899437e-06
