,names,scores,logfoldchanges,pvals,pvals_adj
0,HLA-DQB1,15.877006,27.56708,3.834697684532727e-51,3.559366390783277e-47
1,APOL6,14.637453,27.196863,2.2857204171400534e-44,1.0608028455946988e-40
2,SYNGR2,12.87421,26.823973,2.2635886771210972e-35,6.57285161048823e-32
3,CD68,12.85421,26.954071,2.8325152383056364e-35,6.57285161048823e-32
4,HM13,12.588133,26.851402,5.459334602107747e-34,1.0134708755352822e-30
5,IGHG2,12.256118,27.328163,2.055411652504322e-32,3.1797218264241865e-29
6,GRIPAP1,12.074658,26.525787,1.4485014579547542e-31,1.920712933248004e-28
7,LCN2,11.963192,27.337135,4.754968507849464e-31,5.516952211232341e-28
8,RING1,11.578953,26.389542,2.6847583736655635e-29,2.768880802707084e-26
9,S100A11,11.524133,26.73948,4.734633363343196e-29,4.3946866878551544e-26
10,TRIM22,11.4985,26.38278,6.168535537132209e-29,5.205122441423742e-26
11,GBA,11.484929,26.432262,7.094625105437713e-29,5.487692519056072e-26
12,MYBBP1A,11.458169,26.458307,9.344629126077518e-29,6.672065196019348e-26
13,ATP5PB,11.429382,26.376884,1.2560661254333756e-28,8.32771841162328e-26
14,INPPL1,11.138801,26.351662,2.408035907181012e-27,1.4900926193636104e-24
15,GRINA,10.927439,26.43017,1.9883307299395667e-26,1.1534803647061911e-23
16,THOC2,10.91819,26.2264,2.1791745018560026e-26,1.1898292780133774e-23
17,DNAJA1,10.908015,26.252024,2.4101907151028082e-26,1.2143065423911001e-23
18,RSRC2,10.904901,26.282145,2.4856522630285394e-26,1.2143065423911001e-23
19,AC010542.4,10.811401,26.177807,6.251313607571857e-26,2.9012346452740987e-23
20,BIRC6,10.786304,26.2341,7.998651206624878e-26,3.535403833328196e-23
21,MOGS,10.780141,26.263403,8.49721387051211e-26,3.585051779367882e-23
22,UBE2J1,10.749092,26.187511,1.15181364811856e-25,4.4816491442423917e-23
23,RARRES2,10.748474,26.388279,1.1587974516463844e-25,4.4816491442423917e-23
24,FRYL,10.714133,26.177807,1.6209207756064087e-25,5.808613217861807e-23
25,TNFRSF25,10.713745,26.219124,1.6270625260117105e-25,5.808613217861807e-23
26,TMBIM4,10.709136,26.195406,1.7019176878239564e-25,5.850814806808134e-23
27,LRATD1,10.67344,26.20841,2.4098870608550534e-25,7.988775606734501e-23
28,YWHAH,10.640923,26.238424,3.3056550392091137e-25,1.0580375887565169e-22
29,GNL3,10.624446,26.099863,3.878646385327333e-25,1.2000531916202768e-22
30,ACP5,10.59978,26.592781,4.92550223025887e-25,1.4747907000407368e-22
31,IL2RG,10.562746,26.187511,7.045187600468184e-25,2.0435447283608026e-22
32,RAB2A,10.527964,26.239151,9.851189645019628e-25,2.770870978335521e-22
33,ANKRD13D,10.489154,26.21597,1.4305304390234096e-24,3.9053480985339085e-22
34,CD81,10.480463,26.345646,1.5549155604353594e-24,4.123636066274573e-22
35,H2AFZ,10.457373,26.250338,1.9400146832029414e-24,5.00200452485825e-22
36,FBXO7,10.412355,26.08804,2.9831332812664033e-24,7.483633274787773e-22
37,SEL1L3,10.195849,26.054117,2.313971670316699e-23,5.652180274705158e-21
38,NONO,10.165802,26.033737,3.066502960032213e-23,7.298277044876667e-21
39,TRIM56,10.160584,26.022753,3.219941555956175e-23,7.471874380596303e-21
40,DGCR8,10.148593,26.031271,3.602054398720104e-23,7.977467554840815e-21
41,CXCL9,10.148366,26.482193,3.609713825719826e-23,7.977467554840815e-21
42,COL6A1,10.126585,26.048166,4.423965144682857e-23,9.361017498492594e-21
43,DVL3,10.126085,26.027447,4.444643411058795e-23,9.361017498492594e-21
44,ASB13,10.12385,26.10118,4.5383084187908504e-23,9.361017498492594e-21
45,VASP,10.095624,26.027708,5.903644660556054e-23,1.1912528204191587e-20
46,WSB2,10.048041,26.004463,9.185359524201179e-23,1.8140107894390498e-20
47,ZNF358,9.95526,26.08355,2.164297861133776e-22,4.1852109889674395e-20
48,TMEM8A,9.930409,26.021654,2.719801613737038e-22,5.1520813425933034e-20
49,CDK2AP2,9.927168,26.000572,2.8019872480748145e-22,5.201609127326086e-20
50,SNRPD2,9.9048605,26.027708,3.438229917185256e-22,6.257578449277165e-20
51,RETREG2,9.900781,25.980864,3.569208806618159e-22,6.371037719813414e-20
52,LMNA,9.88172,25.950558,4.249693374786236e-22,7.304750723104785e-20
53,R3HDM4,9.88172,25.950558,4.249693374786236e-22,7.304750723104785e-20
