,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,18.772535,2.7187846,3.0830991861457944e-39,2.8617326645805266e-35
1,IGHA1,15.736973,3.7449307,1.035177449865043e-28,3.2028390298824433e-25
2,IGKC,15.536281,3.2008483,5.812613403662006e-29,2.6976338806395372e-25
3,IGHG4,12.6991625,3.1483047,1.5527030423299186e-22,3.6030474097265763e-19
4,REG1A,12.307482,4.2382274,8.604017611247837e-21,1.5972498293520482e-17
5,JCHAIN,10.638394,3.233536,1.3241089973765598e-17,2.048396618941538e-14
6,IGHM,10.17525,3.242396,1.2662238142144878e-16,1.6790127776484108e-13
7,IGHG3,9.612366,3.28214,1.7951719160714017e-15,2.0828482156218438e-12
8,DMBT1,7.765527,3.458547,1.7797163899723082e-11,9.177404184290536e-09
9,PLA2G2A,7.746692,2.789255,1.5564788075009614e-11,9.029522682014953e-09
10,RACK1,7.6013684,1.5899013,9.929759111652246e-12,6.5834302910254386e-09
11,TMSB10,7.5559015,1.9615132,1.7335209274352976e-11,9.177404184290536e-09
12,S100A6,7.3971696,2.381103,5.905168689273281e-11,2.8848303038860312e-08
13,SNHG1,7.220917,1.5250548,7.015425870976955e-11,3.2558591467204043e-08
14,IGLC2,7.204433,2.9721658,2.141364239443899e-10,7.953193623726516e-08
15,GAS5,7.1914363,1.6781106,1.0447845296853418e-10,4.6179476212092106e-08
16,C1QA,7.148988,2.49549,2.142101277668206e-10,7.953193623726516e-08
17,MUC1,6.646215,3.9741328,3.2570279843933613e-09,1.007724458371306e-06
18,IGLC1,6.592707,2.5272996,3.1924093210603095e-09,1.007724458371306e-06
19,CD74,6.551416,1.5494415,1.8163166842232909e-09,6.021089808200208e-07
20,ACTB,6.439138,1.6316206,3.827771538559517e-09,1.1461088845454657e-06
21,HLA-C,6.3340397,1.5122924,5.030917039002734e-09,1.4592803736257308e-06
22,KRT8,6.3095617,2.0376418,8.521146661843708e-09,2.396766161067676e-06
23,IGLC3,6.301401,4.113475,1.4688279845038524e-08,3.5878056189907258e-06
24,CXCL14,6.285699,2.5243387,1.17061127275735e-08,2.936652387495601e-06
25,LINC02739,6.2717047,1.7384003,1.0456694667851072e-08,2.773115425914104e-06
