,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,18.091522,3.8093724,2.7589122406313652e-36,2.5608223417540334e-32
1,IGHG4,16.183147,4.354266,3.302628854178323e-34,1.5327500512241599e-30
2,REG1A,13.112887,3.2139797,2.840959611551746e-27,6.592446778605827e-24
3,IGHG3,13.072225,4.4099784,1.1120273048255395e-27,3.440612481130219e-24
4,IGHA1,13.011754,3.303282,1.3412693951080477e-25,2.4899325050785794e-22
5,AL627171.2,11.080752,2.2517514,1.557555833553591e-19,1.807154155880554e-16
6,IGHM,9.785979,2.6861851,2.7935187198114875e-18,2.1607867297741858e-15
7,IGLC2,9.757367,4.163885,9.686555682099282e-18,5.9940406560830356e-15
8,JCHAIN,9.72739,2.5471056,1.8259440909368328e-17,9.969654736515107e-15
9,MUC1,8.927832,5.171928,5.842296734043206e-15,1.6432787359208798e-12
10,LINC02739,8.595897,2.3043685,4.820813737336496e-15,1.432268829174005e-12
11,IGLC1,8.412105,2.9541292,1.6407238294634766e-14,4.35119959573714e-12
12,IGHG1,7.3882937,2.9009717,6.303323301599117e-12,8.532542500570845e-10
13,SNHG1,7.323497,1.7946959,1.1603864048385235e-11,1.455500893204213e-09
14,DMBT1,7.0283885,2.165042,4.8081815713304904e-11,5.129832338516048e-09
15,WARS,7.0062304,2.993763,6.76675876446798e-11,6.90209393975734e-09
16,IGLC3,6.967291,4.0867386,1.5108091959749495e-10,1.4164980764686345e-08
17,TMEM107,6.0422606,1.7460667,9.489634908104683e-09,5.091490821793506e-07
18,PDZK1IP1,6.024962,3.5315063,1.4732751057517359e-08,7.597188628659785e-07
19,IDO1,5.996616,4.325809,1.9823562154551622e-08,1.0000125212964575e-06
20,IGHG2,5.7717166,3.4103208,3.9384129083959946e-08,1.7919778733201774e-06
21,MZB1,5.638044,2.844505,7.667856015648563e-08,3.1472413017014525e-06
22,MS4A1,5.2535524,4.7451854,6.416195979884819e-07,1.7830877570446376e-05
23,TNFRSF6B,5.2440777,3.0880787,5.378246755584038e-07,1.5782552216040838e-05
24,CXCL9,5.2320943,4.0265894,6.66441102440002e-07,1.824751124733952e-05
25,LCN2,5.18087,2.2424042,6.173609829390931e-07,1.7364680738305035e-05
26,CXCL10,5.067115,27.713219,1.6423084246690275e-06,3.969767395254665e-05
27,UBD,5.0399384,3.4861097,1.3723711460789339e-06,3.41696923605684e-05
28,MMP12,4.9679,27.732944,2.4992172221362983e-06,5.69968900635605e-05
29,ICAM1,4.937834,27.225306,2.835705173092494e-06,6.222462273438423e-05
30,CD24,4.7646,1.6796921,3.958682773266035e-06,8.183628842194953e-05
31,PLA2G2A,4.7551236,1.364017,4.269072052185516e-06,8.653567479296097e-05
32,GBP4,4.6780796,2.7437062,6.4200435686118255e-06,0.00011776846720129439
33,IL7R,4.634212,3.179635,7.573671439058569e-06,0.00013415805018576648
34,ACP5,4.468562,2.1514301,1.469796417974116e-05,0.00023562435840476242
35,CDC25B,4.438298,1.9664121,1.6117327646798132e-05,0.00025270445138104774
36,MXRA5,4.419464,2.5732424,1.800022398914927e-05,0.0002738984902742353
37,TNFAIP2,4.401253,2.357645,1.945797929632788e-05,0.0002927211731418402
38,CD79B,4.3299737,26.981346,3.3037750884316994e-05,0.00045162946054231267
39,C3,4.226693,2.5348074,3.918157799804372e-05,0.0005217839411446798
40,CSF1R,4.201563,26.80503,5.410195602826353e-05,0.0006722548271142464
41,BST2,4.1026874,2.1753125,6.357014033720735e-05,0.0007680245341630088
42,GAS5,4.03582,1.1148177,8.381178829562456e-05,0.0009498669340170784
43,CALHM6,4.0307355,26.769003,0.00010274887924881217,0.0011164718125123338
44,CD79A,4.025049,3.941781,9.582827535838155e-05,0.0010576433434916737
45,SERPING1,4.024823,2.9224262,9.158350945915776e-05,0.0010205019625449006
46,IKZF1,3.9376707,26.506777,0.00014467025885615053,0.0014675730521341958
47,IFI30,3.9162667,1.5116973,0.00012898114072487353,0.0013421557715339418
48,DERL3,3.837409,3.043794,0.00018391098202700444,0.0017689758913726995
49,CTSC,3.7756808,2.3025808,0.0002248744304591296,0.002064574147894798
50,AL049543.1,3.7466733,1.8468817,0.0002433147321820979,0.0021969332141189035
51,FAM78A,3.741313,26.46323,0.00029267662339908324,0.002550821050131728
52,TIMP1,3.7241373,2.1677773,0.0002660123019458671,0.0023493113098587426
53,NCF4,3.683775,3.5084965,0.00032547100830241564,0.0027715797239110294
54,MFGE8,3.6172974,2.3415592,0.00038943413685262485,0.0031838422078925357
55,HAPLN3,3.5672128,2.9243467,0.00048601150877031473,0.0037652535654021197
56,APOC1,3.545648,3.70536,0.000541655635309677,0.004080882797844498
