,names,scores,logfoldchanges,pvals,pvals_adj
0,REG1A,10.781976,3.17736,9.047660043659945e-18,8.398038052525162e-14
1,MUC1,8.545504,3.706315,3.143158577647691e-15,1.4587398958862934e-11
2,AL049543.1,8.04179,27.417805,3.418605482679457e-14,1.057716536341024e-10
3,IGLC3,7.2546115,3.7051485,4.780995231196235e-12,1.1094299433990864e-08
4,IGHA1,7.162173,2.097476,1.2112617203060744e-09,7.026832054925614e-07
5,SPINK1,7.1296287,3.9704506,1.236646425713946e-11,2.2957104246953692e-08
6,CXCL9,7.0336494,27.781115,1.8742532180725156e-11,2.899469728358182e-08
7,CLTC,6.8772306,27.011887,4.756696951972069e-11,6.307380158314963e-08
8,CTSC,6.8295116,27.446644,6.302763838514126e-11,7.312781743636014e-08
9,MTPN,6.6384163,26.72649,1.920448472991657e-10,1.9614283315747694e-07
10,CALR,6.6227913,3.1562042,5.36237542775698e-10,4.1477973933700245e-07
11,TMEM176A,6.621847,26.975378,2.1131526950816306e-10,1.9614283315747694e-07
12,JCHAIN,6.566368,2.2968554,1.1942498306360144e-08,4.618761219984786e-06
13,CDV3,6.5056734,26.710056,4.1129582801143186e-10,3.4705889778201005e-07
14,IFI27,6.498557,2.475851,3.1803214758174266e-09,1.5536707336072291e-06
15,PKM,6.4318585,3.722834,8.250230790250236e-10,5.469903013935906e-07
16,MGAT1,6.3944244,26.794172,7.72484080574693e-10,5.469903013935906e-07
17,AGPAT2,6.3543696,26.716805,9.675267357761346e-10,5.987055440982721e-07
18,S100A6,6.331893,2.0995157,1.733155521353589e-08,6.187365211232313e-06
19,IGHG2,6.265926,2.9095564,1.9569909487139175e-09,1.068517057997799e-06
20,SLC6A8,6.1779003,26.917467,2.5787347480015793e-09,1.329767551719481e-06
21,PSMB4,6.118221,26.774866,3.576950232110018e-09,1.6600626027222591e-06
22,GRINA,5.990787,26.86528,7.140504612506695e-09,3.1561030387279587e-06
23,POU2AF1,5.9233823,26.761824,1.0250107704722196e-08,4.32461362341961e-06
24,FTL,5.9072046,1.5076706,1.1238548599592249e-07,2.6747745667029553e-05
25,AK3,5.896013,26.423689,1.1860967032547898e-08,4.618761219984786e-06
26,IFI16,5.8829455,26.762514,1.2714862415778428e-08,4.720774117730215e-06
27,DMBT1,5.865677,2.0475886,5.167129409853283e-08,1.4533725812805507e-05
28,COL1A2,5.792013,2.9664345,3.705846632272941e-08,1.146588948025248e-05
29,PSMA6,5.7788424,26.58272,2.2036355582521836e-08,7.575609352480285e-06
30,IGKC,5.7705245,1.6849264,4.062050956859689e-07,7.250580758608707e-05
31,BTN3A1,5.7490916,26.575378,2.5753351092577996e-08,8.537235887189606e-06
32,TKT,5.7118425,26.459272,3.1277710866072895e-08,1.0011024560651332e-05
33,COL4A2,5.646375,26.628407,4.391548948359961e-08,1.3117674830176819e-05
34,HSPB1,5.640687,26.531467,4.522361501461519e-08,1.3117674830176819e-05
35,IGHM,5.597314,1.7522001,3.682021044084462e-07,6.70127830023372e-05
36,NFKB2,5.5889473,26.375278,5.900523042157907e-08,1.6108427905091086e-05
37,LAPTM4A,5.5340185,26.304113,7.81073051273201e-08,2.071405731976529e-05
38,UQCRFS1,5.509645,26.333925,8.840118354386244e-08,2.2792771823725864e-05
39,APOL3,5.4881487,26.5573,9.85674408702752e-08,2.4727107733997147e-05
40,TSC22D1,5.476721,26.325323,1.0442660794321767e-07,2.5507573024445956e-05
41,CD63,5.472686,2.3599532,2.635042007078118e-07,4.8916919819398183e-05
42,ACP5,5.469073,2.9931705,1.4277161853901145e-07,3.31301540819776e-05
43,PPP1CA,5.4472947,3.4190295,1.5378690336838028e-07,3.4537471407307705e-05
44,VAMP5,5.3964415,26.282612,1.5627815116428827e-07,3.4537471407307705e-05
45,TIMM13,5.3904777,26.43177,1.6100144208204971e-07,3.475384617222292e-05
46,LCN2,5.3837385,2.865233,2.6275224338773894e-07,4.8916919819398183e-05
47,SSR1,5.3767586,26.312832,1.72399738604938e-07,3.636850849388715e-05
48,PSMA7,5.36321,26.273722,1.8442461578615046e-07,3.804065074948997e-05
49,CTSB,5.3554034,1.8285644,7.632685121875414e-07,0.00012429225140569755
50,CSNK1E,5.3442736,26.304113,2.0260798700064564e-07,4.088276815956506e-05
51,ATXN7L3,5.3354497,26.165089,2.1166476625348494e-07,4.093067417426765e-05
52,LARP7,5.3354497,26.165089,2.1166476625348494e-07,4.093067417426765e-05
53,COL18A1,5.2667947,3.2923617,4.140064427992474e-07,7.250580758608707e-05
54,LYZ,5.2639394,1.6711212,1.2542454739599783e-06,0.00017639252256509877
55,GOLM1,5.1865344,26.237734,4.391987760476711e-07,7.549338961619413e-05
56,G3BP2,5.0719666,26.08336,7.620714840068731e-07,0.00012429225140569755
57,PPP2CA,5.0719666,26.08336,7.620714840068731e-07,0.00012429225140569755
58,PDZK1IP1,5.045632,3.2470565,1.1257311158803234e-06,0.00016660490523825463
59,FLCN,5.0190115,25.948977,9.80086056928329e-07,0.0001568475651794612
60,ITPR3,5.0049133,26.216267,1.0476330772561067e-06,0.0001648157664930709
61,CD27,4.9962344,26.141562,1.0914341230601216e-06,0.00016660490523825463
62,IGHG4,4.982651,1.8344386,7.861109886397194e-06,0.0006122609848611627
63,SLC7A9,4.9820795,25.986374,1.1667010170746123e-06,0.00016660490523825463
64,FNBP4,4.9820795,25.986374,1.1667010170746123e-06,0.00016660490523825463
65,PHIP,4.9820795,25.986374,1.1667010170746123e-06,0.00016660490523825463
66,MON2,4.9820795,25.986374,1.1667010170746123e-06,0.00016660490523825463
67,UFD1,4.9524746,26.022882,1.340701502342422e-06,0.00018300575506974062
68,BAK1,4.9524746,26.022882,1.340701502342422e-06,0.00018300575506974062
69,TPD52L2,4.910855,26.093407,1.6283509384746439e-06,0.00021591933444173778
70,CALHM6,4.910855,26.093407,1.6283509384746439e-06,0.00021591933444173778
71,GNAI2,4.910408,3.202634,2.094404606821312e-06,0.00026630498028103314
72,TMEM45B,4.908885,3.1348205,2.334344480770731e-06,0.00029141138695526085
73,ATP1A1,4.8844337,2.0395997,5.29874963691769e-06,0.0004931897781206021
74,C11orf86,4.877043,26.08336,1.9051534005418937e-06,0.00024906526568774446
75,CSAD,4.8607583,25.921879,2.054187390715691e-06,0.0002648189911197645
76,PLA2G2A,4.843298,1.6945119,7.700983059563763e-06,0.0006082594245471635
77,TXNL1,4.8311367,25.959934,2.3546492158634525e-06,0.00029141138695526085
78,CD9,4.8079734,25.997068,2.6187603067775653e-06,0.00031983333115143895
79,LINC02739,4.7850614,1.4390681,9.917868013995833e-06,0.0007192003977024166
80,DDX24,4.775204,25.813755,3.0417413776847386e-06,0.00034431028619109444
81,TAPBPL,4.775204,25.813755,3.0417413776847386e-06,0.00034431028619109444
82,TCF4,4.775204,25.813755,3.0417413776847386e-06,0.00034431028619109444
83,ARHGEF16,4.775204,25.813755,3.0417413776847386e-06,0.00034431028619109444
84,HEMK1,4.775204,25.813755,3.0417413776847386e-06,0.00034431028619109444
85,VDAC2,4.775204,25.813755,3.0417413776847386e-06,0.00034431028619109444
86,TM4SF20,4.755279,3.1291125,4.319996309176674e-06,0.0004358500624106293
87,KRT8,4.7479057,1.8691671,1.1179762958665603e-05,0.0007744071625547322
88,CCT7,4.7438383,26.058548,3.5078956587590466e-06,0.00038091439563869666
89,WAC,4.7438383,26.058548,3.5078956587590466e-06,0.00038091439563869666
90,GPSM3,4.737426,25.854555,3.611340962745669e-06,0.00038091439563869666
91,COA3,4.737426,25.854555,3.611340962745669e-06,0.00038091439563869666
92,TNS3,4.737426,25.854555,3.611340962745669e-06,0.00038091439563869666
93,KHSRP,4.737426,25.854555,3.611340962745669e-06,0.00038091439563869666
94,MFSD1,4.7078013,25.894295,4.128651108702341e-06,0.0004211224130876388
95,CPVL,4.7078013,25.894295,4.128651108702341e-06,0.0004211224130876388
96,TMEM123,4.7078013,25.894295,4.128651108702341e-06,0.0004211224130876388
97,BRMS1,4.6849456,25.933031,4.575865659149373e-06,0.0004567009144970374
98,GRSF1,4.650154,25.741379,5.34741276828498e-06,0.0004931897781206021
99,TCF3,4.650154,25.741379,5.34741276828498e-06,0.0004931897781206021
100,TMBIM1,4.650154,25.741379,5.34741276828498e-06,0.0004931897781206021
101,CIAO1,4.650154,25.741379,5.34741276828498e-06,0.0004931897781206021
102,TPMT,4.650154,25.741379,5.34741276828498e-06,0.0004931897781206021
103,PIH1D1,4.650154,25.741379,5.34741276828498e-06,0.0004931897781206021
104,NDUFA9,4.6493545,25.921879,5.3665338924995494e-06,0.0004931897781206021
105,STAT1,4.6433473,2.5203137,1.1033339847331357e-05,0.0007744071625547322
106,PRRC2C,4.633141,25.959934,5.768905636323428e-06,0.0005249704129054319
107,IGHG3,4.6319475,1.8650295,2.0728251455031597e-05,0.0011803658282552349
108,PTCD3,4.6119084,25.784132,6.339948700838341e-06,0.0005448833688998285
109,COL4A1,4.6119084,25.784132,6.339948700838341e-06,0.0005448833688998285
110,ADAM19,4.6119084,25.784132,6.339948700838341e-06,0.0005448833688998285
111,NID1,4.6119084,25.784132,6.339948700838341e-06,0.0005448833688998285
112,PGPEP1,4.6119084,25.784132,6.339948700838341e-06,0.0005448833688998285
113,RNF220,4.6119084,25.784132,6.339948700838341e-06,0.0005448833688998285
114,PDPK1,4.5872736,25.942938,7.070733720853293e-06,0.0005783544508624799
115,TMED3,4.5822983,25.82572,7.227872904551528e-06,0.0005783544508624799
116,STIP1,4.5822983,25.82572,7.227872904551528e-06,0.0005783544508624799
117,CEBPB,4.5822983,25.82572,7.227872904551528e-06,0.0005783544508624799
118,ABHD3,4.5822983,25.82572,7.227872904551528e-06,0.0005783544508624799
119,CALU,4.5822983,25.82572,7.227872904551528e-06,0.0005783544508624799
120,AIF1,4.5822983,25.82572,7.227872904551571e-06,0.0005783544508624799
121,POLRMT,4.5822983,25.82572,7.227872904551571e-06,0.0005783544508624799
122,COL7A1,4.56699,26.052925,7.732666677070167e-06,0.0006082594245471635
123,UBE2F,4.5597963,25.866205,7.981424172398264e-06,0.0006122609848611627
124,HNRNPH2,4.5597963,25.866205,7.981424172398264e-06,0.0006122609848611627
125,CEBPD,4.5450897,25.813755,8.514162939099904e-06,0.0006477742655797156
126,MT-ND5,4.523568,1.6973435,2.157612308773085e-05,0.0011902383115292813
127,WFS1,4.5227556,25.665392,9.38909253210368e-06,0.0006862169833306012
128,C19orf25,4.5227556,25.665392,9.38909253210368e-06,0.0006862169833306012
129,ST6GALNAC6,4.5227556,25.665392,9.38909253210368e-06,0.0006862169833306012
130,VPS9D1,4.5227556,25.665392,9.38909253210368e-06,0.0006862169833306012
131,CXCL16,4.5227556,25.665392,9.38909253210368e-06,0.0006862169833306012
132,IGLC2,4.511899,1.817515,2.439340266509255e-05,0.0013012618594102818
133,SDCBP,4.508135,25.894295,1.0007991299350737e-05,0.0007201098855858414
134,CXCL10,4.506014,26.160854,1.0100951355564819e-05,0.0007212079267873281
135,COX4I1,4.497989,1.8206857,2.0130258386202075e-05,0.0011533892490168374
136,TPM3,4.491621,2.4988158,1.6539711706842903e-05,0.0010034091768818029
137,SLC2A5,4.4840107,25.7103,1.111570495279371e-05,0.0007744071625547322
138,ISCU,4.4840107,25.7103,1.111570495279371e-05,0.0007744071625547322
139,HLA-B,4.475966,1.0772657,4.468280895700264e-05,0.0020036030567096544
140,GHITM,4.4649873,3.0036688,1.5571231274731378e-05,0.0010034091768818029
141,TMSB10,4.45606,1.297668,3.8181473829342406e-05,0.0017581481973922267
142,SSBP1,4.4544373,25.753922,1.2634803907296773e-05,0.0008437140278239471
143,CBLC,4.4544373,25.753922,1.2634803907296773e-05,0.0008437140278239471
144,CMTM6,4.4544373,25.753922,1.2634803907296773e-05,0.0008437140278239471
145,ARFIP2,4.4544373,25.753922,1.2634803907296773e-05,0.0008437140278239471
146,SREBF2,4.4544373,25.753922,1.2634803907296773e-05,0.0008437140278239471
147,S100A16,4.447692,3.056037,1.5682161990093733e-05,0.0010034091768818029
148,RNF31,4.4166226,25.741379,1.4869213903532027e-05,0.0009727439550226054
149,NFE2L2,4.4166226,25.741379,1.486921390353203e-05,0.0009727439550226054
150,SRP9,4.416431,25.837591,1.4881452447016801e-05,0.0009727439550226054
151,COX5A,4.409877,1.6925657,3.455564174327318e-05,0.0016618936096428065
152,MGST3,4.399255,25.91692,1.6018112907307942e-05,0.0010034091768818029
153,ABLIM1,4.39571,25.784132,1.6262856145529123e-05,0.0010034091768818029
154,SMC6,4.392791,25.585405,1.6467092805622802e-05,0.0010034091768818029
155,NAPA,4.392791,25.585405,1.6467092805622802e-05,0.0010034091768818029
156,SLC35A4,4.392791,25.585405,1.6467092805622802e-05,0.0010034091768818029
157,MED4,4.392791,25.585405,1.6467092805622802e-05,0.0010034091768818029
158,NUDT16L1,4.392791,25.585405,1.6467092805622802e-05,0.0010034091768818029
159,AP002807.1,4.392791,25.585405,1.6467092805622802e-05,0.0010034091768818029
160,CXCL14,4.3855314,1.6145651,3.7961230624643404e-05,0.0017581481973922267
161,COL5A1,4.3808656,25.82572,1.7327226053418645e-05,0.0010443591703105965
162,B2M,4.3766727,1.0308644,5.5404852511399724e-05,0.002282748259566701
163,SDC3,4.3710823,25.866205,1.8064845867233524e-05,0.0010817928989655585
164,DHX15,4.353512,25.632706,1.9465819945716014e-05,0.0011292608796008503
165,CLIP1,4.353512,25.632706,1.9465819945716014e-05,0.0011292608796008503
166,DDOST,4.353512,25.632706,1.9465819945716014e-05,0.0011292608796008503
167,OAZ2,4.353512,25.632706,1.9465819945716014e-05,0.0011292608796008503
168,INPP5K,4.353512,25.632706,1.9465819945716014e-05,0.0011292608796008503
169,APP,4.348344,2.9583132,2.5378749956696774e-05,0.001346088897703197
170,SPNS1,4.3473496,25.765057,1.9981373395293855e-05,0.0011519696140069413
171,TNFRSF6B,4.3401275,2.9663615,2.5917593531169606e-05,0.0013522061381261944
172,CCND1,4.3336296,25.80716,2.1176616121308335e-05,0.0011902383115292813
173,PREB,4.3318925,25.894295,2.1332767982154763e-05,0.0011902383115292813
174,PQBP1,4.324004,25.678576,2.205569808048214e-05,0.0011902383115292813
175,MFF,4.324004,25.678576,2.205569808048214e-05,0.0011902383115292813
176,RALB,4.324004,25.678576,2.205569808048214e-05,0.0011902383115292813
177,PARK7,4.324004,25.678576,2.2055698080482266e-05,0.0011902383115292813
178,ELOC,4.324004,25.678576,2.2055698080482266e-05,0.0011902383115292813
179,USP20,4.324004,25.678576,2.2055698080482266e-05,0.0011902383115292813
180,ITGB4,4.312582,2.9577231,2.8971322568637505e-05,0.0014228138417041974
181,HLA-C,4.3113365,1.3382277,7.080505167375819e-05,0.0026079860699834267
182,EIF4E2,4.3023877,25.723103,2.4159030814837373e-05,0.0012962088093833556
183,IGLC1,4.297518,1.6836401,6.217775586865e-05,0.0023556486937665686
184,GPRC5A,4.28723,25.766363,2.5747043219194546e-05,0.0013522061381261944
185,ALOX5,4.285531,25.665392,2.5931123958894916e-05,0.0013522061381261944
186,C1QA,4.266579,1.3776644,6.024942772068801e-05,0.0023013793749112185
187,USP4,4.2651663,25.7103,2.8238041928780414e-05,0.0014228138417041974
188,GAPDH,4.260842,1.5628307,6.688265555401546e-05,0.0024760019443079494
189,CRELD2,4.2600093,25.50096,2.8852661581899857e-05,0.0014228138417041974
190,EIF1AX,4.2600093,25.50096,2.8852661581899857e-05,0.0014228138417041974
191,UGDH,4.2600093,25.50096,2.8852661581899857e-05,0.0014228138417041974
192,SERINC3,4.2600093,25.50096,2.8852661581899857e-05,0.0014228138417041974
193,ACP2,4.2600093,25.50096,2.8852661581899857e-05,0.0014228138417041974
194,ACP1,4.2600093,25.50096,2.8852661581899857e-05,0.0014228138417041974
195,NDUFS2,4.2600093,25.50096,2.8852661581899857e-05,0.0014228138417041974
196,RAB24,4.2600093,25.50096,2.8852661581899857e-05,0.0014228138417041974
197,ITPR2,4.2600093,25.50096,2.8852661581899857e-05,0.0014228138417041974
198,TIMP1,4.2567244,2.481706,3.87613958702048e-05,0.0017636435120943182
199,TTYH3,4.242356,25.79633,3.105491963103313e-05,0.0015171145474486814
200,PLSCR1,4.220159,25.550926,3.405254036450747e-05,0.0016462274982466582
201,JPX,4.220159,25.550926,3.405254036450747e-05,0.0016462274982466582
202,MRC2,4.207319,25.784132,3.591076351067748e-05,0.0017181634376603524
203,COL5A3,4.1907554,25.599298,3.8451204920342815e-05,0.0017581481973922267
204,ARCN1,4.1907554,25.599298,3.8451204920342815e-05,0.0017581481973922267
205,ITLN1,4.1907554,25.599298,3.8451204920342815e-05,0.0017581481973922267
206,ECE1,4.1907554,25.599298,3.8451204920342815e-05,0.0017581481973922267
207,CHPF,4.1907554,25.599298,3.8451204920342815e-05,0.0017581481973922267
208,NOTCH1,4.1907554,25.599298,3.8451204920342815e-05,0.0017581481973922267
209,SERPINH1,4.1907554,25.599298,3.8451204920342815e-05,0.0017581481973922267
210,APBA2,4.169695,25.646173,4.192981505924291e-05,0.0018985002116092325
211,MUC13,4.163461,1.3190445,8.49320023921956e-05,0.002950825941973861
212,TPP1,4.1634574,2.8650193,5.509021733912172e-05,0.002282748259566701
213,FARSA,4.1553955,25.691645,4.446065631018583e-05,0.002003319475102645
214,FOSL2,4.151565,25.585405,4.5163023859108504e-05,0.002005756877800216
215,MIIP,4.151565,25.585405,4.5163023859108504e-05,0.002005756877800216
216,FSTL1,4.1318374,25.632706,4.8951032318641164e-05,0.0021215388565234885
217,KRT19,4.126528,1.672851,0.00010656016810358705,0.0033528524757203224
218,RBPJ,4.1241245,25.411512,5.051282991722592e-05,0.0021215388565234885
219,YKT6,4.1241245,25.411512,5.051282991722592e-05,0.0021215388565234885
220,WDR11,4.1241245,25.411512,5.051282991722592e-05,0.0021215388565234885
221,SHKBP1,4.1241245,25.411512,5.051282991722592e-05,0.0021215388565234885
222,HIGD1A,4.1241245,25.411512,5.051282991722592e-05,0.0021215388565234885
223,CLN3,4.1241245,25.411512,5.051282991722592e-05,0.0021215388565234885
224,TMEM74B,4.1241245,25.411512,5.051282991722592e-05,0.0021215388565234885
225,LILRB4,4.1241245,25.411512,5.051282991722592e-05,0.0021215388565234885
226,SLC31A1,4.1241245,25.411512,5.051282991722592e-05,0.0021215388565234885
227,LIMA1,4.1241245,25.411512,5.051282991722592e-05,0.0021215388565234885
228,ITPRID2,4.1241245,25.411512,5.051282991722592e-05,0.0021215388565234885
229,LIMD1-AS1,4.110374,1.4037045,0.00011170844789609084,0.0035029655857145786
230,LSM8,4.092143,25.727032,5.751059349430679e-05,0.002282748259566701
231,CCDC93,4.0836625,25.464476,5.9515737859851305e-05,0.002282748259566701
232,LINC00667,4.0836625,25.464476,5.9515737859851305e-05,0.002282748259566701
233,MMP14,4.0836625,25.464476,5.9515737859851305e-05,0.002282748259566701
234,MAGED1,4.0836625,25.464476,5.9515737859851305e-05,0.002282748259566701
235,BOD1L1,4.0836625,25.464476,5.9515737859851305e-05,0.002282748259566701
236,PLAUR,4.0836625,25.464476,5.9515737859851305e-05,0.002282748259566701
237,AIP,4.0836625,25.464476,5.9515737859851305e-05,0.002282748259566701
238,SLC35B1,4.0836625,25.464476,5.9515737859851305e-05,0.002282748259566701
239,GATAD2A,4.0836625,25.464476,5.9515737859851305e-05,0.002282748259566701
240,USP8,4.0836625,25.464476,5.9515737859851305e-05,0.002282748259566701
241,KMT2A,4.0836625,25.464476,5.9515737859851305e-05,0.002282748259566701
242,ETV7,4.0836625,25.464476,5.9515737859851305e-05,0.002282748259566701
243,FA2H,4.0836625,25.464476,5.9515737859851305e-05,0.002282748259566701
244,ETS1,4.0836625,25.464476,5.9515737859851305e-05,0.002282748259566701
245,DNPH1,4.0836625,25.464476,5.9515737859851305e-05,0.002282748259566701
246,LAD1,4.0836625,25.464476,5.9515737859851305e-05,0.002282748259566701
247,SP3,4.0836625,25.464476,5.9515737859851305e-05,0.002282748259566701
248,NOTCH2,4.0836625,25.464476,5.95157378598515e-05,0.002282748259566701
249,CYBB,4.0733557,25.753922,6.204239230129108e-05,0.0023556486937665686
250,MPST,4.0710626,2.856454,7.700747414128189e-05,0.0028141077755093643
251,LMAN2,4.0617657,2.8384943,8.103559359880119e-05,0.002915396820868499
252,IDO1,4.061012,2.9219306,7.534334144309704e-05,0.002764177451679157
253,LSR,4.0544114,25.515644,6.695501917919579e-05,0.0024760019443079494
254,UROS,4.0544114,25.515644,6.695501917919579e-05,0.0024760019443079494
255,TBL1XR1,4.0544114,25.515644,6.695501917919579e-05,0.0024760019443079494
256,FBXO9,4.0544114,25.515644,6.695501917919579e-05,0.0024760019443079494
257,HSPH1,4.0544114,25.515644,6.695501917919579e-05,0.0024760019443079494
258,ITM2B,4.024664,1.935172,0.00014994907740572405,0.004244657665843529
259,CNOT2,4.014438,25.50096,7.85630676065995e-05,0.0028485249747049086
260,KAT8,4.014438,25.50096,7.85630676065995e-05,0.0028485249747049086
261,PARP1,4.0103416,25.723103,7.985529835206408e-05,0.0028841123708321357
262,SIRPA,3.9954553,25.550926,8.472355219111252e-05,0.002950825941973861
263,CSE1L,3.9848037,25.316422,8.837854038663363e-05,0.002950825941973861
264,C7orf50,3.9848037,25.316422,8.837854038663363e-05,0.002950825941973861
265,ZFHX3,3.9848037,25.316422,8.837854038663363e-05,0.002950825941973861
266,EHMT1,3.9848037,25.316422,8.837854038663363e-05,0.002950825941973861
267,TCERG1,3.9848037,25.316422,8.837854038663363e-05,0.002950825941973861
268,BCL2L1,3.9848037,25.316422,8.837854038663363e-05,0.002950825941973861
269,FIBP,3.9848037,25.316422,8.837854038663363e-05,0.002950825941973861
270,LAMTOR2,3.9848037,25.316422,8.837854038663363e-05,0.002950825941973861
271,DYRK1A,3.9848037,25.316422,8.837854038663363e-05,0.002950825941973861
272,MYCBP,3.9848037,25.316422,8.837854038663363e-05,0.002950825941973861
273,FBRSL1,3.9848037,25.316422,8.837854038663363e-05,0.002950825941973861
274,SLC4A7,3.9848037,25.316422,8.837854038663363e-05,0.002950825941973861
275,UBL3,3.9848037,25.316422,8.837854038663363e-05,0.002950825941973861
276,PAK1,3.9848037,25.316422,8.837854038663363e-05,0.002950825941973861
277,AOAH,3.9848037,25.316422,8.837854038663363e-05,0.002950825941973861
278,BLOC1S6,3.9848037,25.316422,8.837854038663363e-05,0.002950825941973861
279,RPP21,3.9848037,25.316422,8.837854038663363e-05,0.002950825941973861
280,BNIP2,3.9848037,25.316422,8.837854038663363e-05,0.002950825941973861
281,OLFM4,3.9654424,1.8864999,0.00015879802063296193,0.004347974122463577
282,GAS5,3.9612768,1.1634427,0.00018378829480444477,0.004738674867707934
283,ACTB,3.9556115,1.1460633,0.00022888518319144074,0.005741925055089062
284,ANXA2,3.9494514,1.6664463,0.00017025921219338374,0.0046480764928793755
285,YPEL5,3.944349,25.528662,0.0001036723831930704,0.0032816152481285467
286,ARHGAP30,3.9436867,25.372772,0.0001039425644203612,0.0032816152481285467
287,SHARPIN,3.9436867,25.372772,0.0001039425644203612,0.0032816152481285467
288,VPS25,3.9436867,25.372772,0.0001039425644203612,0.0032816152481285467
289,IL4I1,3.9436867,25.372772,0.0001039425644203612,0.0032816152481285467
290,UBA2,3.9436867,25.372772,0.0001039425644203612,0.0032816152481285467
291,BTAF1,3.9436867,25.372772,0.0001039425644203612,0.0032816152481285467
292,SZT2,3.9436867,25.372772,0.0001039425644203612,0.0032816152481285467
293,EPB41,3.9436867,25.372772,0.0001039425644203612,0.0032816152481285467
294,TRPT1,3.9436867,25.372772,0.0001039425644203612,0.0032816152481285467
295,TOR4A,3.9436867,25.372772,0.0001039425644203612,0.0032816152481285467
296,TASOR2,3.9436867,25.372772,0.0001039425644203612,0.0032816152481285467
297,CLPP,3.9436867,25.372772,0.0001039425644203612,0.0032816152481285467
298,SPRYD3,3.9436867,25.372772,0.0001039425644203612,0.0032816152481285467
299,KAT2A,3.9436867,25.372772,0.0001039425644203612,0.0032816152481285467
300,PFKP,3.9418056,2.772329,0.0001311434809201661,0.003965061204889191
301,SERF2,3.9228406,1.6872728,0.0002031996508429611,0.0051532763910501775
302,TAOK2,3.914652,25.42709,0.00011646438503203394,0.0035559948087741412
303,FES,3.914652,25.42709,0.00011646438503203394,0.0035559948087741412
304,GIMAP4,3.914652,25.42709,0.00011646438503203394,0.0035559948087741412
305,SNF8,3.914652,25.42709,0.00011646438503203394,0.0035559948087741412
306,DLG1,3.914652,25.42709,0.00011646438503203394,0.0035559948087741412
307,ZDHHC6,3.914652,25.42709,0.00011646438503203394,0.0035559948087741412
308,SDHC,3.914652,25.42709,0.00011646438503203394,0.0035559948087741412
309,UNC13D,3.914652,25.42709,0.00011646438503203394,0.0035559948087741412
310,GALNT1,3.8950167,25.479519,0.00012572980666853033,0.0038138041356120867
311,SNRPE,3.8950167,25.479519,0.00012572980666853033,0.0038138041356120867
312,GTF3C1,3.8828259,25.53019,0.00013182953774986726,0.003972862887643727
313,HAX1,3.8738208,25.411512,0.00013651431802000265,0.004087502902779564
314,TRADD,3.8738208,25.411512,0.0001365143180200022,0.004087502902779564
315,AGR2,3.872135,1.7565287,0.00019770624379268544,0.005069362858794769
316,LAIR1,3.8557138,25.464476,0.000146415917115264,0.004244657665843529
317,UBE2R2,3.8557138,25.464476,0.000146415917115264,0.004244657665843529
318,LAMP3,3.8557138,25.464476,0.000146415917115264,0.004244657665843529
319,AC124068.2,3.8462467,2.2266643,0.00023773161628344548,0.005915884349444882
320,UGGT1,3.8448844,25.515644,0.00015265895991809406,0.004244657665843529
321,ZNRD1,3.8416576,25.214903,0.0001545673659830977,0.004244657665843529
322,APMAP,3.8416576,25.214903,0.0001545673659830977,0.004244657665843529
323,ABCG1,3.8416576,25.214903,0.0001545673659830977,0.004244657665843529
324,ACTN1,3.8416576,25.214903,0.0001545673659830977,0.004244657665843529
325,ETFA,3.8416576,25.214903,0.0001545673659830977,0.004244657665843529
326,CMTR1,3.8416576,25.214903,0.0001545673659830977,0.004244657665843529
327,GADD45G,3.8416576,25.214903,0.0001545673659830977,0.004244657665843529
328,IDH3A,3.8416576,25.214903,0.0001545673659830977,0.004244657665843529
329,AP3S1,3.8416576,25.214903,0.0001545673659830977,0.004244657665843529
330,ZDHHC7,3.8416576,25.214903,0.0001545673659830977,0.004244657665843529
331,MAPK1,3.8416576,25.214903,0.0001545673659830977,0.004244657665843529
332,NGRN,3.8416576,25.214903,0.0001545673659830977,0.004244657665843529
333,MSRB2,3.8416576,25.214903,0.0001545673659830977,0.004244657665843529
334,THEM4,3.8416576,25.214903,0.0001545673659830977,0.004244657665843529
335,GABRE,3.8416576,25.214903,0.0001545673659830977,0.004244657665843529
336,KBTBD11,3.8416576,25.214903,0.0001545673659830977,0.004244657665843529
337,CWC25,3.8416576,25.214903,0.0001545673659830977,0.004244657665843529
338,CHPF2,3.8416576,25.214903,0.0001545673659830977,0.004244657665843529
339,ERCC1,3.8416576,25.214903,0.0001545673659830977,0.004244657665843529
340,PAQR8,3.8416576,25.214903,0.0001545673659830977,0.004244657665843529
341,ARL4C,3.8416576,25.214903,0.0001545673659830977,0.004244657665843529
342,LRP5,3.8416576,25.214903,0.0001545673659830977,0.004244657665843529
343,RALGPS2,3.8416576,25.214903,0.0001545673659830977,0.004244657665843529
344,ARF1,3.8375804,2.7848225,0.00018486440756166128,0.0047532172603527425
345,ATP5MC3,3.8122876,2.7127507,0.00021466787132055822,0.005414530384775602
346,PDLIM1,3.8114502,2.750596,0.00020786176629266514,0.005257146906617215
347,UQCR11,3.807884,2.26145,0.00023202529270000162,0.005805010153211362
348,DOK3,3.803518,25.440891,0.00017890463505685313,0.004691016923335966
349,DAP3,3.7998397,25.275118,0.00018143450500728378,0.004691016923335966
350,FMNL3,3.7998397,25.275118,0.00018143450500728378,0.004691016923335966
