,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,6.463158,1.3531773,3.738990212177369e-10,3.470530714943034e-06
1,IGHG4,6.19015,1.3953663,1.883116043769962e-09,7.323048849970145e-06
2,IGHM,5.9288087,1.6733758,8.428862016524119e-09,1.564733944747537e-05
3,REG1A,5.739886,1.5070246,2.145778781764499e-08,2.8453026646197256e-05
4,IGHG3,5.517468,1.6319039,7.317959951210973e-08,6.66514024790361e-05
5,AL627171.2,5.3229113,1.015132,1.8897616493542983e-07,0.0001349289817638969
6,LCN2,5.2232275,2.5023346,3.9354385970151876e-07,0.00021487494739702925
7,IGHA1,5.020863,1.2242314,8.404969848088292e-07,0.000339195348391111
8,CD24,4.946793,1.6761312,1.3237882657152611e-06,0.0004725924108603482
9,MUC1,4.9023347,1.7890925,1.7199216896442019e-06,0.0005912708564176845
10,IGLC2,4.805465,1.6438242,2.4890437652469936e-06,0.0007699576910485232
11,IGLC3,4.752027,2.543578,3.6094709578477312e-06,0.0010469721697107075
12,JCHAIN,4.700355,1.1228162,3.816141666831856e-06,0.0010733765742888875
13,LINC02739,4.6811213,1.096932,4.249807821366538e-06,0.0011601975352330649
14,TNFRSF6B,4.446493,2.211446,1.3258316927964115e-05,0.0026251145615991387
15,GM2A,4.1915946,2.0456493,3.796542483590582e-05,0.0051270166056333315
16,TYROBP,3.9944737,3.1584659,9.010412560170767e-05,0.009190620811374181
17,IDO1,3.9113388,2.3153121,0.0001225086877395334,0.011103542210665295
18,ACP5,3.8026664,1.9822358,0.00018184131472931552,0.01455044037342678
19,IGLC1,3.7354558,1.1071464,0.00022073622973460736,0.016279332436066173
20,RARRES2,3.6557155,1.6087518,0.00031138297200239775,0.021251887839163645
21,ICAM1,3.6153963,2.66489,0.0003651426634160172,0.023701078334457844
22,CD55,3.5540264,1.595481,0.0004477452530532978,0.028271914549936807
23,S100A11,3.5270867,1.4275724,0.000484275254647275,0.029966952757573374
24,ITGB2,3.506173,1.7799516,0.0005311462658208947,0.03180709444741642
25,ISG20,3.4982746,1.677981,0.0005434716296824234,0.032336561966104196
26,ABCA7,3.4838042,1.8050916,0.0005763592910627743,0.03343604337277919
27,CCR7,3.356774,2.581101,0.0009195636856351164,0.046869051452780086
28,IGHG2,3.3490312,1.7601837,0.0009192413774223979,0.046869051452780086
29,LGALS1,3.3450952,1.4079732,0.0009290999210635138,0.046869051452780086
